english,transliteration,arabic,audioUrl
education,ta3līm,تعْليم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-1.mp3
"educated, literate",muta3állim,مُتعلِّم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-2.mp3
to learn,it3állim [5s1],اِتْعلِّم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-3.mp3
illiterate,úmmi,أُمّي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-4.mp3
illiteracy,ummíyya,أُمّية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-5.mp3
What is the illiteracy rate in Egypt?,ʔē mu3áddal ilʔummíyya fi maȿr?,أيْه مُعدّل الأُمّية في مصْر؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-6.mp3
school,madrása (madāris),مدْرسة (مدارِس),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-7.mp3
student,"ʈālib (ʈálaba, ʈullāb)",طالِب (طلبة، طُلّاب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-8.mp3
preschool,ɧaɖāna,حضانة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-9.mp3
kindergarten,kē žī,كيْ چي (KG),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-10.mp3
"elementary school, primary school",(madrása) ʔibtidāʔi,(مدْرسة) اِبْتِدائي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-11.mp3
"when I was in elementary school, ...","lámma kuntə f- ibtidāʔi, ...",لمّا كُنْت في اِبْتِدائي،...,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-12.mp3
first grade (year),sána ʔūla,سنة أولى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-13.mp3
first grade (year),ʔūla ʔibtidāʔi,أولى اِبْتِدائي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-14.mp3
Her son is in first grade.,ʔibnáha f- ʔūla ʔibtidāʔi.,إبْنها في أولى اِبْتِدائي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-15.mp3
middle school,madrása ʔi3dādi,مدْرسة إعْدادي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-16.mp3
"high school, secondary school",madrása sánawi,مدْرسة ثانَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-17.mp3
"university, college",gám3a,جامْعة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-18.mp3
academy,ʔakadimíyya,أكاديمية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-19.mp3
academy,má3had (ma3āhid),معْهد (معاهِد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-20.mp3
language academy,ʔakadimíyyit ʔálsun,أكاديميةْ ألْسُن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-21.mp3
language academy,ʔakadimíyyit luɣāt,أكاديميةْ لُغات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-22.mp3
I’m studying Arabic at a language academy in Cairo.,ʔána bádris 3árabi fi ʔakadimíyyit ilʔálsun f- ilqāhíra.,أنا بدْرِس عربي في أكاديميةْ الألْسُن في القاهِرة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-23.mp3
in fifth grade,fi xámsa -btidāʔi,في خامْسة ابْتِدائي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-24.mp3
in sixth grade,fi sátta -btidāʔi,في ساتّة ابْتِدائي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-25.mp3
in one’s second year of middle school,fi tánya ʔi3dādi,قي تانْيَة إعْدادي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-26.mp3
in one’s third year of high school,fi tálta sánawi,في تالْتة ثانَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-27.mp3
in one’s final year of high school,fi ʔāxir sána f- sánawi,في آخِر سنة في ثانَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-28.mp3
"class, period",ɧíȿȿa (ɧíȿaȿ),حِصّة (حِصص),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-29.mp3
I have six classes a day.,3ándi sittə ɧíȿaȿ fi -lyōm.,عنْدي سِتّ حِصص في اليوْم.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-30.mp3
Class starts at 8 o'clock and finishes at 9 o'clock.,ilɧíȿȿa btíbdaʔ issā3a tamánya wi tíxlaȿ tís3a.,الحِصّة بْتِبْدأ السّاعة تمانْيَة و تِخْلص تِسْعة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-31.mp3
lecture,muɧáɖra,مُحاضْرة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-32.mp3
to attend a lecture,ɧáɖar [1s1] muɧáɖra,حضر مُحاضْرة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-33.mp3
lesson,dars (durūs),درْس (دُروس),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-34.mp3
to study,dáras [1s2],درس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-35.mp3
studies,dirāsa,دِراسة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-36.mp3
curriculum,mánhag (manāhig),منْهج (مناهِج),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-37.mp3
question,suʔāl (asʔíla),سُؤال (أسْئِلة),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-38.mp3
to ask a question in class,sáʔal [1s1] suʔāl fi -lfaȿl,سأل سُؤال في الفصْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-39.mp3
answer,igāba,إجابة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-40.mp3
to answer,gāwib [3s] 3ála,جاوِب على,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-41.mp3
to raise one’s hand,ráfa3 [1s1] ʔīdu,رفع إيدُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-42.mp3
"right, correct",ȿaɧɧ,صحّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-43.mp3
"wrong, incorrect; mistake",ɣálaʈ,غلط,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-44.mp3
He got three questions wrong.,gāwib ɣálaʈ 3ála tálat ʔasʔíla.,جاوِب غلط على تلات أسْئِلة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-45.mp3
classroom,faȿl (fuȿūl),فصْل (فُصول),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-46.mp3
lecture hall,mudárrag,مُدرّج,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-47.mp3
desk,[desk],ديْسْك,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-48.mp3
textbook,kitāb (kútub) madrási,كِتاب (كُتُب) مدْرسي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-49.mp3
notebook,kaškūl (kašakīl),كشْكول (كشاكيل),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-50.mp3
notebook,kurrāsa,كُرّاسة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-51.mp3
to take notes,dáwwin [2s1] mulaɧaʐāt,دوِّن مُلاحْظات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-52.mp3
to copy,náʔal [1s2],نقل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-53.mp3
Copy these sentences into your notebook.,ʔínʔil ilgúmal di l-kurrástak.,اِنْقِل الجُمل دي لِكُرّاسْتك.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-54.mp3
backpack,šánʈa (šúnaʈ) madrasíyya,شنْطة (شُنط) مدْرسية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-55.mp3
blackboard,sabbūra,سبّورة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-56.mp3
chalk,ʈabašīr [coll.],طباشير,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-57.mp3
whiteboard,sabbūra bēɖa,سبّورة بيْضا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-58.mp3
whiteboard,[white board],وايْت بوْرد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-59.mp3
map,xarīʈa (xarāyiʈ),خريطة (خرايِط),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-60.mp3
library,maktába,مكْتبة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-61.mp3
gymnasium,žim,چيم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-62.mp3
"playground, schoolyard",ɧōš (aɧwāš),حوْش (أحْواش),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-63.mp3
"playground, schoolyard",mál3ab (malā3ib),ملْعب (ملاعِب),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-64.mp3
cafeteria,kafitírya,كافيتِرْيا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-65.mp3
laboratory,má3mal (ma3āmil),معْمل (معامِل),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-66.mp3
"auditorium, theater",másraɧ (masāriɧ),مسْرح (مسارِح),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-67.mp3
school bus,bāȿ madrása,باص مدْرسة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-68.mp3
summer vacation (UK: summer holidays),ʔagāzit ȿēf,أجازِةْ صيْف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-69.mp3
winter vacation,ʔagāzit šíta,أجازِةْ شِتا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-70.mp3
"break, recess",fúsɧa (fúsaɧ),فُسْحة (فُسح),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-71.mp3
"break, recess",[break],بْريْك,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-72.mp3
We have a fifteen-minute break between classes.,3andína fúsɧa rub3ə sā3a bēn ilɧíȿaȿ.,عنْدنا فُسْحة رُبْع ساعة بيْن الحِصص.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-73.mp3
lunch break,fúsɧit ɣáda,فُسْحِةْ غدا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-74.mp3
"test, exam",imtiɧān,اِمْتِحان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-75.mp3
to take a test,imtáɧan [8s1],اِمْتحن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-76.mp3
mid-term (exam),imtiɧān nuȿȿ issána,اِمْتِحان نُصّ السّنة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-77.mp3
final exam,imtiɧān ʔāxir issána,اِمْتِحان آخِر السّنة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-78.mp3
entrance exam,imtiɧān qubūl,اِمْتِحان قُبول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-79.mp3
an oral exam,imtiɧān šáfawi,اِمْتِحان شفَوي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-80.mp3
a written exam,imtiɧān kitābi,اِمْتِحان كِتابى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-81.mp3
to pass a test,nígiɧ [1s4] f- imtiɧān,نِجِح في اِمْتِحان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-82.mp3
to fail a test,sáʔaʈ [1s1] f- imtiɧān,سقط في اِمْتِحان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-83.mp3
exam results,natīgit imtiɧān,نتيجِةْ اِمْتِحان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-84.mp3
"grade (mark, score)",dáraga,درجة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-85.mp3
"grade (mark, score)",magmū3,مجْموع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-86.mp3
to get a good grade,gāb [1h2] magmū3 kuwáyyis,جاب مجْموع كُوَيِّس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-87.mp3
a passing grade,dáragit nagāɧ,درجِةْ نجاح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-88.mp3
a failing grade,dáragit suʔūʈ,درجِةْ سُقوط,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-89.mp3
report card,sígil iddaragāt,سِجِل الدّرجات,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav10-90.mp3
