english,transliteration,arabic
English,Transliteration,Egyptian Arabic
body,gism,جسم
bodies,agsaam,اجسام
part,3uDw,عضو
parts,a3Daa',اعضاء
gland,ġudda,غدة
glands,ġudad,غدد
skin,gild,جلد
skins,guluud,جلود
head,raas,راس
heads,ruus ,روس
skull,gumguma,جمجمة
skulls,gamaagim,جماجم
brain,muxx,مخ
brains,amxaax,امخاخ
hair,ša3r,شَعر
bangs,'oSSa,قصّة
straight ,naa3im,ناعم
curly,mga33ad,مجعد
wavy,mutamawwij,متموج
dry,gaaf,جاف
coarse,xišin,خشن
greasy,duhni,دهني
thick,samiik,سميك
thinning ,xafiif,خفيف
mustache,šanab,شنب
mustaches,šanabaat | šiniba,شنبات | شنبة
beard,da'n,دقن
beards,du'uun,دقون
bald,aSla3,أصلع
completely bald,zalabaTTa,زلبطّة
wig,baruuka,باروكة
dandruff,'išra,قشرة
face,wišš,وشّ
faces,wišuuš,وشوش
forehead,gibiin,جبين
foreheads,gubun,جبن
temple,Sudġ,صدغ
temples,aSdaaġ,اصداغ
cheek,xudd,خد
cheeks,xuduud,خدود
pimple,dimmel,دمّل
pimples,dawaamil,دوامل
acne,Habb iš-šabaab,حب الشباب
mole,Hasana,حسنة
moles,Hasanaat,حسنات
freckles,namaš,نمش
eye,3ein,عين
eyes,3uyuun ,عيون
eyelid,gifn,جفن
eyelids,gufuun,جفون
eyelash,rimš,رمش
eyelashes,rumuuš,رموش
pupil,ninni,ننّي
iris,sawaad il-3ein,سواد العين
cornea,qarniya,قرنية
ear,widn,ودن
ears,widaan,ودان
nose,manaxiir,مناخير
noses,unuuf,انوف
nostril,minxaar,منخار
nostrils,manaaxiir,مناخير
mouth,bo'',بق
mouths,bi'aa',بقاق
tonsils,loztein | liwaz,لوزتين | لوز
saliva,lu3aab,لعاب
lip,šiffa,شفّة
lips,šafaayif,شفايف
upper,3ulwii,علوي
lower,suflii,سفلي
tongue,lisaan,لسان
tongues,alsina,السنة
tooth,sinna,سنّة
teeth,sinaan,سنان
gums,lissa,لثة
chin,da'n,دقن
chins,du'uun,دقون
jaw,fakk,فك
jaws,fukuuk,فكوك
neck,ra'aba,رقبة
necks,ri'aab,رقاب
nape of the neck,'afa,قفة
nape of the necks,aqfiya,اقفية
throat,Hangara,حنجرة
throats,Hanaagir ,حناجر
esophagus,mari',مرئ
esophaguses,amri'a | muruu',امرائة  |  مروء
collarbone,tarquwa,ترقوة
collarbones,taraaq,تراق
shoulder,kitf,كتف
shoulders,aktaaf,اكتاف
chest,Sidr,صدر
chests,Suduur,صدور
bust,bizz,بزّ
busts,bizaaz,بزاز
nipple,Halama,حلمة
nipples,Halamaat,حلمات
arm,diraa3,دراع
arms,diraa3aat | diri3a,دراعات | درعة
armpit,baaT,باط
armpits,baTaat,بطات
elbow,kuu3,كوع
elbows,ki3aan,كعان
forearm,saa3id,ساعد
forearms,sawaa3id,سواعد
hand,iid  idein,يد
hands,eid,ادين
wrist,rusġ,رسغ
wrists,arsaaġ,ارساغ
finger/toe*,Subaa3,صباع
finger/toe*s,Sawaabi3,صوابع
thumb/big toe,ibhaam,ابهام
thumb/big toes,abaahiim,اباهيم
index finger,sabbaaba,سبابة
index fingers,sabbaabaat,سبابات
middle finger,wusTa,وسطى
middle fingers,wusaT,وسط
ring finger,binSir,بنصر
ring fingers,banaaSir,بناصر
pinky finger,xinSir,خنصر
pinky fingers,xanaaSir,خناصر
knuckle,mafSal,مفصل
knuckles,mafaaSil,مفاصل
fingernail/toenail,Doofr,ضوفر
fingernail/toenails,Dawaafir,ضوافر
abdomen,baTn,بطن
abdomen,buTuun,بطون
stomach,mi3da/ma3ida,معدة
stomaches,mi3ad,معد
navel,surra,سرة
navels,surar,سرر
waist,wisT,وسط
waists,awsaaT,اوساط
hip,ridf,ردف
hips,ardaaf,ارداف
leg,rigl  riglein,رجل
legs,arjul,رجلين
thigh,faxd,فخد
thighs,fixaad,فخاد
knee,rukba,ركبة
knees,rukab,ركب
ankle,kaaHil,كاحل
ankles,kawaaHil,كواحل
anklebone,bizz,بزّ
anklebones,bizaaz ir-rigl,بزاز الرجل
heel,ka3b,كعب
heels,ku3uub,كعوب
foot,'adam,قدم
feet,'a'daam,اقدام
back,Dahr,ضهر
backs,Duhuur,ضهور
buttocks,ridfaan,ردفان
rear end,mo'axara,مؤخّرة
lung,ri'a  ri'atein,رئه
lungs,ri'aat,رئتين
heart,'alb,قلب
hearts,'uluub,قلوب
rib,Dila3,ضلع
ribs,Duluu3,ضلوع
liver,kibd,كبد
livers,akbaad,اكباد
kidney,kilwa,كلوة
kidneys,kalaawi,كلاوي
colon,quuluun,قولون
colons,quuluunaat,قولونات
pancreas,bankriiaas,بنكرياس
bladder,masaana,مسانة
bladders,masaanaat,مسانات
appendix,il-muSraan il-'a3war,المصران القعور
appendices,zawaa'id duudiya,زوائد دودية
blood,damm,دمّ
blood,dimaa',دماء
artery,šuryaan,شريان
arteries,šarayiin,شريين
vein,3ir',عرق
veins,3iruu',عروق
jugular vein,wariid,وريد
jugular veins,wurud,ورد
muscle,3aDala,عضلة
muscles,3aDalaat,عضلات
bone,3aDm,عضم
bones,3iDaam,عضام
hearing,sam3,سمع
breath,nafas,نفس
breaths,anfaas,أنفاس
to tickle,zaġzaġ - yizaġzaġ ,زغزغ - يزغزغ 
hiccups,zuġuTTa,زغطة
to fart/break wind silently,fisi - yifsi ,فسي - يفسي 
a silent fart,fasya,فسى
a silent farts,fasyaat,فسيات
a loud fart,ZarTa,ظرطة
a loud farts,ZarTaat,ظرطات
fat,tixiin,تخين
thin,rofayya3,رفيع
tall,Tawiil,طويل
talls,Tuwaal,طوال
short,'oSayyar,قصير
