english,transliteration,arabic
English,Transliteration,Egyptian Arabic
hobby,hawaaya,هواية
hobbies,hawaayaat,هوايات
sport,riyaaDa,رياضة
sports,riyaaDaat,رياضات
game,li3ba,لعبة
games,al3aab,ألعاب
crafts,Hirf  Hirfa,حرف    حرفة
ball,koora,كورة
balls,kowar,كور
team,farii',فريق
national team,muntaxab,منتخب
match,matš,ماتش
matches,matšaat,ماتشات
stadium,istaad,استاد
field,mal3ab,ملعب
off-side,tasallul,تسلل
goal post,'ayma,قائم
goal posts,'awaayim,
crossbar,3arDa,عارضة
goal,gool,جول
goals,goolaat,جولات
 consecutive goals,hadafaan mutataaliyaan,هدفان متتاليان
player,laa3ib,لاعب
players,laa3ibiin,لاعبين
midfielder,laa3ib il-wisiT,لاعب الوسط
attacker,muhaagim,مهاجم
defender,mudaafi3,مدافع
forward,muhaagim,مهاجم
striker,muhaagim,مهاجم
winger,laa3ib ginaaH,لاعب جناح
referee,Hakam,حكم
trainer or coach,mudarrib,مدرّب
 kick,šooTa,شوطة
free kick,Darba Hurra,ضربة حرة
direct free kick,Darba Hurra  mubaašira,ضربة حرة  مباشرة
penalty kick,Darbit gazaa',ضربة جزاء
corner kick,Daraba rukniyya,ضربة ركنية
goal kick,Darbit marma,ضربة مرمى
header,Darbit raas,ضربة رأس
victory,fooz,فوز
 pass,tamriira,تمريرة
foul,faawil,فاول
fouls,fawlaat,فاولات
a tie,ta3aadul,تعادل
a scoreless tie,ta3aadul silbi,تعادل سلبي
yellow card,kart aSfar,كرت أصفر
red card,kart aHmar,كرت أحمر
amateur,haawi,هاوي
professional,muHtarif,محترف
baseball,beisbool,بيسبول
hockey,hoki,هوكي
skiing,tazallug,تزلج
golf,golf,جولف
gymnastics,žimnastik,جيمناستيك
archery,rimaaya,رماية
skating,batinaaž,باتيناج
running,ig-gari,الجري
cricket,kirikit,كريكت
polo,bolo,بولو
boxing,mulakma,ملاكمة
wrestling,muSar3a,مصارعة
swimming,sibaaHa,سباحة
diving,ġaTs,غطس
rowing,tagdiif,تجديف
backgammon,Tawla,طاولة
chess,šaTarang,شطرنج
king ,malik,ملك
queen ,waziir,وزير
pawn ,3askari,عسكري
pawn s,3asaakir,عساكر
knight ,HuSaan,حصان
rook,Tabya,طابية
bishop ,fiil,فيل
Check,kišš,كش
Checkmate,kišš maat,كش مات
gardening,bastana,بستنة
gambling,'umaar,قمار
fishing rod,Sinnaara,صنارة
fishing rods,Sananiir,صنانير
hunting,Seid,صيد
sewing,xiyaaTa,خياطة
spades,sibaads,سبادس
diamonds,sambuksa,سمبكسة
clubs,warda,وردة
hearts,'alb,قلب
ace,ays,أيس
king,šaayib,شايب
queen,bint,بنت
jack,walad,ولد
joker,žookir,جوكر
 cheat,ġaššaaš,غشاش
to stay up late,sihir - yishar ,سهر - يسهر 
to frequent ,itraddad - yitraddid ,اتردد - يتردد 
to pass the time,itsalla - yitsalla ,اتسلى - يتسلى 
to go for a stroll or outing,itfassaH - yitfassaH,اتفسح - يتفسح
 joke,nukta,نكتة
 jokes,nukat,نكت
to keep  company,winnis - yiwannis ,ونس - يونس 
to become cheerful/happy,farfiš - yifarfiš ,فرفش - يفرش 
to relax,irtaaH - yirtaaH,ارتاح - يرتاح
together,sawa,سواء
together,ma3a ba3D,مع بعض
appointment,maw3id,موعد
appointments,mawa3iid,مواعيد
party,Hafla,حفلة
parties,Hafalaat,حفلات
costume party,Hafla tanakkuriyya,حفلة تنكرية
mask,'inaa3,قناع
masks,aqni3a,أقنعة
friend,SaaHib,صاحب
friends,aSHaab,أصحاب
gift,hidiyya,هدية
gifts,hadaaya,هدايا
a  occassion,munasba,مناسبة
a  occassions,munasbaat ,مناسبات خاصة
drunk,sakraan,سكران
a drunk,sukari,سكري
a drunks,sukariyya,سكرية
drunk,masTuul,مسطول
drunks,masaTiil,مساطيل
a gambler,'omarti,قمرتي
a gamblers,'omartiyya,قمرتية
 exercise,tamriin,تمرين
 exercises,tamaariin,تمارين
exercise,tamaariin riyaaDiyya,تمارين رياضية
warm-up,tasxiin,تسخين
competition,munafsa,منافسة
race,musab'a,مسابقة
lap ,laffa,لفة
lap s,laffaat,لفات
championship,buTuula,بطولة
champion,baTal,بطل
champions,abTaal,أبطال
point,no'Ta,نقطة
points,no'aT,نقاط
