English,Egyptian Arabic,Transliteration
food,اكل,akl
foods,مأكولات,ma'kulaat
meal,اكلة,akla
meals,اكلات,akalaat
delivery,توصيل,tawSiil
restaurant,مطعم,maT3am
restaurants,مطاعم,maTaa3im
waiter,متر | جرسون,metre | garsoon
waiters,ندل,nudul
breakfast,فطار,fiTaar
lunch,غدا,ġada
dinner,عشا,3aša
recipe,وصفة,waSfa
recipes,وصفات,waSafaat
ingredient,محتويات,muHtawiyaat
ingredients,مقادير,maqaadiir
can,علبة,3elba
cans,علب,3ilab
jar,برطمان,barTamaan
jars,برطمانات,barTamaanaat
box,صندوق,Sunduu'
boxes,صناديق,Sanadii'
hungry ,جعان ,ga3aan 
hungry s,جياع ,jiyaa3 
thirsty ,عطشان,3aTšaan
thirsty s,عطاش ,3iTaaš 
full ,شبعان,šab3aan
full s,شباعى,šabaa3a
slice,خرطة,xarTa
slices,خرط,xuraT
piece,حتّة,Hetta
pieces,حتت,Hetat
drink,مشروب,mašruub
drinks,مشروبات,mašruubaat
juice,عصير,3aSiir
juices,عصائر,3aSaayir
water,ميّة,mayya
tea,شاي,šaay
coffee,قهوة,'ahwa
milk,لبن,laban
alcohol,خمر,xamr
wine,نبيت,nibiit
champagne,شامبنية,šampanya
beer,بيرة,biira
fruit,فاكهة,fakha
fruits,فواكه,fawaakih
apple,تفّاح,tuffaaH
orange,برتقان,burtu'aan
banana,موز,mooz
lemon,لمون,lamuun
lime,لمون,lamuun
watermelon,بطّيخ,baTTiix
cantaloupe,شمّام,šammaam
strawberry,فراولة,farawla
cherry,كريز,kireiz
grape,عنب,3inab
raisin,زبيب,zibiib
pear,كمترى,kommetra
peach,خوخ,xoox
plum,برقوق,bar'uu'
prune,برقوق ناشف,bar'uu' naashif
pomegranate,رمّان,rummaan
apricot,مشمش,mišmiš
guava,جوافة,guwaafa
dates ,بلح,balaH
dates ,تمر,tamr
pineapple,اناناس,ananaas
berry,توت,tuut
blueberry,توت أزرق,tuut azra'
mango,مانجة,manga
fig,تين,tiin
olive,زتون,zatuun
popcorn,فشار,fišaar
nuts,مكسّرات,mikassaraat
almonds,لوز,looz
hazelnuts,بندق,bondo'
peanuts,سوداني,sudaani
vegetables,خضروات | خضار,xuDrawaat | xuDaar
carrot,جزر,gazar
cauliflower,قرنبيط,'arnabiiT
lettuce,خسّ,xass
cucumber,خيار,xiyaar
zucchini,كوسا,koosa
cabbage,كرمب,kurumb
peas,بسلة,bisilla
radish,فجل,figl
radishes,فجول,fujuul
celery,كرفس,karafs
okra,بامية,bamya
eggplant,بدنجان,bidingaan
artichoke,خرشوف,xaršuuf
artichokes,خراشيف,xaraašiif
spinach,سبانخ,sabaanix
