english,transliteration,arabic,audioUrl
"work, job",,خدْمة (خْدامي),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-01.mp3
"to work, be employed",,خْدم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-02.mp3
She works as a teacher.,,خدّامة أُسْتاذة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-03.mp3
She works in (the field of) teaching.,,خدّامة فْ التّعْليم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-04.mp3
I work five days a week.,,كنْخْدم خمْس أيّام فْ السِّمانة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-05.mp3
"job, task",,خدْمة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-06.mp3
full-time,,وَقْت كامل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-07.mp3
full-time,,پْلان طون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-08.mp3
I work full-time.,,كنْخْدم وَقْت كامل.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-09.mp3
part-time,,نُصّ وَقْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-10.mp3
part-time,,طون پارْسْيال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-11.mp3
I want a part-time job.,,بْغيت خدْمة نُصّ وَقْت.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-12.mp3
the private sector,,القِطاع الخاصّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-13.mp3
the private sector,,پْريڤي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-14.mp3
the public sector,,القِطاع العامّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-15.mp3
the public sector,,پوبْليك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-16.mp3
civil servant,,مُوَظّف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-17.mp3
to look for a job,,قلّب عْلى خدْمة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-18.mp3
to apply for a job,,دْفع لْخدْمة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-19.mp3
"applicant, candidate",,كونْديدا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-20.mp3
experience,,خِبْرة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-21.mp3
to have a job interview,,عنْدو أونْطْخوتْيان دْيال الخدْمة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-22.mp3
to interview,,دار أونْطْخوتْيان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-23.mp3
to get a job,,دبّر عْلى خدْمة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-24.mp3
to find a job,,لْقى خدْمة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-25.mp3
to obtain employment,,تْوَظّف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-26.mp3
Have you found a job yet?,,لْقيتي خدْمة وْلا باقي؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav09-27.mp3
