english,transliteration,arabic
English,Transliteration,Standard Arabic
job,waZiifa,وظيفة
jobs,waZaa'if,وظائف
profession,mihna,مهنة
professions,mihan,مهن
work,3amal,عمل
employment,tawZiif,توظيف
unemployment,baTaala,بطالة
resume,siira daatiyya,سيرة
resumes,siyar daatiyya,سير ذاتية
qualifications,mu'ahhilaat,مؤهلات
experience,xibra,خبرة
job vacancy,waZiifa šaaġira/xaaliya,وظيفة شاغرة/خالية
interview,muqaabala šaxSiyya,مقابلة شخصية
promotion,tarqiyya,ترقية
raise,3elaawa,علاوة
raises,3elaawaat,علاوات
salary,murattab,مرتب
salaries,murattabaat,مرتبات
income,daxl,دخل
 salary,mahiyya,ماهية
 salaries,mahiyyaat,ماهيات
living,rizq,رزق
livings,arzaaq,أرزاق
pension,ma3aaš,معاش
time to leave work,mii3aad/wa't il-inSiraaf,ميعاد | وقت الانصراف
boss,mudiir,مدير
colleague,zamiil,زميل
colleagues,zumalaa',زملاء
office; desk,maktab,مكتب
office; desks,makaatib,مكاتب
shredder,farraaama,فرامة
shredders,farraamaat,فرامات
file,milaff,ملف
files,milaffaat,ملفات
money,maal,مال
monies,amwaal,أموال
currency,3umla,عملة
counterfeit,muzayyaf,مزيّف
cash,naqd,نقد
cash,nuquud,نقود
check,šek,شيك
checks,šekaat,شيكات
bank,bank,بنك
banks,bunuuk,بنوك
ATM,Sarraaf aali,صرّاف آلي
account,Hisaab,حساب
accounts,Hisaabaat,حسابات
savings account,Hisaab tawfiir,حساب توفير
checking account,Hisaab jaari,حساب جاري
balance,raSiid,رصيد
balances,arSida,أرصدة
to save (accumulate money,Hawwiš - yiHawwiš ,حوّش - يحوّش 
loan,qarD,قرض
loans,quruuD,قروض
debt,dein,دين
debts,duyuun,ديون
credit card,biTaaqat i'timaan,بطاقة ائتمان
allowance,3elaawa,علاوة
allowances,3elaawaat,ملاوات
accountant,muHaasib,محاسب
actor,mumattil,ممثل
administrator,idaari,اداري
agent,wakiil,وكيل
agents,wukalaa',وكلاء
air stewardess,muDiif jawwi,مضيف جوي
ambassador,safiir,سفير
ambassadors,sufaraa',سفراء
analyst,muHallil,محلل
architect,mi3maar,معمار
artist,fannaan,فنان
assistant,musaa3id,مساعد
astrologer,munajjim,منجم
astronaut,raa'id faDaa',رائد فضاء
athlete,riyaaDi,رياضي
author,mu'allif,مؤلف
baker,xabbaaz,خباز
barber,Hallaaq,حلاق
blacksmith,Haddaad,حداد
broadcaster,mudii3,مذيع
businessman,rajul a3maal,رجل أعمال
businessmen,rijaal a3maal,رجال أعمال
butcher,jazzaar,جزار
carpenter,najjaar,نجار
cashier; bank teller,Seirafi,صيرفي
cashier; bank tellers,Sayaarifa,صيارفة
chemist,kiimiyaa'i,كيميائي
coach,mudarrib,مدرب
composer,mulaHHin,ملحن
computer programmer,mubarmij Haasuubaat,مبرمج حاسوبات
contractor,muqaawil,مقاول
cook,Tabbaax,طباخ
correspondent,muraasil,مراسل
critic,naaqid,ناقد
critics,nuqqaad,نقاد
dancer,raqqaaS,رقاص
dentist,Tabiib asnaan,طبيب اسنان
designer,muSammim,مصمم
diplomat,dibloomaasi,دبلوماسي
director,mudiir,مدير
directors,mudaraa',مدراء
director ,muxrij,مخرج
doctor,Tabiib,طبيب
doctors,aTibaa',أطباء
doorman,bawwaab,بواب
driver,saa'iq,سائق
editor,muHarrir,محرر
electrician,kahrubaa'i,كهربائي
electricians,kahrubaa'iyya,كهربائية
employee,muwaZZaf,موظف
engineer,muhandis,مهندس
expert,xabiir,خبير
experts,xubaraa',خبراء
farmer,muzaari3,مزارع
financial advisor,mustašaar maali,مستشار مالي
fireman,rajul maTaafi',رجل مطافئ
guard,Haaris,حارس
guards,Hurraas,حراس
hairdresser,muSaffif ša3r,مصفف شعر
historian,mu'arrix,مؤرخ
inspector,mufattiš,مفتش
inventor,muxtari3,مخترع
jeweler,jawharji,جوهرجي
jewelers,gawahirgiyya,جوهرجية
journalist,SuHafi,صحفي
judge,qaaDin,قاضٍ
judges,quDaah,قضاة
lawyer,muHaamin,محامٍ
librarian,amiin maktaba,أمين مكتبة
maid,xaddaama,خدامة
marketer,musawwiq,مسوق
mechanic,miikaaniki,ميكانيكي
mechanics,mikaniikiyya,ميكانيكية
merchant,taajir,تاجر
merchants,tujjaar,تجار
model,3aariD azyaa',عارض أزياء
musician,muusiiqaar,موسيقار
nanny,murabbiyyat aTfaal,مربية أطفال
nurse,mumarriD,ممرض
officer,ZaabiT,ضابط
officers,ZubbaaT,ضباط
painter,rassaam,رسام
pharmacist,Saydali,صيدلي
pharmacists,Sayadla,صيدلة
photographer,muSawwir,مصور
photographers,muSawwaraatiyya,مصوراتية
pilot,Tayyaar,طيار
plumber,sabbaak,سباك
poet,šaa3ir,شاعر
policeman,šurTi,شرطي
politician,siyaasi,سياسي
producer,muntij,منتج
psychologist,3aalim nafsaani,عالم نفساني
professor,ustaad,استاذ
professors,asaatida,أساتذة
sailor,baHHaar,بحار
sailors,baHHaara,بحارة
salesman,baa'i3,بائع
scientist,3aalim,عالم
scientists,3ulamaa',علماء
servant,xaddaam,خدام
singer,muġannin,مغنٍ
social worker,mušrif ijtimaa3i,مشرف اجتماعي
student,Taalib,طالب
students,Tullaab,طلاب
supervisor,muraaqib,مراقب
surgeon,jarraaH,جراح
tailor,xayyaaT,خياط
teacher,mudarris,مدرس
veterinarian,Tabiib beTari,طبيب بيطري
waiter,naadil,نادل
waiters,nudul,ندل
worker,3aamil,عامل
workers,3ummaal,عمال
writer,kaatib,كاتب
writers,kuttaab,كتاب
