english,transliteration,arabic
English,Transliteration,Standard Arabic
computer,Haasuub,حاسوب
computers,Hawaasiib,حواسيب
laptop,Haasuub maHmuul,حاسوب محمول
hard disk,qurS Sulb,قرص صلب
hard drive,muHarrik Sulb,محرك صلب
motherboard,lawHat umm,لوحة أم
memory card,biTaaqat daakira,بطاقة ذاكرة
processor,mu3aalij,معالج
key,zirr,زر
keys,azraar,أزرار
monitor,šaaša,شاشة
flatscreen monitor,šaašat 3arD,شاشة عرض
mouse,fa'ra,فأرة
scanner,maasiH Doo'i,ماسح ضوئي
printer,Tabbaa3a,طباعة
speakers,sammaa3aat,سماعات
multimedia,wasaa'iT muta3addida,وسائط متعددة
streaming media,batt Hayy,بث حي
digital,raqami,رقمي
virtual,wahmi,وهمي
wireless,la silki,لا سلكي
CD,qurS maDġuuT,قرص مضغوط
DVD,qurS viidiyo raqami,قرص فيديو رقمي
data,bayanaat,بيانات
software,barmijiyaat,برمجيات
program,barnaamaj,برنامج
programs,baraamij,برامج
network,šabaka,شبكة
networks,šabakaat,شبكات
data,bayanaat,بيانات
forum,muntuda,منتدى
forums,muntudiyaat,منتديات
blog,mudawwana,مدوّنة
blogs,mudawwanaat,مدوّنات
chat,dardaša,دردشة
link,raabiT,رابط
links,rawaabiT,روابط
email,bariid elektroni,بريد الكتروني
account,Haasib,حاسب
accounts,Haasibaat,حاسبات
profile,milaff šaxSi,ملفّ شخصي
private message,risaala xaaSSa,رسالة خاصة
comment,ta3liiq,تعليق
comments,ta3liiqaat,تعليقات
design,taSmiim,تصميم
browser,mutaSaffiH,متصفح
firewall,jidaar naari,جدار ناري
host,muDiif,مضيف
server,muzawwid,مزود
frequently asked questions,as'ila šaa'i3a/mutakarrira,أسئلة شائعة |متكررّة
code ,rumuuz,رموز
smilie,ibtisaama,ابتسامة
smilies,ibtisaamaat,ابتسامات
folder,mujallad,مجلّد
folders,mujalladaat,مجلّدات
file,milaff,ملف
files,milaffaat,ملفات
size,Hajm,حجم
sizes,Hujuum/aHjaam,حجوم | أحجام
high-quality,jawda 3aaliya,جودة عالية
re-upload,i3aadat raf3,إعادة رفع
original uploader,raafi3 aSli,رافع أصلي
font,xaTT,خط
fonts,xuTuuT,خطوط
Click here,iDġaT hona,اضغط هنا
Contact us,ittaSil bina,اتصل بنا
An error has occurred,HaSala xaTa',حصل خطأ
cell phone,haatif maHmuul/xalawi,هاتف محمول | خلوي
SMS/text message,risaala,رسالة
SMS/text messages,rasaa'il,رسائل
balance,raSiid,رصيد
balances,arSida,أرصدة
shredder,farraama,فرّامة
xerox machine,jihaaz taSwiir mustanadaat,جهاز تصوير مستندات
copy,nusxa,نسخة
copies,nusax,نسخ
