english,transliteration,arabic
English,Transliteration,Standard Arabic
feeling,ša3r,شعر
feelings,šu3uur,شعور
emotion,3aaTif,عاطف
emotions,3awaaTif,عواطف
emotional or sentimental,3aaTifi,عاطفي
to hide or repress one's feelings,katam - yiktim  fi nafsu,كتم - يكتم  في نفسه
passion,3išq,عشق
love,Hubb,حبّ
hate,karaahiyya,كراهية
yearning,Haniin,حنين
longing,šooq,شوق
despair,ya's,يأس
bitterness,maraara,مرارة
tear,dam3,دمع
tears,dumuu3,دموع
smiling ,bašuuš,بشوش
smiling ,bašuuš,بشوش
frowning ,mikaššar,مكشّر
to bellow at,ga3ar - yig3ar  fi,جعر - يجعر  في
to yell at,šaxaT - yušxoT  fi,شخط - يشخط  في
to belittle,hazza' - yihazza' ,هزّأ - يهزّأ 
to speak rudely to s.o.,baggaH - yibaggaH  fi,بجّح - يبجّح  في
to to break off relations with s.o. because of a dispute,xaaSim - yixaaSim ,خاصم - يخاصم 
a public disgrace,jursa,جرسة
a public disgraces,juras,جرس
to spread scandal/gossip maliciously,namm - yinimm ,نم - ينم 
scandal-monger,nammaam,نمام
to excuse and sympathize with,3azar - yi3zur ,عزر - يعزر 
 kiss,qubla,قبلة
 kisses,qubalaat,قبلات
to gasp,"šihi' - 
yišha' ",شهق - يشهق 
to moan,"ann - 
ya'inn ",أن - يئن 
 sigh,tanhiida,تنهيدة
 sighs,tanaahiid,تناهيد
personality,šaxSiyya,شخصية
personalities,šaxSiyyaat,شخصيات
happy ,sa3iid,سعيد
happy s,su3adaa' ,سعداء 
glad,farHaan ,"فرحان
 "
delighted ,masruur ,"مسرور 
"
cheerful ,mariH ,"مرح 
"
proud ,"faxuur
 ",فخور 
content,raaDi,راضي
to be really happy about s.t. or really enjoy it,"insagam - 
yinsigim  min",انسجم - ينسجم  من
very happy/pleased,munsagim,منسجم
sad ,Haziin,حزين 
sad s,Hazaana ,حزانة 
regretful ,"naadim
 ",نادم 
depressed,mukta'ib,مكتئب
miserable,ta3iis,تعيس
miserables,tu3asaa',تعساء
miserable,miskiin,مسكين
miserables,masakiin,مساكين
comfortable,murtaaH,مرتاح
busy,mašġuul,مشغول
hopeful ,3ašmaan ,عشمان 
indifferent,miTanniš,مطنش
worried ,"qalq
 ",قلق  
worries,"humuum
  hamm",هموم    هم
tense,mutawattar,متوتر
stressed,mašduud,مشدود
upset,za3laan,زعلان
to get upset,zi3il - yiz3al,زعل - يزعل
annoyed,mutaDaayiq,متضايق
to irritate s.o.,ġaaZ - yiġiiZ,غاظ - يغيظ
troublemaker,mušaaġib,مشاغب
frustrated,3andu iHbaaT,عنده احباط
fed up with,maxnuu' min,مخنوق
to get fed up with s.t.,"zihi' - 
yizha' min",زهق - يزهق من
angry ,ġaaDib ,غاضب 
furious ,maf'uu3 min,مفقوع من
to explode with anger at,"Ta'' - 
yiTa'' min",طقّ - يطقّ من
His blood boiled ,dammu itHara',دمه اتحرق
embarrassed,xajlaan,خجلان
bashful,xajuul,خجول
sensitive,Hassaas,حساس
quiet or calm,haadi',هادئ
lonely,waHiid,وحيد
loneliness,wiHda,وحدة
unfriendly,"minTiwi 
3ala nafsu",منطوي على نفسه
sociable,ijtimaa3i,اجتماعي
chatterbox ,raġġaay,رغاي
naughty,šaqi,شقي
naughties,ašqiyaa',اشقياء
reckless,mutahawwir,متهوّر
amazed,mundahiš,مندهش
astonished,mustaġrib,مستغرب
to be taken aback,"ittaaxid - 
yittaaxid/itxadd - yitxadd",اتاخد - يتاخد
shocked,madhuul,مذهول
to give s.o. a shock,"Sa3a' - 
yiS3a' ",صعق - يصعق 
confused ,Haa'ir ,"حائر 
"
to confuse,"laxbaT
 - yilaxbaT ",لخبط - يلخبط 
hesitant,mutaraddid,متردّد
firm,Haazim,حازم
decisive,Haasim,حاسم
afraid ,"xaa'if
 ",خائف 
panic,du3r,ذعر
jealous ,ġayuur,غيور
jealous s,ġuyur ,غير 
envious ,Hasuud,حسود
envious s,Husud ,"حسد
 "
disgusted ,"mušma'izz
 min",مشمئز من
confident ,"waatiq
 bi",واثق بـ
tired,mut3ab,متعب
sleepy,na3saan,نعسان
stubborn,3aniid,عنيد
stubborns,3unud,عند
hard-headed,raasu našfa,راسه ناشفة
greedy,Tammaa3,طماع
gluttonous,faj3aan,فجعان
selfish,anaani,أناني
selfless,ġeiri,غيري
generous,kariim,كريم
generous,karaam,كرام
spendthrift,musrif,مسرف
to spend too much money,"farraT
 - yifarraT  fi fluusu",فرّط - يفرّط  في فلوسه
stingy,baxiil,بخيل
frugal,muqtaSid,مقتصد
careful,HariiS,حريص
carefuls,HuraSa 3ala,حرصاء على
careless,muhmil,مهمل
affectionate ,Hanuun ,"حنون
 "
loving,muHibb,محبّ
kind,Tayyib ,طيّب 
kind,šafuuq,شفوق
kinds,šufa'a,شفقاء
kind,samH,سمح
nice,laTiif,لطيف
nices,liTaaf ,لطاف 
pleasant,Zariif,ظريف
pleasants,Zurafaa' ,ظرفاء 
tolerant,Haliim,حليم
tolerants,Hulamaa',حلماء
gentle,raqiiq,رقيق
gentles,ruqaaq,رقاق
polite,mu'addab,مؤدب
impolite,"ġeir
 mu'addab",غير مؤدب
shameless,"'aliil/3adiim
 il-Haya",قليل \ عديم الحياء
lazy,kusuul,كسول
hardworking,mujtahid,مجتهد
determined,muSammim,مصمم
alert,faa'iq,فائق
active,našiiT,نشيط
actives,nušaTaa',نشطاء
picky,miwaswis,موسوس
