english,transliteration,arabic
English,Transliteration,Egyptian Arabic
job,waZiifa,وظيفة
jobs,waZaayif,وظائف
profession,mihna,مهنة
professions,mihan,مهن
work,šuġl,شغل
employment,tawZiif,توظيف
unemployment,baTaala,بطالة
resume,C.V.,سي في
resumes,siyar daatiyya,سير ذاتية
qualifications,mu'ahhilaat,مؤهلات
experience,xibra,خبرة
job vacancy,waZiifa xalya,وظيفة شاغرة/خالية
interview,mu'abla šaxSiyya,مقابلة شخصية
promotion,tarqiyya,ترقية
raise,3elaawa,علاوة
raises,3elaawaat,علاوات
salary,murattab,مرتب
salaries,murattabaat,مرتبات
income,daxl,دخل
 salary,mahiyya,ماهية
 salaries,mahiyyaat,ماهيات
living,riz',رزق
livings,arzaa',أرزاق
pension,ma3aaš,معاش
time to leave work,mii3aad/wa't il-inSiraaf,ميعاد | وقت الانصراف
boss,mudiir,مدير
colleague,zimiil,زميل
colleagues,zumalaa',زملاء
office; desk,maktab,مكتب
office; desks,makaatib,مكاتب
shredder,farraaama,فرامة
shredders,farraamaat,فرامات
file,milaff,ملف
files,milaffaat,ملفات
money,filuus,فلوس
monies,amwaal,أموال
currency,3umla,عملة
counterfeit,muzayyaf,مزيّف
cash,na'd,نقد
cash,nu'uud,نقود
check,šek,شيك
checks,šekaat,شيكات
bank,bank,بنك
banks,bunuuk,بنوك
ATM,ATM,آي تي ام
account,Hisaab,حساب
accounts,Hisaabaat,حسابات
savings account,Hisaab tawfiir,حساب توفير
checking account,Hisaab gaari,حساب جاري
balance,raSiid,رصيد
balances,arSida,أرصدة
to save (accumulate money,Hawwiš - yiHawwiš ,حوّش - يحوّش 
loan,qarD,قرض
loans,quruuD,قروض
debt,dein,دين
debts,duyuun,ديون
credit card,kredit kard,كريدت كارد
allowance,3elaawa,علاوة
allowances,3elaawaat,ملاوات
accountant,muHaasib,محاسب
actor,mumassil,ممثل
administrator,idaari,اداري
agent,wakiil,وكيل
agents,wukala,وكلاء
air stewardess,muDiif gawwi,مضيف جوي
ambassador,safiir,سفير
ambassadors,sufara,سفراء
analyst,muHallil,محلل
architect,muhandis mi3maari,مهندس معماري
artist,fannaan,فنان
assistant,musaa3id,مساعد
astrologer,munaggim,منجم
astronaut,raa'id faDaa',رائد فضاء
athlete,riyaaDi,رياضي
author,mu'allif,مؤلف
baker,farraan,فران
barber,Hallaa',حلاق
blacksmith,Haddaad,حداد
broadcaster,muzii3,مذيع
businessman,raagil a3maal,رجل أعمال
businessmen,rigaal a3maal,رجال أعمال
butcher,gazzaar,جزار
carpenter,naggaar,نجار
cashier; bank teller,Sarraaf,صراف
cashier; bank tellers,Sayarfa/Sayaarif,صيرفة/صيارف
chemist,kimyaa'i,كيميائي
coach,mudarrib,مدرب
composer,mulaHHin,ملحن
computer programmer,mubarmig kombyuuter,مبرمج كومبيوتر
contractor,mi'aawil,مقاول
cook,Tabbaax,طباخ
correspondent,muraasil,مراسل
critic,naaqid,ناقد
critics,nuqqaad,نقاد
dancer,ra''aaS,رقاص
dentist,doktoor asnaan,دكتور اسنان
designer,muSammim,مصمم
diplomat,dibloomaasi,دبلوماسي
director,mudiir,مدير
directors,mudiiriin,مديرين
director ,muxrig,مخرج
doctor,doktoor,دكتور
doctors,dakatra,دكترة
doorman,bawwaab,بواب
driver,sawwaa',سواق
editor,muHarrir,محرر
electrician,kahrubaa'i,كهربائي
electricians,kahrubaa'iyya,كهربائية
employee,muwaZZaf,موظف
engineer,muhandis,مهندس
expert,xabiir,خبير
experts,xubara,خبراء
farmer,muzaari3,مزارع
financial advisor,mustašaar maali,مستشار مالي
fireman,3askari maTaafi,عسكري مطافي
guard,Haaris,حارس
guards,Hurraas,حراس
hairdresser,kuwafeir,كوافير
historian,mu'arrix,مؤرخ
inspector,mufattiš,مفتش
inventor,muxtari3,مخترع
jeweler,gawahirgi,جوهرجي
jewelers,gawahirgiyya,جوهرجية
journalist,SuHafi,صحفي
judge,'aaDi,قاضي
judges,'uDaah,قضاة
lawyer,muHaami,محامي
librarian,amiin maktaba,أمين مكتبة
maid,šaġġala,شغالة
marketer,musawwi',مسوق
mechanic,mikaniiki,ميكانيكي
mechanics,mikaniikiyya,ميكانيكية
merchant,taagir,تاجر
merchants,tuggaar,تجار
model,3aariD azyaa',عارض أزياء
musician,musiqaar,موسيقار
nanny,murabbiyya,مربية أطفال
nurse,mumarriD,ممرض
officer,ZaabiT,ضابط
officers,ZubbaaT,ضباط
painter,rassaam,رسام
pharmacist,Saydali,صيدلي
pharmacists,Sayadla,صيدلة
photographer,muSawwaraati,مصوراتي
photographers,muSawwaraatiyya,مصوراتية
pilot,Tayyaar,طيار
plumber,sabbaak,سباك
poet,šaa3ir,شاعر
policeman,3askari šurTa,عسكري شرطة
politician,siyaasi,سياسي
producer,muntig,منتج
psychologist,doktoor nafsaani,دكتور نفساني
professor,ustaaz,استاذ
professors,asatza,أساتذة
sailor,baHHaar,بحار
sailors,baHHaara,بحارة
salesman,bayyaa3,بياع
scientist,3aalim,عالم
scientists,3ulama,علماء
servant,xaddaam,خدام
singer,muġanni,مغني
social worker,mušrif igtimaa3i,مشرف اجتماعي
student,Taalib,طالب
students,Tullaab,طلاب
supervisor,muraa'ib,مراقب
surgeon,garraaH,جراح
tailor,xayyaaT,خياط
teacher,mudarris,مدرس
veterinarian,doktoor beTari,دكتور بيطري
waiter,garsoon,جرسون
waiters,garsoonaat,جرسونات
worker,3aamil,عامل
workers,3ummaal,عمال
writer,kaatib,كاتب
writers,kuttaab,كتاب
