English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
hobby,هواية,hawaaya,هواية,hawaaya
hobbies,هوايات,hawaayaat,هوايات,hawaayaat
sport,رياضة,riyaaDa,رياضة,riyaaDa
sports,رياضات,riyaaDaat,رياضات,riyaaDaat
game,لعبة,la3ba,لعبة,li3ba
games,ألعاب,al3aab,ألعاب,al3aab
crafts,حرف    حرفة,Hirf  Hirfa,حرف    حرفة,Hirf  Hirfa
ball,كرة,kura,كورة,koora
balls,كور,kuwar,كور,kowar
team,فريق,fariiq,فريق,fariiq
national team,منتخب,muntaxab,منتخب,muntaxab
match,مباراة,mubaaraah,ماتش,matš
matches,مبارات,mubaaraat,ماتشات,matšaat
stadium,استاد,istaad,استاد,istaad
field,ملعب,mal3ab,ملعب,mal3ab
off-side,تسلل,tasallul,تسلل,tasallul
goal post,قائم,qaa'im,قائم,'ayma
goal posts,,'awaayim,,'awaayim
crossbar,عارضة,3aariDa,عارضة,3aariDa
goal,هدف,hadaf,جول,gool
goals,أهداف,ahdaaf,جولات,goolaat
 consecutive goals,هدفان متتاليان,hadafaan mutataaliyaan,هدفان متتاليان,hadafaan mutataaliyaan
player,لاعب,laa3ib,لاعب,laa3ib
players,لاعبون,laa3ibuun,لاعبين,laa3ibiin
midfielder,لاعب الوسط,laa3ib wasaT,لاعب الوسط,laa3ib wasaT
attacker,مهاجم,muhaajim,مهاجم,muhaajim
defender,مدافع,mudaafi3,مدافع,mudaafi3
forward,أمامي,amaami,مهاجم,amaami
striker,ضارب,Daarib,مهاجم,Daarib
winger,لاعب جناح,laa3ib jinaaH,لاعب جناح,laa3ib jinaaH
referee,حكم,Hakam,حكم,Hakam
trainer or coach,مدرّب,mudarrib,مدرّب,mudarrib
 kick,ضربة,Daraba,شوطة,Daraba
free kick,ضربة حرة,Darba Hurra,ضربة حرة,Darba Hurra
direct free kick,ضربة حرة  مباشرة,Darba Hurra  mubaašira,ضربة حرة  مباشرة,Darba Hurra  mubaašira
penalty kick,ضربة جزاء |  ترجيح,Darabat jazaa'/tarjiiH,ضربة جزاء,Darabat jazaa'/tarjiiH
corner kick,ضربة ركنية,Daraba rukniyya,ضربة ركنية,Daraba rukniyya
goal kick,ضربة مرمى,Darabat marma,ضربة مرمى,Darabat marma
header,ضربة رأس,Darabat ra's,ضربة رأس,Darabat ra's
victory,فوز,fawz,فوز,fawz
 pass,تمريرة,tamriira,تمريرة,tamriira
foul,خطاء,xaTaa',فاول,faawil
fouls,أخطاء,axTaa',فاولات,fawlaat
a tie,تعادل,ta3aadul,تعادل,ta3aadul
a scoreless tie,تعادل سلبي,ta3aadul silbi,تعادل سلبي,ta3aadul silbi
yellow card,بطاقة صفراء,biTaaqa Safraa',كرت أصفر,biTaaqa Safraa'
red card,بطاقة حمراء,biTaaqa Hamraa',كرت أحمر,biTaaqa Hamraa'
amateur,هاوي,haawi,هاوي,haawi
professional,محترف,muHtarif,محترف,muHtarif
baseball,بيسبول,beisbool,بيسبول,beisbool
hockey,هوكي,hoki,هوكي,hoki
skiing,تزلج,tazalluj,تزلج,tazalluj
golf,غولف,ġolf,جولف,ġolf
gymnastics,جمباز,jumbaaz,جيمناستيك,jumbaaz
archery,رماية,rimaaya,رماية,rimaaya
skating,تزلج,tazalluj,باتيناج,tazalluj
running,عدو,3adw,الجري,3adw
cricket,كريكت,kirikit,كريكت,kirikit
polo,بولو,bolo,بولو,bolo
boxing,ملاكمة,mulaakama,ملاكمة,mulaakama
wrestling,مصارعة,muSaara3a,مصارعة,muSaara3a
swimming,سباحة,sibaaHa,سباحة,sibaaHa
diving,غطس,ġaTs,غطس,ġaTs
rowing,تجديف,tajdiif,تجديف,tajdiif
backgammon,طاولة,Taawila,طاولة,Taawila
chess,شطرنج,šaTranj,شطرنج,šaTranj
king ,ملك,malik,ملك,malik
queen ,ملكة,malika,وزير,malika
pawn ,جندي,jundi,عسكري,3askari
pawn s,جنود,junuud,عساكر,3asaakir
knight ,حصان,HiSaan,حصان,HiSaan
rook,قلعة,qal3a,طابية,qal3a
bishop ,فيل,fiil,فيل,fiil
Check,كش,kišš,كش,kišš
Checkmate,كش ملك,kišš malik,كش مات,kišš malik
gardening,بستنة,bastana,بستنة,bastana
gambling,قمار,qimaar,قمار,qimaar
fishing rod,صنارة,Sinnaara,صنارة,Sinnaara
fishing rods,صنانير,Sanaaniir,صنانير,Sananiir
hunting,صيد,Seid,صيد,Seid
sewing,خياطة,xiyaaTa,خياطة,xiyaaTa
spades,بستوني,bastuuni,سبادس,bastuuni
