english,transliteration,arabic
English,Transliteration,Standard Arabic
city,madiina,مدينة
cities,mudun,مدن
street,šaari3,شارع
streets,šawaari3,شوارع
road,Tariiq,طريق
roads,Turuq,طرق
highway,Tariiq sarii3,طريق  سريع
alley; lane,Haara,حارة
alley; lanes,Haaraat,حارات
corner ,naaSiya,ناصية
corner s,nawaaSin,نواص
corner ,rukn,ركن
corner s,arkaan,أركان
tunnel,nafaq,نفق
tunnels,anfaaq,انفاق
building,3imaara,عمارة
buildings,3imaaraat,عمارات
real estate,3aqaar,عقار
real estates,3aqaaraat,عقارات
house,beit,بيت
houses,buyuut,بيوت
apartment,šaqqa,شقة
apartments,šiqaq,شقق
bridge,jisr,جسر
bridges,jusuur,جسور
fence,suur,سور
fences,aswaar,أسوار
square,meidaan,ميدان
squares,mayaadiin,ميادين
company,šarika,شركة
companies,šarikaat,شركات
center,markaz,مركز
centers,maraakiz,مراكز
shop,maHall,محلّ
shops,maHallaat,محلات
small grocery shop,baqqaala,بقالة
small grocery shops,baqqaalaat,بقالات
cafe,maqha,مقهى
cafes,maqhaah,مقهاة
club,naadii,نادي
clubs,nawaadii,نوادي
bar,Haana,حانة
bars,Haanaat,حانات
movie theater,sinima,سينما
movie theaters,sinimaat,سينمات
theater,masraH,مسرح
theaters,masaariH,مسارح
gallery,ma3riD,معرض
galleries,ma3aariD,معارض
fair,mihrajaan,مهرجان
fairs,mihrajaanaat,مهرجانات
park,Hadiiqa,حديقة
parks,Hadaa'iq,حدائق
bench,maq3ad,مقعد
benches,maqaa3id,مقاعد
restaurant,maT3am,مطعم
restaurants,maTaa3im,مطاعم
school,madrasa,مدرسة
schools,madaaris,مدارس
university,jaami3a,جامعة
universities,jaami3aat,جامعات
mosque,jaami3,جامع
mosques,jawaami3,جوامع
church,kaniisa,كنيسة
churches,kanaa'is,كنائس
synagogue,kaniis,كنيس
temple,ma3bad,معبد
temples,ma3aabid,معابد
tower,burj,برج
towers,abraaj,أبراج
graveyard,jabbaana,جبّانة
graveyards,jabbaanaat,جبّانات
brick,Tuub,طوب
tin,SafiiH,صفيح
tourism,siyaaHa,سياحة
insurance,ta'miin,تأمين
 exchange,Siraafa,صرافة
bank,bank,بنك
banks,bunuuk,بنوك
ATM,Sarraaf aali,صرّاف آلي
library; bookstore,maktaba,مكتبة
library; bookstores,maktabaat,مكتبات
station,maHaTTa,محطة
stations,maHaTTaat,محطات
airport,maTaar,مطار
airports,maTaaraat,مطارات
hotel,funduq,فندق
hotels,fanaadiq,فنادق
museum,matHaf,متحف
museums,mataaHif,متاحف
palace,qaSr,قصر
palaces,quSuur,قصور
citadel,qal3a,قلعة
citadels,quluu3,قلوع
hospital,mustašfa,مستشفى
hospitals,mustašfayaat,مستشفيات
clinic,3iyaada,عيادة
clinics,3iyaadaat,عيادات
bakery,maxbaz,مخبز
bakeries,maxaabiz,مخابز
pharmacy,Saydaliyya,صيدلية
pharmacies,Saydaliyyaat,صيدليات
fountain,yanbuu3,ينبوع
fountains,yanaabii3,ينابيع
auditorium,mudarraj,مدرّج
auditoriums,mudarrajaat,مدرّجات
sidewalk,raSiif,رصيف
covered in asphalt,mitsaflit,متسفلت
pothole; speed bump,maTabb,مطبّ
pothole; speed bumps,maTabbaat,مطبّات
sewer,ballaa3a,بلاعة
sewers,ballaa3aat,بلاعات
sewage,majaari,مجاري
hole,Hufra,حفرة
holes,Hufar,حفر
sign,yaafiTa,يافطة
signs,yaafiTaat,يافطات
public transportation,muwaaSlaat,مواصلات
traffic,muruur,مرور
crowdedness,izdiHaam,ازدحام
noise,Dajja,ضجّة
pollution,tilawwat,تلوث
mess,harjala,هرجلة
trash,nufaaya,نفاية
queue,Taabuur,طابور
queues,Tawaabiir,طوابير
car,sayyaara,سيارة
cars,sayyaaraat,سيارات
bus,Haafila,حافلة
buses,Hawaafil,حوافل
bicycle,darraaja,درّاجة
bicycles,darraajaat,درّاجات
motorcycle,darraaja naariyya,درّاجة نارية
truck,šaaHina,شاحنة
trucks,šaaHinaat,شاحنات
taxi,taksi,تاكسي
taxis,taksiyaat,تاكسيات
meter,3addaad,عدّاد
meters,3addaadaat,عدّادات
tire,iTaar,اطار
tires,iTaaraat,اطارات
wheel,iTaar,اطار
wheels,iTaaraat,اطارات
brakes,faraamil,فرامل
car hood,kabbuut,كبوت
car hoods,kababiit,كبابيت
clutch,dibriyaaž,دبرياج
clutches,dibriyažaat,دبرياجات
car trunk,šanTit il-3arabiyya,شنطة العربية
workshop,warša,ورشة
workshops,wiraš,ورش
gas,binziin,بنزين
driver's license,ruxSa,رخصة
driver's licenses,ruxaS qiyaada,رخص قيادة
car horn,buuq,بوق
car horns,abwaaq,أبواق
accident,Haadita,حادثة
accidents,Hawaadit,حوادث
driver,saa'iq,سائق
drivers,saa'iquun,سائقون
train,qiTaar,قطار
trains,qiTaaraat,قطارات
a train/metro pass for a month or several months,'aboneih,أبونيه
boat,markab,مركب
boats,maraakib,مراكب
boat ,qaarib,قارب
boat s,qawaarib,قوارب
ship,safiina,سفينة
ships,sufun,سفن
liner,3abbaara,عبّارة
liners,3abbaaraat,عبّارات
plane,Taa'ira,طائرة
planes,Taa'iraat,طائرات
visa,ta'šiira,تأشيرة
visas,ta'šiiraat,تأشيرات
helicopter,marwaHiyya,مروحية
trip,riHla,رحلة
trips,riHalaat,رحلات
to be cancelled ,itlaġa - yitliġi ,اتلغى - يتلغي 
tour,jawla,جولة
tours,jawlaat,جولات
