english,transliteration,arabic,audioUrl
animal,ɧayawēn,حَيَوان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-1.mp3
pet,ɧayawēn alīf,حَيَوان أليف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-2.mp3
Do you have any pets?,3índak ɧayawēnēt alīfi?,عِنْدك حَيَوانات أليفِة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-3.mp3
dog,kálib (klēb),كلِب (كْلاب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-4.mp3
cat,bsēni,بْسيْنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-5.mp3
"I like cats, but I don’t like dogs so much.",ána bɧibb libsēnēt bass mā bɧibb liklēb ktīr.,أنا بْحِبّ الِبْسيْنات بسّ ما بْحِبّ الِكْلاب كْتير.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-6.mp3
cage,ʔáfaʂ (aʔfāʂ),قفص (أقْفاص),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-7.mp3
leash,silsílit kálib (salësil kálib),سِلْسِلِة كلِب (سلاسِل كلِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-8.mp3
dog collar,ʈōʔ (aʈwāʔ),طوْق (أطْواق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-9.mp3
to train,"dárrab, ydárrib",درّب، يْدرِّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-10.mp3
"(pet) food, feed",3álaf,علف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-11.mp3
bear,dibb (díbab),دِبّ (دِبب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-12.mp3
beaver,ʔíndus (ʔanēdis),قِنْدُس (قنادِس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-13.mp3
buffalo,jāmūsi (jawamīs),جاموسِة (جَواميس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-14.mp3
cheetah,fáhid (fhūd),فهِد (فْهود),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-16.mp3
