english,transliteration,arabic,audioUrl
body,jísim (ajsām),جِسِم (أجْسام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-1.mp3
head,rās (rwēs),راس (رْواس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-2.mp3
brain,dmēɣ (ádmiɣa),دْماغ (أدْمِغة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-3.mp3
mind,3aʔl (3ʔūl),عقْل (عْقول),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-4.mp3
skull,jímjmi (jamējim),جِمْجْمِة (جماجِم),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-5.mp3
face,wijj (wjūh),وِجّ (وْجوه),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-6.mp3
He has a round face.,wíjju mdáwwar,وِجّو مْدوّر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-7.mp3
She has a oblong face.,3índa wijj ʈawīl.,عِنْدا وِجّ طَويل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-8.mp3
I have a square face.,wíjji mrábba3.,وِجّي مْربّع.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-9.mp3
You have an oval face.,3índak wijj bayɖāwi.,عِنْدك وِجّ بَيْضاوي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-10.mp3
to wash one’s face,ɣással [55] wíjju,غسّل وِجّو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-11.mp3
forehead,jbīn,جْبين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-12.mp3
He has a big forehead.,jbīnu kbīr.,جْبينو كْبير.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-13.mp3
brow,ɧwējib [pl.],حْواجِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-14.mp3
"to frown, knit one’s brow, scowl","šadd ɧwējbu, yšidd ɧwējbu",شدّ حْواجْبو، يْشِدّ حْواجْبو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-15.mp3
"to frown, knit one’s brow, scowl","3ábas, yí3bus",عبس، يِعْبُس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-16.mp3
cheek,xadd (xdūd),خدّ (خْدود),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-17.mp3
chin,dáʔin (dʔūn),دقِن (دْقون),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-18.mp3
jaw,ɧának (ɧnēk),حنك (حْناك),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-19.mp3
eye,3ēn (3yūn),عيْن (عْيون),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-20.mp3
My eyes itch.,3ēni 3am-tɧíkkni.,عيْني عم تْحِكّْني.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-21.mp3
blue eyes,3yūn zúruʔ,عْيون زُرُق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-22.mp3
green eyes,3yūn xúɖur,عْيون خُضُر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-23.mp3
brown eyes,3yūn bínni,عْيون بِنّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-24.mp3
She has beautiful brown eyes.,3yūna 3asaliyīn ɧilwīn. [lit. honey],عْيونا عسلِيين حِلْوين.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-25.mp3
What color are his eyes?,šū lōn 3yūnu?,شو لوْن عْيونو؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-26.mp3
His eyes are green.,3yūnu xúɖur.,عْيونو خُضُر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-27.mp3
eyebrow,ɧājib (ɧwējib),حاجِب (حْواجِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-28.mp3
eyelid,jífin (jfūn),جِفِن (جْفون),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-29.mp3
eyelash,rímiš (rmūš),رِمِش (رْموش),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-30.mp3
She has long eyelashes.,3índa rmūš ʈwāl.,عِنْدا رْموش طْوال.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-30b.mp3
"sclera, the white of one’s eyes",bayāɖ 3ēn,بَياض عيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-31.mp3
