English,Standard Arabic,Transliteration
computer,حاسوب,Haasuub
computers,حواسيب,Hawaasiib
laptop,حاسوب محمول,Haasuub maHmuul
hard disk,قرص صلب,qurS Sulb
hard drive,محرك صلب,muHarrik Sulb
motherboard,لوحة أم,lawHat umm
memory card,بطاقة ذاكرة,biTaaqat daakira
processor,معالج,mu3aalij
key,زر,zirr
keys,أزرار,azraar
monitor,شاشة,šaaša
flatscreen monitor,شاشة عرض,šaašat 3arD
mouse,فأرة,fa'ra
scanner,ماسح ضوئي,maasiH Doo'i
printer,طباعة,Tabbaa3a
speakers,سماعات,sammaa3aat
multimedia,وسائط متعددة,wasaa'iT muta3addida
streaming media,بث حي,batt Hayy
digital,رقمي,raqami
virtual,وهمي,wahmi
wireless,لا سلكي,la silki
CD,قرص مضغوط,qurS maDġuuT
DVD,قرص فيديو رقمي,qurS viidiyo raqami
operating system,نظام,niZaam at-tašġiil
operating systems,أنظمة التشغيل,anZimat at-tašġiil
database,قاعدة,qaa3ida
databases,قواعد البيانات,qawaa3id al-bayanaat
data,بيانات,bayanaat
software,برمجيات,barmijiyaat
program,برنامج,barnaamaj
programs,برامج,baraamij
network,شبكة,šabaka
networks,شبكات,šabakaat
data,بيانات,bayanaat
website,موقع,mawqi3
websites,مواقع الانترنت,mawaaqi3 al-internet
forum,منتدى,muntuda
forums,منتديات,muntudiyaat
blog,مدوّنة,mudawwana
blogs,مدوّنات,mudawwanaat
chat,دردشة,dardaša
link,رابط,raabiT
links,روابط,rawaabiT
email,بريد الكتروني,bariid elektroni
account,حاسب,Haasib
accounts,حاسبات,Haasibaat
profile,ملفّ شخصي,milaff šaxSi
private message,رسالة خاصة,risaala xaaSSa
comment,تعليق,ta3liiq
comments,تعليقات,ta3liiqaat
design,تصميم,taSmiim
browser,متصفح,mutaSaffiH
search engine,محرك,muHarrik
search engines,محركات البحث,muHarrikaat al-baHt
firewall,جدار ناري,jidaar naari
host,مضيف,muDiif
server,مزود,muzawwid
frequently asked questions,أسئلة شائعة |متكررّة,as'ila šaa'i3a/mutakarrira
code ,رموز,rumuuz
smilie,ابتسامة,ibtisaama
smilies,ابتسامات,ibtisaamaat
folder,مجلّد,mujallad
folders,مجلّدات,mujalladaat
file,ملف,milaff
files,ملفات,milaffaat
size,حجم,Hajm
sizes,حجوم | أحجام,Hujuum/aHjaam
high-quality,جودة عالية,jawda 3aaliya
re-upload,إعادة رفع,i3aadat raf3
original uploader,رافع أصلي,raafi3 aSli
font,خط,xaTT
fonts,خطوط,xuTuuT
Click here,اضغط هنا,iDġaT hona
Contact us,اتصل بنا,ittaSil bina
An error has occurred,حصل خطأ,HaSala xaTa'
cell phone,هاتف محمول | خلوي,haatif maHmuul/xalawi
SMS/text message,رسالة,risaala
SMS/text messages,رسائل,rasaa'il
balance,رصيد,raSiid
balances,أرصدة,arSida
shredder,فرّامة,farraama
xerox machine,جهاز تصوير مستندات,jihaaz taSwiir mustanadaat
copy,نسخة,nusxa
copies,نسخ,nusax
