English,Egyptian Arabic,Transliteration
north,شمال,šamaal
south,جنوب,ganuub
east,شرق,šar'
west,غرب,ġarb
direction,اتجاة,ittigaah
left,شمال,šimaal
right,يمين,yimiin
behind,ورا,wara
in front of,قدّام,'uddaam
next to,جنب,gamb
above,فوق,foo'
below,تحت,taHt
far ,بعيد عن,ba3iid 3an
near ,قريب من,'ariib/'urayyib min
opposite,قصاد,'uSaad
between,بين,bein
inside,جوة,guwwa
outside,برّة,barra
here,هنا,hina
there,هناك,hinaak
map,خريطة,xariiTa
maps,خرائط,xaraayiT
compass,بوصلة,boSla
distance,مسافة,masaafa
area,مساحة,misaaHa
width,عرض,3arD
height,ارتفاع,irtifaa3
length,طول,Tuul
place; location,مكان,makaan
place; locations,أماكن,amaakin
location,موقع,mawqi3
locations,مواقع,mawaaqi3
capital,عاصمة,3aaSima
capitals,عواصم,3awaaSim
suburb,ضاحية,DaHya
suburbs,ضواحي,DawaaHi
village,قرية,qarya
villages,قرى,qura
district,حيّ,Hayy
districts,أحياء,aHyaa'
governorate,محافظة,muHaafaZa
region,منطقة,minTa'a
regions,مناطق,manaaTi'
region,اقليم,iqliim
regions,أقاليم,aqaaliim
country,بلد,balad 
countries,بلاد,bilaad
homeland,وطن,waTan
homelands,أوطان,awTaan
Europe,أوروبا,uruppa
Africa,أفريقيا,afriqya
Asia,أسيا,asya
Australia,أستراليا,usturalya
the United States,أمريكا,amriika
England,انجلترا,inglitira
Austria,نمسا,nimsa
Germany,ألمانيا,almanya
Greece,يونان,yunaan
Japan,يابان,yabaan
North Africa,شمال أفريقيا,šamaal afriqya
Egypt,مصر,maSr
Aswan,أسوان,aswaan
Sinai,سيناء,siina
Fez,فاس,faas
Marrakesh,مراكش,marraakeš
Oran,وهران,wahraan
Tunisia,تونس,tuunis
Tunis,تونس,tuunis
Libya,ليبيا,liibiyaa
Tripoli,طرابلس,Taraabulus
Benghazi,بنغازي,benġaazi
Amman,عمّان,3ammaan
Palestine,فلسطين,filisTiin
Gaza Strip,قطاع غزة,qiTaa3 ġazza
Bethlehem,بيت لحم,beitalaHm
Jericho,أريحا,ariiHa
Jaffa,يافة,yaafa
Israel,إسرائيل,isra'iil
Lebanon,لبنان,libnaan
Beirut,بيروت,beiruut
Syria,سوريا,surya
Damascus,دمشق,dimaš' | dimiš'
Baghdad,بغداد,baġdaad
Qatar,قطر,qaTar
Abu Dhabi,أبو ظبي,abu Zabi 
Dubai,دبيّ,dubayy
Oman,عمان,3umaan
Muscat,مسقط,masqaT
Sana'a,صنعاء,San3a
