English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
clothes,ملابس,malaabis,هدوم,huduum
stylish, elegant (elegance, style),أنيق  ,aniiq ,أنيق  ,aniiq 
chic, elegant (elegance),شيك ,šiik ,شيك ,šiik 
overdressed, foppish,محفلط,moHaflaT,محفلط,moHaflaT
shirt,قميص,qamiiS,قميص,qamiiS
shirts,قمصان,qumSaan,قمصان,qumSaan
sleeve,كم,kumm,كم,kumm
sleeves,أكمام,akmaam,أكمام,akmaam
blouse,بلوزة,baluuza,بلوزة,baluuza
blouses,بلوزات,baluuzaat,بلوزات,baluuzaat
coat,معطف,mi3Taf,معطف,mi3Taf
coats,معاطف,ma3aaTif,معاطف,ma3aaTif
jacket,سترة,sutra,سترة,sutra
jackets,ستر,sutar,ستر,sutar
pants,بنطلون,banTaloon,بنطلون,banTaloon
pantss,بنطلونات,banTaloonaat,بنطلونات,banTaloonaat
shorts,بنطلون قصير,banTaloon qaSiir,بنطلون قصير,banTaloon qaSiir
shortss,شرطات,šorTaat,شرطات,šorTaat
skirt,تنّورة,tannuura,تنّورة,tannuura
skirts,تنّورات,tannuuraat,تنّورات,tannuuraat
dress,فستان,fustaan,فستان,fustaan
dresss,فساتين,fasaatiin,فساتين,fasaatiin
suit,بدلة,badla,بدلة,badla
suits,بدل,bidal,بدل,bidal
pajamas,بيجامة,bižaama,بيجامة,bižaama
pajamass,بيجامات,bižamaat,بيجامات,bižamaat
underwear,ملابس داخلية,malaabis daaxiliyya,ملابس داخلية,malaabis daaxiliyya
underpants,ملابس داخلية,malaabis daaxiliyya,ملابس داخلية,malaabis daaxiliyya
underpantss,كلوتّات,kilottaat,كلوتّات,kilottaat
men's underwear,ملابس داخلية رجالية,malaabis daaxiliyya rajaaliyya,ملابس داخلية رجالية,malaabis daaxiliyya rajaaliyya
men's underwears,لباسات | لبسة,libasaat/libisa,لباسات | لبسة,libasaat/libisa
bra,ملابس داخلية حريمي,malaabis daaxiliyya Hariimi,ملابس داخلية حريمي,malaabis daaxiliyya Hariimi
bras,ستيانات,sutyanaat,ستيانات,sutyanaat
diaper,حفاظ,HifaaZ,حفاظ,HifaaZ
diapers,حفاظات أطفال,HifaaZaat aTfaal,حفاظات أطفال,HifaaZaat aTfaal
hat,قبعة,qubba3a,قبعة,qubba3a
hats,قبعات,qubba3aat,قبعات,qubba3aat
gloves,قفّاز,quffaaz,قفّاز,quffaaz
glovess,قفّازات,quffaazaat,قفّازات,quffaazaat
scarf,وشاح,wišaaH,وشاح,wišaaH
scarfs,أوشحة,awšiHa,أوشحة,awšiHa
belt,حزام,Hizaam,حزام,Hizaam
belts,أحزمة,aHzima,أحزمة,aHzima
buckle,ابزيم,ibziim,ابزيم,ibziim
buckles,أبازيم,abaaziim,أبازيم,abaaziim
tie,ربطة,rabTa,ربطة,rabTa
ties,رباط عنق,ribaaT 3unuq,رباط عنق,ribaaT 3unuq
sock,جورب,jawrab,جورب,jawrab
socks,جوارب,jawaarib,جوارب,jawaarib
shoe,أحذية,aHdiya,أحذية,aHdiya
shoes,حذاء,Hidaa',حذاء,Hidaa'
slipper,خفّ,xuff,خفّ,xuff
slippers,خفاف | اخفاف,xifaaf | axfaaf,خفاف | اخفاف,xifaaf | axfaaf
collar,قبّة,qabba,قبّة,qabba
collars,قبّات,qabbaat,قبّات,qabbaat
button,زرّ,zirr,زرّ,zirr
buttons,ازرار,azraar,ازرار,azraar
pocket,جيب,jeib,جيب,jeib
pockets,جيوب,juyuub,جيوب,juyuub
zipper,سحاب,saHHaab,سوستة,soosta
thread,خيط,xeiT,خيط,xeiT
threads,خيوط,xuyuuT,خيوط,xuyuuT
jewel,جوهرة,jawhara,جوهرة,jawhara
jewels,جواهر,jawaahir,جواهر,jawaahir
jewelry,مجوهرات,mugawharaat,مجوهرات,mugawharaat
gold/silver/jewels,مصوغات,maSuughaat,مصوغات,maSuughaat
earring,حلق,Halaq,حلق,Halaq
earrings,حلقان,Hilqaan,حلقان,Hilqaan
necklace,عقد,3iqd,عقد,3iqd
necklaces,عقود,3uquud,عقود,3uquud
necklace, choker,كردان,kirdaan,كردان,kirdaan
necklace, chokers,كرادين,karaadiin,كرادين,karaadiin
bracelet,سوار,siwaar,سوار,siwaar
bracelets,أسورة,aswira,أسورة,aswira
ring,خاتم,xaatim,خاتم,xaatim
rings,خواتم,xawaatim,خواتم,xawaatim
gold,ذهب,dahab,دهب,dahab
silver,فضّة,fiDDa,فضّة,faDDa
pearls,لؤلؤ,lu'lu',لؤلؤ,lu'lu'
glasses,نظّارة,naZZaara,نضّارة,naDDaara
contact lenses,عدسات لاصقة,3adasaat laaSiqa,عدسات لاصقة,3adasaat laaSiqa
sunglasses,نظّارة شمسية,naZZaara šamsiyya,نضّارة شمس,naDDaarit šams
wristwatch,ساعة يد,saa3at yad,ساعة يد,saa3it iid
purse,شنطة,šanTa,شنطة,šanTa
purses,شنط ,šunaT ,شنط ,šunaT 
wallet,محفظة,maHfaZa,محفظة,maHfaZa
wallets,محافظ,maHaafiZ,محافظ,maHaafiZ
umbrella,مظلّة,miZalla,مظلّة,miZalla
umbrellas,مظلات,miZallaat,مظلات,miZallaat
fabric,أقمشة,aqmiša,قماشة,'umaaš
silk,حرير,Hariir,حرير,Hariir
silks,حرائر,Haraa'ir,حرائر,Haraa'ir
wool,صوف,Suuf,صوف,Suuf
wools,اصواف,aSwaaf,اصواف,aSwaaf
velvet,مخمل,muxmal,قطيفة,'aTiifa
cotton,قطن,quTun,قطن,quTun
cottons,اقطان,aqTaan,اقطان,aqTaan
lace,تخريمة,taxriima,دنتلّة  | دنتل,dantilla | dantel
leather,جلد,jild,جلد,gild
dotted,منقّط,munaqqaT,منقّط,mina''aT
striped,مقلّم,muqallam,مقلّم,mi'allim
plaid,كروهات,karohaat,كروهات,karohaat
solid color,سادة,saada,سادة,saada
embroidered, decorated,مزيّن,muzayyan,مزركش,mizarkaš
patterned,مشجّر,mušajjar,مشجّر,mišaggar
tight,ضيّق,Dayyiq,ضيّق,Dayya'
loose,واسع,waasi3,واسع,waasi3
wide,واسع,waasi3,واسع,waasi3
wides,عراض,3uraaD,عراض,3uraaD
modest,محتشم,muHtašim,حشمة,Hišma
torn,مقطوع,maqTuu3,مقطوع,ma'Tuu3
tailor,خيّاط,xayyaaT,خيّاط,xayyaaT
tailors,خيّاطون,xayyaaTuun,خيّاطون,xayyaaTuun
(clothing) size,مقاس,maqaas,مقاس,maqaas
(clothing) sizes,مقاسات,maqaasaat,مقاسات,maqaasaat
to fit, make to measure,فصّل - يفصّل ,faSSal - yifaSSal ,فصّل - يفصّل ,faSSal - yifaSSal 
