English,Standard Arabic,Transliteration,Standard Arabic,Transliteration
computer,حاسوب,Haasuub,حاسوب,Haasuub
computers,حواسيب,Hawaasiib,حواسيب,Hawaasiib
laptop,حاسوب محمول,Haasuub maHmuul,حاسوب محمول,Haasuub maHmuul
hard disk,قرص صلب,qurS Sulb,قرص صلب,qurS Sulb
hard drive,محرك صلب,muHarrik Sulb,محرك صلب,muHarrik Sulb
motherboard,لوحة أم,lawHat umm,لوحة أم,lawHat umm
memory card,بطاقة ذاكرة,biTaaqat daakira,بطاقة ذاكرة,biTaaqat daakira
processor,معالج,mu3aalij,معالج,mu3aalij
key,زر,zirr,زر,zirr
keys,أزرار,azraar,أزرار,azraar
monitor,شاشة,šaaša,شاشة,šaaša
flatscreen monitor,شاشة عرض,šaašat 3arD,شاشة عرض,šaašat 3arD
mouse,فأرة,fa'ra,فأرة,fa'ra
scanner,ماسح ضوئي,maasiH Doo'i,ماسح ضوئي,maasiH Doo'i
printer,طباعة,Tabbaa3a,طباعة,Tabbaa3a
speakers,سماعات,sammaa3aat,سماعات,sammaa3aat
multimedia,وسائط متعددة,wasaa'iT muta3addida,وسائط متعددة,wasaa'iT muta3addida
streaming media,بث حي,batt Hayy,بث حي,batt Hayy
digital,رقمي,raqami,رقمي,raqami
virtual,وهمي,wahmi,وهمي,wahmi
wireless,لا سلكي,la silki,لا سلكي,la silki
CD,قرص مضغوط,qurS maDġuuT,قرص مضغوط,qurS maDġuuT
DVD,قرص فيديو رقمي,qurS viidiyo raqami,قرص فيديو رقمي,qurS viidiyo raqami
operating system,نظام,niZaam at-tašġiil,نظام,niZaam at-tašġiil
operating systems,أنظمة التشغيل,anZimat at-tašġiil,أنظمة التشغيل,anZimat at-tašġiil
database,قاعدة,qaa3ida,قاعدة,qaa3ida
databases,قواعد البيانات,qawaa3id al-bayanaat,قواعد البيانات,qawaa3id al-bayanaat
data,بيانات,bayanaat,بيانات,bayanaat
software,برمجيات,barmijiyaat,برمجيات,barmijiyaat
program,برنامج,barnaamaj,برنامج,barnaamaj
programs,برامج,baraamij,برامج,baraamij
network,شبكة,šabaka,شبكة,šabaka
networks,شبكات,šabakaat,شبكات,šabakaat
data,بيانات,bayanaat,بيانات,bayanaat
website,موقع,mawqi3,موقع,mawqi3
websites,مواقع الانترنت,mawaaqi3 al-internet,مواقع الانترنت,mawaaqi3 al-internet
forum,منتدى,muntuda,منتدى,muntuda
forums,منتديات,muntudiyaat,منتديات,muntudiyaat
blog,مدوّنة,mudawwana,مدوّنة,mudawwana
blogs,مدوّنات,mudawwanaat,مدوّنات,mudawwanaat
chat,دردشة,dardaša,دردشة,dardaša
link,رابط,raabiT,رابط,raabiT
links,روابط,rawaabiT,روابط,rawaabiT
email,بريد الكتروني,bariid elektroni,بريد الكتروني,bariid elektroni
account,حاسب,Haasib,حاسب,Haasib
accounts,حاسبات,Haasibaat,حاسبات,Haasibaat
profile,ملفّ شخصي,milaff šaxSi,ملفّ شخصي,milaff šaxSi
private message,رسالة خاصة,risaala xaaSSa,رسالة خاصة,risaala xaaSSa
comment,تعليق,ta3liiq,تعليق,ta3liiq
comments,تعليقات,ta3liiqaat,تعليقات,ta3liiqaat
design,تصميم,taSmiim,تصميم,taSmiim
browser,متصفح,mutaSaffiH,متصفح,mutaSaffiH
search engine,محرك,muHarrik,محرك,muHarrik
search engines,محركات البحث,muHarrikaat al-baHt,محركات البحث,muHarrikaat al-baHt
firewall,جدار ناري,jidaar naari,جدار ناري,jidaar naari
host,مضيف,muDiif,مضيف,muDiif
server,مزود,muzawwid,مزود,muzawwid
frequently asked questions,أسئلة شائعة |متكررّة,as'ila šaa'i3a/mutakarrira,أسئلة شائعة |متكررّة,as'ila šaa'i3a/mutakarrira
code ,رموز,rumuuz,رموز,rumuuz
smilie,ابتسامة,ibtisaama,ابتسامة,ibtisaama
smilies,ابتسامات,ibtisaamaat,ابتسامات,ibtisaamaat
folder,مجلّد,mujallad,مجلّد,mujallad
folders,مجلّدات,mujalladaat,مجلّدات,mujalladaat
file,ملف,milaff,ملف,milaff
files,ملفات,milaffaat,ملفات,milaffaat
size,حجم,Hajm,حجم,Hajm
sizes,حجوم | أحجام,Hujuum/aHjaam,حجوم | أحجام,Hujuum/aHjaam
high-quality,جودة عالية,jawda 3aaliya,جودة عالية,jawda 3aaliya
re-upload,إعادة رفع,i3aadat raf3,إعادة رفع,i3aadat raf3
original uploader,رافع أصلي,raafi3 aSli,رافع أصلي,raafi3 aSli
font,خط,xaTT,خط,xaTT
fonts,خطوط,xuTuuT,خطوط,xuTuuT
Click here,اضغط هنا,iDġaT hona,اضغط هنا,iDġaT hona
Contact us,اتصل بنا,ittaSil bina,اتصل بنا,ittaSil bina
An error has occurred,حصل خطأ,HaSala xaTa',حصل خطأ,HaSala xaTa'
cell phone,هاتف محمول | خلوي,haatif maHmuul/xalawi,هاتف محمول | خلوي,haatif maHmuul/xalawi
SMS/text message,رسالة,risaala,رسالة,risaala
SMS/text messages,رسائل,rasaa'il,رسائل,rasaa'il
balance,رصيد,raSiid,رصيد,raSiid
balances,أرصدة,arSida,أرصدة,arSida
shredder,فرّامة,farraama,فرّامة,farraama
xerox machine,جهاز تصوير مستندات,jihaaz taSwiir mustanadaat,جهاز تصوير مستندات,jihaaz taSwiir mustanadaat
copy,نسخة,nusxa,نسخة,nusxa
copies,نسخ,nusax,نسخ,nusax
