English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
environment,بيئة,bii'a,بيئة,bii'a
environments,بيئات,bii'aat,بيئات,bii'aat
planet,كوكب,kawkab,كوكب,kawkab
planets,كواكب,kawaakib,كواكب,kawaakib
world,عالم,3aalam,عالم,3aalam
worlds,عوالم,3awaalim,عوالم,3awaalim
continent,قارّة,qaarra,قارّة,qaarra
continents,قارّات,qaarraat,قارّات,qaarraat
ocean,محيط,muHiiT,محيط,muHiiT
oceans,محيطات,muHiiTaat,محيطات,muHiiTaat
sea,بحر,baHr,بحر,baHr
seas,بحار,biHaar,بحور,buHuur
river,نهر,nahr,نهر,nahr
rivers,أنهار,anhaar,أنهار,anhaar
lake,بحيرة,buHeira,بحيرة,buHeira
lakes,بحيرات,buHeiraat,بحيرات,buHeiraat
pond,بركة,birka,بركة,birka
ponds,برك,birak,برك,birak
canal,قناة,qanaah,قناة,qanaah
canals,قنوات,qanawaat,قنوات,qanawaat
port,ميناء,miinaa',مينا,miina
ports,موانئ,mawaani',مواني,mawaani
gulf,خليج,xaliij,خليج,xaliig
gulves,خلجان,xuljaan,خلجان,xulgaan
island,جزيرة,jaziira,جزيرة,giziira
islands,جزائر,jazaa'ir,جزائر,guzur
coast,ساحل,saaHil,ساحل,saaHil
coasts,سواحل,sawaaHil,سواحل,sawaaHil
beach,شاطئ,šaaTi',بلاج,blaaž
beaches,شواطئ,šawaaTi',شواطئ,šawaaTi'
wave,موج,mooj,موج,moog
waves,امواج,amwaaj,امواج,amwaag
tide,تيّار,tayyaar,تيّار,tayyaar
tides,تيّارات,tayyaaraat,تيّارات,tayyaraat
coral,مرجان,murjaan,مرجان,murgaan
reef,شعبة,ši3ba,شعبة,ši3ba
reefs,شعب,ši3ab,شعب,ši3ab
inlet,شرم,šarm,شرم,šarm
inlets,شروم,šuruum,شروم,šuruum
peninsula,شبة جزيرة,šibhu jaziira,شبة جزيرة,šibh gaziira
waterfall,شلال,šallaal,شلال,šallaal
waterfalls,شلالات,šallaalaat,شلالات,šallalaat
mountain,جبل,jabal,جبل,gabal
mountains,جبال,jibaal,جبال,gibaal
peak,قمة,qimma,قمة,'imma
