english,transliteration,arabic,audioUrl
to eat,ʔákal [i3],أكل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-1.mp3
to eat,kal [i3],كل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-2.mp3
What do you feel like eating?,tiɧíbbə tākul ʔē?,تِحِبّ تاكُل أيْه؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-3.mp3
food,ʔakl,أكْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-4.mp3
to drink,šírib [1s4],شِرِب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-5.mp3
"drink, beverage",mašrūb,مشْروب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-6.mp3
a bite,ʔáʈma,قطْمة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-7.mp3
a bite,ɧítta (ɧítat),حِتّة (حِتت),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-8.mp3
to take a bite of,xad [i3] ʔáʈma min,خد قطْمة مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-9.mp3
to take a bite of,xad [i3] ɧítta min,خد حِتّة مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-10.mp3
He took a bite of the hamburger and put it down.,ʔáʈam ʔáʈma min ilhambúrgur wi sābu.,قطم قطْمة مِن الهمْبُرْجُر و سابُه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-11.mp3
a sip,šáfʈa,شفْطة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-12.mp3
to take a drink/sip (of),xad [i3] šáfʈa min,خد شفْطة مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-13.mp3
mouthful,buʔʔ,بُقّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-14.mp3
"to take a bite of, take a sip of",xad [i3] buʔʔə min,خد بُقّ مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-15.mp3
She took a sip of water and put the glass down.,xádit šáfʈit máyya wi sābit ilkubbāya.,خدِت شفْطِةْ ميّة و سابِت الكوبّايَة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-16.mp3
She took a sip of water and put the glass down.,xádit buʔʔə máyya wi sābit ilkubbāya.,خدِت بُقّ ميّة و سابِت الكوبّايَة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-17.mp3
to chew,nádaɣ [1s3],ندغ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-18.mp3
to chew,máɖaɣ [1s3],مضغ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-19.mp3
to swallow,bála3 [1s1],بلع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-20.mp3
to choke on,šíriʔ [1s4] min,شِرِق مِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-21.mp3
Chew carefully. You don’t want to choke on a fishbone.,úmɖuɣ bi-rāɧa 3ašān ma-tišráʔšə min šōk issámak.,أُمْضُغ بِراحة عشان متِشْرقْش مِن شوْك السّمك.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-22.mp3
hungry,ga3ān,جعان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-23.mp3
to get hungry,gā3 [1h1],جاع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav08-24.mp3
