english,transliteration,arabic,audioUrl
house,,دار (دْيور),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-01.mp3
apartment,,بارْطْما,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-02.mp3
two-story apartment,,دوپْليكْس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-03.mp3
penthouse apartment,,أپاغْطومون لوكْس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-04.mp3
"story, floor",,طاج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-05.mp3
two-story house for sale,,دار فيها الدّوزْيام باغا تّْباع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-06.mp3
The apartment is on the fourth floor.,,بارْطْما فْ الطّاج الرّابع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-07.mp3
to rent an apartment,,كْرا بارْطْما,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-08.mp3
rent,,كْرا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-09.mp3
How much is your rent?,,بْشْحال كاري؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-10.mp3
"tenant, renter",,الكاري,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-11.mp3
landlord,,مول الدّار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-12.mp3
landlady,,مولات الدّار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-13.mp3
to rent an apartment to,,كرا بارْطْما لْـ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-14.mp3
roof,,سْطح (سْطوحا),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-15.mp3
fence,,ڭْرِيّاج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-16.mp3
gate,,باب (بيبان),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-17.mp3
gardener,,جارْدينْيي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-18.mp3
The gardener comes once a week.,,الجارْدينْيي كيْجي مرّة فْ السِّمانة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-19.mp3
"housekeeper, maid",,خدّامة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-20.mp3
"doorman, guard",,عسّاس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-21.mp3
room,,بيت (بْيوت),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-22.mp3
furniture,,أثاث,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-23.mp3
furnished,,مْفرّش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-24.mp3
chair,,كُرْسي (كْراسا),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-25.mp3
table,,طابْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-26.mp3
door,,باب (بيبان),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-27.mp3
front door,,الباب القُدّامي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-28.mp3
key,,ساروت (سْوارت),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-29.mp3
floor,,لرْض,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-30.mp3
ceiling,,سْقف (سْقوفة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-31.mp3
carpet,,زرْبية (زْرابي),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-32.mp3
tiles,,زلّيج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-33.mp3
hardwood floor,,لرْض بْالعود,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-34.mp3
window,,شرْجم (شْراجم),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-35.mp3
"curtain, blinds",,خمية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav07-36.mp3
