english,transliteration,arabic,audioUrl
to eat,"ákal, yēkul",أكل، ياكُل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-1.mp3
What do you feel like eating?,šū báddak tēkul?,شو بدّك تاكُل؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-2.mp3
food,ákil,أكِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-3.mp3
to drink,"šírib, yíšrab",شِرِب، يِشْرب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-4.mp3
"drink, beverage",mašrūb,مشْروب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-5.mp3
a bite,líʔmi,لِقْمةِ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-6.mp3
to take a bite of,áxad [55] líʔmi min,أخد لِقْمِة مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-7.mp3
He took a bite of the hamburger and put it down.,áxad líʔmi min ilhāmbirgir u táraka.,أخد لِقْمِة مِن الهامْبِرْجِر وتركا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-8.mp3
a sip,šáffi,شفِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-9.mp3
to take a drink/sip (of),šírib šáffi min,شِرِب شفِّة مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-10.mp3
to take a drink/sip (of),áxad [55] šaffi min,أخد شفِّة مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-11.mp3
She took a sip of water and put the glass down.,xádit šáfit māy u ɧáʈʈit lkibbēyi.,خدِت شفِة ماي وحطِّت الكِبّاية.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-12.mp3
to chew,"3álak, yí3luk",علك، يِعْلُك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-13.mp3
to swallow,"bála3, yíbla3",بلع، يِبْلع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-14.mp3
to choke on,"tšárdaʔ, yitšárdaʔ",تْشرْدق، يِتْشرْدق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-15.mp3
hungry,ju3ān,جُعان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-16.mp3
to get hungry,"jē3, yjū3",جاع، يْجوع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-17.mp3
hunger,jū3,جوع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-18.mp3
thirsty,3aʈšēn,عطْشان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-19.mp3
I'm so thirsty. Could I have some water?,ána 3aʈšēn. fīni íšrab māy?,أنا عِطْشان. فيني إشْرب ماي؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-20.mp3
