english,transliteration,arabic
English,Transliteration,Egyptian Arabic
environment,bii'a,بيئة
environments,bii'aat,بيئات
planet,kawkab,كوكب
planets,kawaakib,كواكب
world,3aalam,عالم
worlds,3awaalim,عوالم
continent,qaarra,قارّة
continents,qaarraat,قارّات
ocean,muHiiT,محيط
oceans,muHiiTaat,محيطات
sea,baHr,بحر
seas,buHuur,بحور
river,nahr,نهر
rivers,anhaar,أنهار
lake,buHeira,بحيرة
lakes,buHeiraat,بحيرات
pond,birka,بركة
ponds,birak,برك
canal,qanaah,قناة
canals,qanawaat,قنوات
port,miina,مينا
ports,mawaani,مواني
gulf,xaliig,خليج
gulves,xulgaan,خلجان
island,giziira,جزيرة
islands,guzur,جزائر
coast,saaHil,ساحل
coasts,sawaaHil,سواحل
beach,blaaž,بلاج
beaches,šawaaTi',شواطئ
wave,moog,موج
waves,amwaag,امواج
tide,tayyaar,تيّار
tides,tayyaraat,تيّارات
coral,murgaan,مرجان
reef,ši3ba,شعبة
reefs,ši3ab,شعب
inlet,šarm,شرم
inlets,šuruum,شروم
peninsula,šibh gaziira,شبة جزيرة
waterfall,šallaal,شلال
waterfalls,šallalaat,شلالات
mountain,gabal,جبل
mountains,gibaal,جبال
peak,'imma,قمة
peaks,'imam,قمم
Mt. Sinai,gabal muusa,جبل موسى
mountain range,silsila gabaliyya,سلسلة جبلية
hill,tall,تلّ
hills,tilaal,تلال
valley,waadi,وادي
valleys,widyaan,وديان
desert,SaHra,صحراء
deserts,SaHaari,صحارى
jungle,ġaaba,غابة
jungles,ġabaat,غابات
field,Haql,حقل
fields,Huquul,حقول
plain,sahl,سهل
plains,suhuul,سهول
depression,munxafaD,منخفض
depressions,munxafaDaat,منخفضات
cave,maġaara,مغارة
caves,maġaraat,مغارات
oasis,waaHa,واحة
oases,waHaat,واحات
well,biir,بئر
wells,abaar | biyaar,آبار | بئار
bush,daġal,دغل
bushes,adġaal,أدغال
tree,šagara,شجرة
trees,ašgaar,أشجار
leaf; petal,wara',ورق
leaf; petals,awraa',أوراق
branch,far3,فرع
branches,furuu3,فروع
root,gazr,جزر
roots,guzuur,جزور
wood,xašab,خشب
flower,zahra,زهرة
flowers,zuhuur,زهور
rose,warda,وردة
roses,wuruud,ورود
thorn,šook,شوك
thorns,ašwaak,أشواك
grass,3ušb,عشب
rock,Saxra,صخرة
rocks,Suxuur,صخور
sand,raml,رمل
sands,rimaal,رمال
dust,turaab,تراب
ash,ramaad,رماد
soil,turba,تربة
clay,SalSaal,صلصال
mud,Tiin,طين
mud,aTyaan,أطيان
plant,nabaat,نبات
plants,nabaataat,نباتات
garden,Hadiiqa,حديقة
gardens,Hadaayi',حدائق
swamp,mustanqa3,مستنقع
swamps,mustanqa3aat,مستنقعات
volcano,burkaan,بركان
volcanoes,baraakiin,براكين
fire,naar,نار
fires,niraan ,نيران
sky,sama,سماء
skies,samawaat,سماوات
earth,arD,أرض
earths,araaDi ,أراض
horizon,ufuq,افق
horizons,afaaq,آفاق
weather forecast,našra gawwiyya,نشرة جوية
degree,daraga,درجة
degrees,daragaat,درجات
climate,manaax,مناخ
hot ,Harr ,حرّ  
cold - adj. ,baarid ,بارد 
warm ,daafi ,دافي 
clear,Saafi,صافي
moderate,mu3tadil,معتدل
rainy,mumTir,ممطر
cloudy,miġayyim,مغيّم
sunny,mušmis,مشمس
snowy,mitallig,مثلّج
humid,riTib,رطب
stormy,3aaSif,عاصف
dusty,turaabi,ترابي
cloud,ġeim,غيمة
clouds,ġuyuum,غيوم
sun,šams,شمس
suns,šumuus ,شموس
moon,'amar,قمر
moons,a'maar,أقمار
star,nigm,نجم
stars,nuguum,نجوم
rain,maTar,مطر
rain,amTaar,أمطار
snow,talg,تلج
frost,Saqii3,صقيع
wind,riiH,ريح
winds,riyaaH ,رياح
humidity,ruTuuba,رطوبة
fog,Dabaab,ضباب
hail ,barad ,برد 
storm,3aaSifa,عاصفة
storms,3awaaSif,عواصف
thunder,ra3d,رعد
thunders,ru3uud,رعود
lightning,bar',برق
lightnings,buruu',بروق
hurricane,i3Saar,اعصار
hurricanes,a3aSiir,أعاصير
tornado,zawba3a,زوبعة
tornadoes,zawaabi3,زوابع
earthquake,zilzaal,زلزال
earthquakes,zalaazil,زلازل
flood,fayaDaan,فيضان
floods,fayaDaanaat,فيضانات
volcano,burkaan,بركان
volcanoes,barakiin,براكين
dust storm,za3buuba,زعبوبة
dust storms,za3abiib,زعابيب
rainbow,'oos 'uzaH,قوس قزج
season,faSl,فصل
seasons,fuSuul,فصول
spring,rabii3,ربيع
summer,Seif,صيف
fall,xariif,خريف
winter,šita,شتا
