english,transliteration,arabic
English,Transliteration,Standard Arabic
clothes,malaabis,ملابس
stylish,aniiq ,أنيق  
chic,šiik ,شيك 
overdressed,moHaflaT,محفلط
shirt,qamiiS,قميص
shirts,qumSaan,قمصان
sleeve,kumm,كم
sleeves,akmaam,أكمام
blouse,baluuza,بلوزة
blouses,baluuzaat,بلوزات
coat,mi3Taf,معطف
coats,ma3aaTif,معاطف
jacket,sutra,سترة
jackets,sutar,ستر
pants,banTaloon,بنطلون
pants,banTaloonaat,بنطلونات
shorts,banTaloon qaSiir,بنطلون قصير
shorts,šorTaat,شرطات
skirt,tannuura,تنّورة
skirts,tannuuraat,تنّورات
dress,fustaan,فستان
dresses,fasaatiin,فساتين
suit,badla,بدلة
suits,bidal,بدل
pajamas,bižaama,بيجامة
pajamas,bižamaat,بيجامات
underwear,malaabis daaxiliyya,ملابس داخلية
underpants,malaabis daaxiliyya,ملابس داخلية
underpants,kilottaat,كلوتّات
men's underwear,malaabis daaxiliyya rajaaliyya,ملابس داخلية رجالية
men's underwears,libasaat/libisa,لباسات | لبسة
bra,malaabis daaxiliyya Hariimi,ملابس داخلية حريمي
bras,sutyanaat,ستيانات
diaper,HifaaZ,حفاظ
diapers,HifaaZaat aTfaal,حفاظات أطفال
hat,qubba3a,قبعة
hats,qubba3aat,قبعات
gloves,quffaaz,قفّاز
gloves,quffaazaat,قفّازات
scarf,wišaaH,وشاح
scarves,awšiHa,أوشحة
belt,Hizaam,حزام
belts,aHzima,أحزمة
buckle,ibziim,ابزيم
buckles,abaaziim,أبازيم
tie,rabTa,ربطة
ties,ribaaT 3unuq,رباط عنق
sock,jawrab,جورب
socks,jawaarib,جوارب
shoe,aHdiya,أحذية
shoes,Hidaa',حذاء
slipper,xuff,خفّ
slippers,xifaaf | axfaaf,خفاف | اخفاف
collar,qabba,قبّة
collars,qabbaat,قبّات
button,zirr,زرّ
buttons,azraar,ازرار
pocket,jeib,جيب
pockets,juyuub,جيوب
zipper,saHHaab,سحاب
thread,xeiT,خيط
threads,xuyuuT,خيوط
jewel,jawhara,جوهرة
jewels,jawaahir,جواهر
jewelry,mugawharaat,مجوهرات
gold/silver/jewels,maSuughaat,مصوغات
earring,Halaq,حلق
earrings,Hilqaan,حلقان
necklace,3iqd,عقد
necklaces,3uquud,عقود
necklace,kirdaan,كردان
necklaces,karaadiin,كرادين
bracelet,siwaar,سوار
bracelets,aswira,أسورة
ring,xaatim,خاتم
rings,xawaatim,خواتم
gold,dahab,ذهب
silver,fiDDa,فضّة
pearls,lu'lu',لؤلؤ
glasses,naZZaara,نظّارة
contact lenses,3adasaat laaSiqa,عدسات لاصقة
sunglasses,naZZaara šamsiyya,نظّارة شمسية
wristwatch,saa3at yad,ساعة يد
wallet,maHfaZa,محفظة
wallets,maHaafiZ,محافظ
umbrella,miZalla,مظلّة
umbrellas,miZallaat,مظلات
fabric,aqmiša,أقمشة
silk,Hariir,حرير
silks,Haraa'ir,حرائر
wool,Suuf,صوف
wools,aSwaaf,اصواف
velvet,muxmal,مخمل
cotton,quTun,قطن
cottons,aqTaan,اقطان
lace,taxriima,تخريمة
leather,jild,جلد
dotted,munaqqaT,منقّط
striped,muqallam,مقلّم
plaid,karohaat,كروهات
solid color,saada,سادة
embroidered,muzayyan,مزيّن
patterned,mušajjar,مشجّر
tight,Dayyiq,ضيّق
loose,waasi3,واسع
wide,waasi3,واسع
wides,3uraaD,عراض
modest,muHtašim,محتشم
torn,maqTuu3,مقطوع
tailor,xayyaaT,خيّاط
tailors,xayyaaTuun,خيّاطون
 size,maqaas,مقاس
 sizes,maqaasaat,مقاسات
to fit,faSSal - yifaSSal ,فصّل - يفصّل 
