english,transliteration,arabic
English,Transliteration,Standard Arabic
north,šamaal,شمال
south,januub,جنوب
east,šarq,شرق
west,ġarb,غرب
direction,ittijaah,اتجاة
left,yasaar,يسار
right,yamiin,يمين
behind,waraa',وراء
in front of,amaam,أمام
next to,bijaanib,بجانب
above,fooqa,فوق
below,taHt,تحت
far ,ba3iid 3an,بعيد عن
near ,qariib min,قريب من
opposite,muqaabil,مقابل
between,beina,بين
inside,daaxil,داخل
outside,xaarij,خارج
here,huna,هنا
there,hunaaka,هناك
map,xariiTa,خريطة
maps,xaraa'iT,خرائط
compass,boSla,بوصلة
distance,masaafa,مسافة
area,misaaHa,مساحة
width,3arD,عرض
height,irtifaa3,ارتفاع
length,Tuul,طول
place; location,makaan,مكان
place; locations,amaakin,أماكن
location,mawqi3,موقع
locations,mawaaqi3,مواقع
capital,3aaSima,عاصمة
capitals,3awaaSim,عواصم
suburb,DaaHiya,ضاحية
suburbs,DawaaHin,ضواح
village,qarya,قرية
villages,qura,قرى
district,Hayy,حيّ
districts,aHyaa',أحياء
governorate,muHaafaZa,محافظة
region,minTaqa,منطقة
regions,manaaTiq,مناطق
region,iqliim,اقليم
regions,aqaaliim,أقاليم
country,balad ,بلد
countries,bilaad,بلاد
homeland,waTan,وطن
homelands,awTaan,أوطان
Europe,urubba,أوروبا
Africa,afriiqiya,أفريقيا
Asia,aasiya,أسيا
Australia,usturaaliya,أستراليا
the United States,amriika,أمريكا
England,inglitira,انجلترا
Austria,nimsa,نمسا
Germany,almaaniya,ألمانيا
Greece,yuunaan,يونان
Japan,yaabaan,يابان
North Africa,šamaal afriiqiya,شمال أفريقيا
Egypt,miSr,مصر
Aswan,aswaan,أسوان
Sinai,siinaa',سيناء
Fez,faas,فاس
Marrakesh,marraakeš,مراكش
Oran,wahraan,وهران
Tunisia,tuunis,تونس
Tunis,tuunis,تونس
Libya,liibiyaa,ليبيا
Tripoli,Taraabulus,طرابلس
Benghazi,benġaazi,بنغازي
Amman,3ammaan,عمّان
Palestine,filasTiin,فلسطين
Gaza Strip,qiTaa3 ġazza,قطاع غزة
Bethlehem,beitalaHm,بيت لحم
Jericho,ariiHa,أريحا
Jaffa,yaafa,يافة
Israel,israa'iil,إسرائيل
Lebanon,lubnaan ,لبنان
Beirut,beiruut,بيروت
Syria,suuriya,سوريا
Damascus,dimašq,دمشق
Baghdad,baġdaad,بغداد
Qatar,qaTar,قطر
Abu Dhabi,abu Zabi ,أبو ظبي
Dubai,dubayy,دبيّ
Oman,3umaan,عمان
Muscat,masqaT,مسقط
Sana'a,San3aa',صنعاء
