English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
color,لون,loon,لون,loon
colors,ألوان,alwaan,ألوان,alwaan
colored,ملوّن,mulawwan,ملوّن,mulawwan
light,فاتح,faatiH,فاتح,faatiH
dark,غامق,ġaamiq,غامق,ġaamiq
bright,براق,barraaq,فاقع,barraaq
shiny,لامع,laami3,لمعي,laami3
black,اسود – سوداء,aswad , sudaa' , suud,اسود – سوداء,iswid - sooda
blacks,سود,suud,سود,suud
white,أبيض – بيضاء,abyaD - beiDaa',أبيض – بيضاء,abyaD - beiDa
whites,بيض,biiD,بيض,biiD
blue,أزرق  -  زرقاء,azraq - zarqaa',أزرق  -  زرقاء,azra' - zar'a
blues,زرق,zurq,زرق,zur'
navy blue,كحلي,kuHli,كحلي,kuHli
royal blue,زهري,zahri,زهري,zahri
sky blue,سمائي,samaa'i,سماوي,samaa'i
baby blue,لبني,labani,لبني,labani
indigo,نيلي,niili,نيلي,niili
turquoise,فيروزي,feiruuzi,فيروزي,feiruuzi
green,أخضر – خضراء,axDar - xaDraa',أخضر – خضراء,axDar - xaDra
greens,خضر,xuDr,خضر,xuDr
bluish green,جنزاري,ginzaari,جنزاري,ginzaari
dark green,زيتي,zeiti,زيتي,zeiti
mustard  green,كموني,kammuuni,كموني,kammuuni
olive green,زيتوني,zeituuni,زتوني,zeituuni
pastel green,كرمبي,kurumbi,كرمبي,kurumbi
purple,ارجواني,urjuwaani,بنفسجي,urjuwaani
red,أحمر - حمراء,aHmar - Hamraa',أحمر - حمراء,aHmar - Hamra
reds,حمر,Humr,حمر,Humr
scarlet,قرمزي,qrimzi,قرمزي,qrimzi
pink,زهري,zahri,بمبي,zahri
shocking pink,بمبي مسخسخ,bambi msaxsax,بمبي مسخسخ,bambi msaxsax
rose-colored,وردي,wardi,وردي,wardi
orange,برتقالي,burtuqaali,برتقاني,burtuqaali
yellow,أصفر – صفراء,aSfar - Safraa',أصفر – صفراء,aSfar - Safra
yellows,صفر,Sufr,صفر,Sufr
canary yellow,كناري,kanaari,كناري,kanaari
lemon yellow,لموني,lamuuni,لموني,lamuuni
brown,بني,bunni,بني,bunni
light brown,بصلي,baSali,بصلي,baSali
light brown ,عسلي,3asali,عسلي,3asali
brown-skinned ,أسمر - سمراء,asmar - samraa',أسمر - سمراء,asmar - samra
brown-skinned s,سمر,sumr,سمر,sumr
wheat-colored ,قمحي,'amHi,قمحي,'amHi
fair-skinned,,abyaDaani - beiDa,أبيضاني - بيضا,abyaDaani - beiDa
fair-skinneds,بيض,biiD,بيض,biiD
pale,باهت,baahit,باهت,baahit
blond ,أشقر - شقراء,ašqar - šaqraa',أشقر - شقراء,aš'ar - ša'ra
blond s,شقر,šuqr,شقر,šu'r
chestnut,كستنائي,kastanaa'i,كستنائي,kastanaa'i
cream,أصفر شاحب,aSfar šaaHib,أصفر شاحب,aSfar šaaHib
grey,رمادي,ramaadi,رمادي,ramaadi
gold,ذهبي,dahabi,ذهبي,dahabi
silver,فضي,fiDDi,فضي,fiDDi
beige,بيج,beiž,بيج,beiž
off-white,سمني,samni,سمني,samni
burgundy,نبتي,nibiti,نبتي,nibiti
maroon,زبيبي,zibiibi,زبيبي,zibiibi
