English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
hobby,هواية,hawaaya,هواية,hawaaya
hobbys,هوايات,hawaayaat,هوايات,hawaayaat
sport,رياضة,riyaaDa,رياضة,riyaaDa
sports,رياضات,riyaaDaat,رياضات,riyaaDaat
game,لعبة,la3ba,لعبة,la3ba
games,ألعاب,al3aab,ألعاب,al3aab
crafts,حرف    حرفة,Hirf  Hirfa,حرف    حرفة,Hirf  Hirfa
ball,كرة,kura,كرة,kura
balls,كور,kuwar,كور,kuwar
team,فريق,fariiq,فريق,farii'
national team,منتخب,muntaxab,منتخب,muntaxab
match,مباراة,mubaaraah,مباراة,mubaaraah
matchs,مبارات,mubaaraat,مبارات,mubaaraat
stadium,استاد,istaad,استاد,istaad
field,ملعب,mal3ab,ملعب,mal3ab
off-side,تسلل,tasallul,تسلل,tasallul
goal post,قائم,qaa'im,قائم,qaa'im
goal posts,,'awaayim,,'awaayim
crossbar,عارضة,3aariDa,عارضة,3arDa
goal,هدف,hadaf,هدف,hadaf
goals,أهداف,ahdaaf,أهداف,ahdaaf
(two) consecutive goals,هدفان متتاليان,hadafaan mutataaliyaan,هدفان متتاليان,hadafaan mutataaliyaan
player,لاعب,laa3ib,لاعب,laa3ib
players,لاعبون,laa3ibuun,لاعبون,laa3ibuun
midfielder,لاعب الوسط,laa3ib wasaT,لاعب الوسط,laa3ib il-wisiT
attacker,مهاجم,muhaajim,مهاجم,muhaagim
defender,مدافع,mudaafi3,مدافع,mudaafi3
forward,أمامي,amaami,مهاجم,muhaagim
striker,ضارب,Daarib,مهاجم,muhaagim
winger,لاعب جناح,laa3ib jinaaH,لاعب جناح,laa3ib ginaaH
referee,حكم,Hakam,حكم,Hakam
trainer or coach,مدرّب,mudarrib,مدرّب,mudarrib
(a) kick, shot,ضربة,Daraba,شوطة,šooTa
free kick,ضربة حرة,Darba Hurra,ضربة حرة,Darba Hurra
(in)direct free kick,ضربة حرة  مباشرة,Darba Hurra  mubaašira,ضربة حرة  مباشرة,Darba Hurra  mubaašira
penalty kick,ضربة جزاء |  ترجيح,Darabat jazaa'/tarjiiH,ضربة جزاء,Darbit gazaa'
corner kick,ضربة ركنية,Daraba rukniyya,ضربة ركنية,Daraba rukniyya
goal kick,ضربة مرمى,Darabat marma,ضربة مرمى,Darbit marma
header,ضربة رأس,Darabat ra's,ضربة رأس,Darbit raas
victory,فوز,fawz,فوز,fooz
(a) pass,تمريرة,tamriira,تمريرة,tamriira
foul,خطاء,xaTaa',خطاء,xaTaa'
fouls,أخطاء,axTaa',أخطاء,axTaa'
a tie,تعادل,ta3aadul,تعادل,ta3aadul
a scoreless tie,تعادل سلبي,ta3aadul silbi,تعادل سلبي,ta3aadul silbi
yellow card,بطاقة صفراء,biTaaqa Safraa',كرت أصفر,kart aSfar
red card,بطاقة حمراء,biTaaqa Hamraa',كرت أحمر,kart aHmar
amateur,هاوي,haawi,هاوي,haawi
professional,محترف,muHtarif,محترف,muHtarif
baseball,بيسبول,beisbool,بيسبول,beisbool
hockey,هوكي,hoki,هوكي,hoki
skiing,تزلج,tazalluj,تزلج,tazallug
golf,غولف,ġolf,جولف,golf
gymnastics,جمباز,jumbaaz,جيمناستيك,žimnastik
archery, shooting,رماية,rimaaya,رماية,rimaaya
skating,تزلج,tazalluj,باتيناج,batinaaž
running,عدو,3adw,الجري,ig-gari
cricket,كريكت,kirikit,كريكت,kirikit
polo,بولو,bolo,بولو,bolo
boxing,ملاكمة,mulaakama,ملاكمة,mulakma
wrestling,مصارعة,muSaara3a,مصارعة,muSar3a
swimming,سباحة,sibaaHa,سباحة,sibaaHa
diving,غطس,ġaTs,غطس,ġaTs
rowing,تجديف,tajdiif,تجديف,tagdiif
backgammon,طاولة,Taawila,طاولة,Tawla
chess,شطرنج,šaTranj,شطرنج,šaTarang
king (chess piece),ملك,malik,ملك,malik
queen (chess piece),ملكة,malika,وزير,waziir
pawn (chess piece),جندي,jundi,جندي,jundi
pawn (chess piece)s,جنود,junuud,جنود,junuud
knight (chess piece),حصان,HiSaan,حصان,HuSaan
rook, castle (chess piece),قلعة,qal3a,طابية,Tabya
bishop (chess piece),فيل,fiil,فيل,fiil
Check,كش,kišš,كش,kišš
Checkmate,كش ملك,kišš malik,كش مات,kišš maat
gardening,بستنة,bastana,بستنة,bastana
gambling,قمار,qimaar,قمار,'umaar
fishing rod,صنارة,Sinnaara,صنارة,Sinnaara
fishing rods,صنانير,Sanaaniir,صنانير,Sanaaniir
hunting,صيد,Seid,صيد,Seid
