english,transliteration,arabic
English,Transliteration,Standard Arabic
hobby,hawaaya,هواية
hobbies,hawaayaat,هوايات
sport,riyaaDa,رياضة
sports,riyaaDaat,رياضات
game,la3ba,لعبة
games,al3aab,ألعاب
crafts,Hirf  Hirfa,حرف    حرفة
ball,kura,كرة
balls,kuwar,كور
team,fariiq,فريق
national team,muntaxab,منتخب
match,mubaaraah,مباراة
matches,mubaaraat,مبارات
stadium,istaad,استاد
field,mal3ab,ملعب
off-side,tasallul,تسلل
goal post,qaa'im,قائم
goal posts,'awaayim,
crossbar,3aariDa,عارضة
goal,hadaf,هدف
goals,ahdaaf,أهداف
 consecutive goals,hadafaan mutataaliyaan,هدفان متتاليان
player,laa3ib,لاعب
players,laa3ibuun,لاعبون
midfielder,laa3ib wasaT,لاعب الوسط
attacker,muhaajim,مهاجم
defender,mudaafi3,مدافع
forward,amaami,أمامي
striker,Daarib,ضارب
winger,laa3ib jinaaH,لاعب جناح
referee,Hakam,حكم
trainer or coach,mudarrib,مدرّب
 kick,Daraba,ضربة
free kick,Darba Hurra,ضربة حرة
direct free kick,Darba Hurra  mubaašira,ضربة حرة  مباشرة
penalty kick,Darabat jazaa'/tarjiiH,ضربة جزاء |  ترجيح
corner kick,Daraba rukniyya,ضربة ركنية
goal kick,Darabat marma,ضربة مرمى
header,Darabat ra's,ضربة رأس
victory,fawz,فوز
 pass,tamriira,تمريرة
foul,xaTaa',خطاء
fouls,axTaa',أخطاء
a tie,ta3aadul,تعادل
a scoreless tie,ta3aadul silbi,تعادل سلبي
yellow card,biTaaqa Safraa',بطاقة صفراء
red card,biTaaqa Hamraa',بطاقة حمراء
amateur,haawi,هاوي
professional,muHtarif,محترف
baseball,beisbool,بيسبول
hockey,hoki,هوكي
skiing,tazalluj,تزلج
golf,ġolf,غولف
gymnastics,jumbaaz,جمباز
archery,rimaaya,رماية
skating,tazalluj,تزلج
running,3adw,عدو
cricket,kirikit,كريكت
polo,bolo,بولو
boxing,mulaakama,ملاكمة
wrestling,muSaara3a,مصارعة
swimming,sibaaHa,سباحة
diving,ġaTs,غطس
rowing,tajdiif,تجديف
backgammon,Taawila,طاولة
chess,šaTranj,شطرنج
king ,malik,ملك
queen ,malika,ملكة
pawn ,jundi,جندي
pawn s,junuud,جنود
knight ,HiSaan,حصان
rook,qal3a,قلعة
bishop ,fiil,فيل
Check,kišš,كش
Checkmate,kišš malik,كش ملك
gardening,bastana,بستنة
gambling,qimaar,قمار
fishing rod,Sinnaara,صنارة
fishing rods,Sanaaniir,صنانير
hunting,Seid,صيد
sewing,xiyaaTa,خياطة
spades,bastuuni,بستوني
diamonds,diinaari,ديناري
clubs,sbaati,سباتي
hearts,kubba,كبة
ace,aaS,آص
king,malik,ملك
queen,malika,ملكة
jack,walad,ولد
joker,žookir,جوكر
 cheat,ġaššaaš,غشاش
to stay up late,sihir - yishar ,سهر - يسهر 
to frequent ,itraddad - yitraddid ,اتردد - يتردد 
to pass the time,itsalla - yitsalla ,اتسلى - يتسلى 
to go for a stroll or outing,itfassaH - yitfassaH,اتفسح - يتفسح
 joke,nukta,نكتة
 jokes,nukat,نكت
to keep  company,winnis - yiwannis ,ونس - يونس 
to become cheerful/happy,farfiš - yifarfiš ,فرفش - يفرش 
to relax,irtaaH - yirtaaH,ارتاح - يرتاح
together,sawaa',سواء
together,ma3an,معا
appointment,maw3id,موعد
appointments,mawaa3iid,مواعيد
party,Hafla,حفلة
parties,Hafalaat,حفلات
costume party,Hafla tanakkuriyya,حفلة تنكرية
mask,qinaa3,قناع
masks,aqni3a,أقنعة
friend,Sadiiq,صديق
friends,aSdiqaa',أصدقاء
gift,hadiyya,هدية
gifts,hadaaya,هدايا
a  occassion,munaasaba,مناسبة
a  occassions,munaasabaat ,مناسبات خاصة
drunk,sakraan,سكران
a drunk,sikkiir,سكير
a drunks,sukariyya,سكرية
drunk,masTuul,مسطول
drunks,masaTiil,مساطيل
a gambler,muqaamir,مقامر
a gamblers,'omartiyya,قمرتية
 exercise,tamriin,تمرين
 exercises,tamaariin,تمارين
exercise,tamaariin riyaaDiyya,تمارين رياضية
warm-up,tasxiin,تسخين
competition,munaafasa,منافسة
race,musaabaqa,مسابقة
lap ,laffa,لفة
lap s,laffaat,لفات
championship,buTuula,بطولة
champion,baTal,بطل
champions,abTaal,أبطال
point,nuqTa,نقطة
points,nuqaaT,نقاط
