English,Egyptian Arabic,Transliteration
animal,حيوان,Hayawaan
animals,حيوانات,Hayawaanaat
cat,قطّة,'oTTa
cats,قطط,'oTaT
dog,كلب,kalb
dogs,كلاب,kilaab
cow,بقرة,ba'ara
cows,بقرات,ba'ar
bull,تور,toor
bulls,تران,tiraan
calf,عجل,3igl
calves,عجول,3uguul
buffalo,جاموس,gamuus
buffalo,جواميس,gawamiis
cattle,بهيمة,bihiima
cattles,بهايم,bahaayim
sheep,غنم,ġanam
sheep,غنمات,ġanamaat
lamb,خروف,xaruuf
lambs,خرفان,xirfaan
donkey,حمار,Homaar
donkeys,حمير,Himiir
horse,حصان,HiSaan
horses,حصنة,HiSina
camel,جمل,gamal
camels,جمال,gimaal
goat,معزة,mi3za
goats,معيز,mi3iiz
pig,خنزير,xanziir
pigs,خنازير,xanaziir
rabbit,أرنب,arnab
rabbits,ارانب,araanib
mice,فار,faar
mice,فران,firaan
rat,فار,faar
rats,فران,firaan
bird,طير,Teir
birds,طيور,Tuyuur
small bird,عصفورة,3aSfuura
small birds,عصافير,3aSafiir
parrot,بغبغان,baġbaġaan
parrots,بغبغانات,baġbaġaanaat
rooster,ديك,diik
roosters,ديوك,duyuuk
turkey,ديك رومي,diik ruumi
peacock,طووس,Tawuus
peacocks,طوويس,Tawawiis
stork,لقلق,la'la'
storks,لقالق,la'aali'
sparrow,عصفور,3aSfuur
sparrows,عصافير,3aSafiir
crow,غراب,ġuraab
crows,غربان,ġirbaan
nightingale,بلبل,bulbul
nightingales,بلابل,balaabil
falcon,صقر,Sa'r
falcons,صقور,Su'uur
eagle,نسر,nisr
eagles,نسور,nusuur
reptile,زاحف,zaaHif
reptiles,زواحف,zawaaHif
amphibian,برمائية,barmaa'iyya
amphibians,برمائيات,barmaa'iyyaat
snake,تعبان,ti3baan
snakes,تعبين,ta3abiin
Sarahan horned viper,طريشة,Tureiša
turtle,سلحفة,sulHifa
turtles,سلاحف,salaaHif
lizard,سحلية,siHliyya
lizards,سحالي,saHaali
frog,ضفضعة,DufDa3a
frogs,ضفاضع,Dafaadi3
crocodile,تمساح,timsaaH
crocodiles,تماسيح,tamasiiH
snail,قوقعة,qawqa3a
snails,قواقع,qawaaqi3
lion,أسد,asad
lions,اسود,usuud
hippopotamus,فرس,faras
hippopotamuses,افراس البحر,afraas il-baHr
giraffe,زرافة,zaraafa
giraffes,زرافات,zaraafaat
zebra,حمار وحشي,Homaar waHši
kangaroo,كنجر,kongor
hyena,ضبع,Dab3
hyenas,ضبعة,Dubu3a
panther,فهد,fahd
panthers,فهود,fuhuud
wolf,ديب,diib
wolves,دياب,diyaab
bear,دبّة,dibba
bears,دبب,dibab
tiger,نمر,nimr
tigers,نمور,nimuur
elephant,فيل,fiil
elephants,أفيال,afyaal
monkey,قرد,'ird
monkeys,قرود,'uruud
bat,وطواط,wuTwaaT
bats,وطاويط,waTawiiT
squirrel,سنجاب,singaab
fox,تعلب,ta3lab
foxes,تعالب,ta3aalib
deer,غزال,ġazaal
deer,غزلان,ġizlaan
fish,سمك,samak
fish,أسماك,asmaak
whale,حوت,Huut
whales,حيتان,Hitaan
shark,سمك القرش,samak il-'irš
dolphin,درفيل,darfiil
dolphins,درافيل,darafiil
octopus,أخطبوط,uxTubuuT
octopuses,اخطبوطات,uxTubuTaat
squid,توتيا,tutya
swordfish,أبو سيف,abu seif
shrimp,جمبري,gambari
lobster,استاكوزا,istakooza
crab,كابوريا \ أبو جلمبو,kaburya/abu galambo
crabs,سرطانات,saraTaanaat
walrus,فيل البحر,fiil il-baHr
walruses,أفظاظ,afZaaZ
salmon,سالمون,salamun
catfish,قرموط,'armuuT
catfish,قراميط,'aramiiT
tuna,تونا,tuuna
oysters,جندوفلي,gandofli
insect,حشرة,Hašara
insects,حشرات,Hašaraat
cockroach,صرصار,SurSaar
cockroaches,صراصير,SaraSiir
flea,برغوت,barġuut
fleas,براغيت,baraġiit
beetle,خنفساء,xunfisa
beetles,خنافس,xanaafis
wasp,دبّور,dabbuur
wasps,دبابير,dabaabiir
spider,عنكبوت,3ankabuut
spiders,عناكب,3anaakib
scorpion,عقربة,3a'raba
scorpions,عقارب,3a'aarib
tail,ديل,deil
tails,ديول,duyuul
hoof,حافر,Haafir
hooves,حوافر,Hawaafir
claw,خربوش,xarbuuš
claws,خرابيش,xarabiiš
fur,فروة,farwa
furs,فراوي,faraawi
beak,منقار,mun'aar
beaks,مناقير,mana'iir
wing,جناح,ginaaH
wings,جناحات | جنحة,ginaaHaat/giniHa
fin,زعنفة,za3nifa
fins,زعانف,za3aanif
