english,transliteration,arabic
English,Transliteration,Egyptian Arabic
clothes,huduum,هدوم
stylish,aniiq ,أنيق  
chic,šiik ,شيك 
overdressed,moHaflaT,محفلط
shirt,'amiiS,قميص
shirts,'umSaan,قمصان
sleeve,kumm,كم
sleeves,akmaam,أكمام
blouse,biluuza,بلوزة
blouses,biluzaat,بلوزات
coat,balTo,بالطو
coats,balaaTi,بلاطي
jacket,žakitta,جكتّة
jackets,žakittaat,جكتّات
pants,banTaloon,بنطلون
pants,banTaloonaat,بنطلونات
shorts,šorT,شرط
shorts,šorTaat,شرطات
skirt,žuup,جوب
skirts,župaat,جوبات
dress,fustaan,فستان
dresses,fasaatiin,فساتين
suit,badla,بدلة
suits,bidal,بدل
pajamas,bižaama,بيجامة
pajamas,bižamaat,بيجامات
underwear,malaabis daaxiliyya,ملابس داخلية
underpants,kilott,كلوتّ
underpants,kilottaat,كلوتّات
men's underwear,libaas,لباس
men's underwears,libasaat/libisa,لباسات | لبسة
bra,sutyaan,ستيان
bras,sutyanaat,ستيانات
diaper,kafuula,كفولة
diapers,kawafiil,كوافيل
hat,borneiTa,برنيطة
hats,baraniiT,برانيط
gloves,guwanti,جونتي
gloves,guwantiyaat,جونتيات
scarf,iišaarb,ايشارب
scarves,išarbaat,ايشاربات
belt,Hizaam,حزام
belts,Hizima,حزمة
buckle,abziim,ابزيم
buckles,abaziim,أبازيم
tie,karavatta,كرفتّة
ties,karavattaat,كرفتّات
sock,šaraab,شراب
socks,šarabaat,شرابات
shoe,gazma,جزمة
shoes,gizam,جزم
slipper,šibšib,شبشب
slippers,šabaašib,شباشب
collar,yaa'a,ياقة
collars,ya'aat,ياقات
button,zuraar,زرار
buttons,zaraayir,زراير
pocket,geib,جيب
pockets,guyuub,جيوب
zipper,soosta,سوستة
thread,xeiT,خيط
threads,xuyuuT,خيوط
jewel,gawhara,جوهرة
jewels,gawaahir,جواهر
jewelry,mugawharaat,مجوهرات
gold/silver/jewels,maSuughaat,مصوغات
earring,Hala',حلق
earrings,Hil'aan,حلقان
necklace,3u'd,عقد
necklaces,3i'aad,عقاد
necklace,kirdaan,كردان
necklaces,karadiin,كرادين
bracelet,iswira,اسورة
bracelets,asaawir,اساور
ring,xaatim,خاتم
rings,xawaatim,خواتم
gold,dahab,دهب
silver,faDDa,فضّة
pearls,lu'lu',لؤلؤ
glasses,naDDaara,نضّارة
contact lenses,3adasaat laaSiqa,عدسات لاصقة
sunglasses,naDDaarit šams,نضّارة شمس
wristwatch,saa3it iid,ساعة يد
wallet,maHfaZa,محفظة
wallets,maHaafiZ,محافظ
umbrella,šamsiyya,شمسية
umbrellas,šamaasi,شماسي
fabric,'umaaš,قماشة
silk,Hariir,حرير
silks,Haraa'ir,حرائر
wool,Suuf,صوف
wools,aSwaaf,اصواف
velvet,'aTiifa,قطيفة
cotton,'uTn,قطن
cottons,a'Taan,اقطان
lace,dantilla | dantel,دنتلّة  | دنتل
leather,gild,جلد
dotted,mina''aT,منقّط
striped,mi'allim,مقلّم
plaid,karohaat,كروهات
solid color,saada,سادة
embroidered,mizarkaš,مزركش
patterned,mišaggar,مشجّر
tight,Dayya',ضيّق
loose,waasi3,واسع
wide,3ariiD,عريض
wides,3uraaD,عراض
modest,Hišma,حشمة
torn,ma'Tuu3,مقطوع
tailor,xayyaaT,خيّاط
tailors,xayyaTiin,خيّاطون
 size,ma'aas,مقاس
 sizes,ma'asaat,مقاسات
to fit,faSSal - yifaSSal ,فصّل - يفصّل 
