english,transliteration,arabic
English,Transliteration,Egyptian Arabic
animal,Hayawaan,حيوان
animals,Hayawaanaat,حيوانات
cat,'oTTa,قطّة
cats,'oTaT,قطط
dog,kalb,كلب
dogs,kilaab,كلاب
cow,ba'ara,بقرة
cows,ba'ar,بقرات
bull,toor,تور
bulls,tiraan,تران
calf,3igl,عجل
calves,3uguul,عجول
buffalo,gamuus,جاموس
buffalo,gawamiis,جواميس
cattle,bihiima,بهيمة
cattles,bahaayim,بهايم
sheep,ġanam,غنم
sheep,ġanamaat,غنمات
lamb,xaruuf,خروف
lambs,xirfaan,خرفان
donkey,Homaar,حمار
donkeys,Himiir,حمير
horse,HiSaan,حصان
horses,HiSina,حصنة
camel,gamal,جمل
camels,gimaal,جمال
goat,mi3za,معزة
goats,mi3iiz,معيز
pig,xanziir,خنزير
pigs,xanaziir,خنازير
rabbit,arnab,أرنب
rabbits,araanib,ارانب
mice,faar,فار
mice,firaan,فران
rat,faar,فار
rats,firaan,فران
bird,Teir,طير
birds,Tuyuur,طيور
small bird,3aSfuura,عصفورة
small birds,3aSafiir,عصافير
parrot,baġbaġaan,بغبغان
parrots,baġbaġaanaat,بغبغانات
rooster,diik,ديك
roosters,duyuuk,ديوك
turkey,diik ruumi,ديك رومي
peacock,Tawuus,طووس
peacocks,Tawawiis,طوويس
stork,la'la',لقلق
storks,la'aali',لقالق
sparrow,3aSfuur,عصفور
sparrows,3aSafiir,عصافير
crow,ġuraab,غراب
crows,ġirbaan,غربان
nightingale,bulbul,بلبل
nightingales,balaabil,بلابل
falcon,Sa'r,صقر
falcons,Su'uur,صقور
eagle,nisr,نسر
eagles,nusuur,نسور
reptile,zaaHif,زاحف
reptiles,zawaaHif,زواحف
amphibian,barmaa'iyya,برمائية
amphibians,barmaa'iyyaat,برمائيات
snake,ti3baan,تعبان
snakes,ta3abiin,تعبين
Sarahan horned viper,Tureiša,طريشة
turtle,sulHifa,سلحفة
turtles,salaaHif,سلاحف
lizard,siHliyya,سحلية
lizards,saHaali,سحالي
frog,DufDa3a,ضفضعة
frogs,Dafaadi3,ضفاضع
crocodile,timsaaH,تمساح
crocodiles,tamasiiH,تماسيح
snail,qawqa3a,قوقعة
snails,qawaaqi3,قواقع
lion,asad,أسد
lions,usuud,اسود
giraffe,zaraafa,زرافة
giraffes,zaraafaat,زرافات
zebra,Homaar waHši,حمار وحشي
kangaroo,kongor,كنجر
hyena,Dab3,ضبع
hyenas,Dubu3a,ضبعة
panther,fahd,فهد
panthers,fuhuud,فهود
wolf,diib,ديب
wolves,diyaab,دياب
bear,dibba,دبّة
bears,dibab,دبب
tiger,nimr,نمر
tigers,nimuur,نمور
elephant,fiil,فيل
elephants,afyaal,أفيال
monkey,'ird,قرد
monkeys,'uruud,قرود
bat,wuTwaaT,وطواط
bats,waTawiiT,وطاويط
squirrel,singaab,سنجاب
fox,ta3lab,تعلب
foxes,ta3aalib,تعالب
deer,ġazaal,غزال
deer,ġizlaan,غزلان
fish,samak,سمك
fish,asmaak,أسماك
whale,Huut,حوت
whales,Hitaan,حيتان
shark,samak il-'irš,سمك القرش
dolphin,darfiil,درفيل
dolphins,darafiil,درافيل
octopus,uxTubuuT,أخطبوط
octopuses,uxTubuTaat,اخطبوطات
squid,tutya,توتيا
swordfish,abu seif,أبو سيف
shrimp,gambari,جمبري
lobster,istakooza,استاكوزا
crab,kaburya/abu galambo,كابوريا \ أبو جلمبو
crabs,saraTaanaat,سرطانات
walrus,fiil il-baHr,فيل البحر
walruses,afZaaZ,أفظاظ
salmon,salamun,سالمون
catfish,'armuuT,قرموط
catfish,'aramiiT,قراميط
tuna,tuuna,تونا
oysters,gandofli,جندوفلي
insect,Hašara,حشرة
insects,Hašaraat,حشرات
cockroach,SurSaar,صرصار
cockroaches,SaraSiir,صراصير
flea,barġuut,برغوت
fleas,baraġiit,براغيت
beetle,xunfisa,خنفساء
beetles,xanaafis,خنافس
wasp,dabbuur,دبّور
wasps,dabaabiir,دبابير
spider,3ankabuut,عنكبوت
spiders,3anaakib,عناكب
scorpion,3a'raba,عقربة
scorpions,3a'aarib,عقارب
tail,deil,ديل
tails,duyuul,ديول
hoof,Haafir,حافر
hooves,Hawaafir,حوافر
claw,xarbuuš,خربوش
claws,xarabiiš,خرابيش
fur,farwa,فروة
furs,faraawi,فراوي
beak,mun'aar,منقار
beaks,mana'iir,مناقير
wing,ginaaH,جناح
wings,ginaaHaat/giniHa,جناحات | جنحة
fin,za3nifa,زعنفة
fins,za3aanif,زعانف
