english,transliteration,arabic
English,Transliteration,Egyptian Arabic
food,akl,اكل
foods,ma'kulaat,مأكولات
meal,akla,اكلة
meals,akalaat,اكلات
delivery,tawSiil,توصيل
restaurant,maT3am,مطعم
restaurants,maTaa3im,مطاعم
waiter,metre | garsoon,متر | جرسون
waiters,nudul,ندل
breakfast,fiTaar,فطار
lunch,ġada,غدا
dinner,3aša,عشا
recipe,waSfa,وصفة
recipes,waSafaat,وصفات
ingredient,muHtawiyaat,محتويات
ingredients,maqaadiir,مقادير
can,3elba,علبة
cans,3ilab,علب
jar,barTamaan,برطمان
jars,barTamaanaat,برطمانات
box,Sunduu',صندوق
boxes,Sanadii',صناديق
hungry ,ga3aan ,جعان 
hungry s,jiyaa3 ,جياع 
thirsty ,3aTšaan,عطشان
thirsty s,3iTaaš ,عطاش 
full ,šab3aan,شبعان
full s,šabaa3a,شباعى
slice,xarTa,خرطة
slices,xuraT,خرط
piece,Hetta,حتّة
pieces,Hetat,حتت
drink,mašruub,مشروب
drinks,mašruubaat,مشروبات
juice,3aSiir,عصير
juices,3aSaayir,عصائر
water,mayya,ميّة
tea,šaay,شاي
coffee,'ahwa,قهوة
milk,laban,لبن
alcohol,xamr,خمر
wine,nibiit,نبيت
champagne,šampanya,شامبنية
beer,biira,بيرة
fruit,fakha,فاكهة
fruits,fawaakih,فواكه
apple,tuffaaH,تفّاح
orange,burtu'aan,برتقان
banana,mooz,موز
lemon,lamuun,لمون
lime,lamuun,لمون
watermelon,baTTiix,بطّيخ
cantaloupe,šammaam,شمّام
strawberry,farawla,فراولة
cherry,kireiz,كريز
grape,3inab,عنب
raisin,zibiib,زبيب
pear,kommetra,كمترى
peach,xoox,خوخ
plum,bar'uu',برقوق
prune,bar'uu' naashif,برقوق ناشف
pomegranate,rummaan,رمّان
apricot,mišmiš,مشمش
guava,guwaafa,جوافة
dates ,balaH,بلح
dates ,tamr,تمر
pineapple,ananaas,اناناس
berry,tuut,توت
blueberry,tuut azra',توت أزرق
mango,manga,مانجة
fig,tiin,تين
olive,zatuun,زتون
popcorn,fišaar,فشار
nuts,mikassaraat,مكسّرات
almonds,looz,لوز
hazelnuts,bondo',بندق
peanuts,sudaani,سوداني
vegetables,xuDrawaat | xuDaar,خضروات | خضار
carrot,gazar,جزر
cauliflower,'arnabiiT,قرنبيط
lettuce,xass,خسّ
