English,Egyptian Arabic,Transliteration
clothes,هدوم,huduum
stylish,أنيق  ,aniiq 
chic,شيك ,šiik 
overdressed,محفلط,moHaflaT
shirt,قميص,'amiiS
shirts,قمصان,'umSaan
sleeve,كم,kumm
sleeves,أكمام,akmaam
blouse,بلوزة,biluuza
blouses,بلوزات,biluzaat
coat,بالطو,balTo
coats,بلاطي,balaaTi
jacket,جكتّة,žakitta
jackets,جكتّات,žakittaat
pants,بنطلون,banTaloon
pants,بنطلونات,banTaloonaat
shorts,شرط,šorT
shorts,شرطات,šorTaat
skirt,جوب,žuup
skirts,جوبات,župaat
dress,فستان,fustaan
dresses,فساتين,fasaatiin
suit,بدلة,badla
suits,بدل,bidal
pajamas,بيجامة,bižaama
pajamas,بيجامات,bižamaat
underwear,ملابس داخلية,malaabis daaxiliyya
underpants,كلوتّ,kilott
underpants,كلوتّات,kilottaat
men's underwear,لباس,libaas
men's underwears,لباسات | لبسة,libasaat/libisa
bra,ستيان,sutyaan
bras,ستيانات,sutyanaat
diaper,كفولة,kafuula
diapers,كوافيل,kawafiil
hat,برنيطة,borneiTa
hats,برانيط,baraniiT
gloves,جونتي,guwanti
gloves,جونتيات,guwantiyaat
scarf,ايشارب,iišaarb
scarves,ايشاربات,išarbaat
belt,حزام,Hizaam
belts,حزمة,Hizima
buckle,ابزيم,abziim
buckles,أبازيم,abaziim
tie,كرفتّة,karavatta
ties,كرفتّات,karavattaat
sock,شراب,šaraab
socks,شرابات,šarabaat
shoe,جزمة,gazma
shoes,جزم,gizam
slipper,شبشب,šibšib
slippers,شباشب,šabaašib
collar,ياقة,yaa'a
collars,ياقات,ya'aat
button,زرار,zuraar
buttons,زراير,zaraayir
pocket,جيب,geib
pockets,جيوب,guyuub
zipper,سوستة,soosta
thread,خيط,xeiT
threads,خيوط,xuyuuT
jewel,جوهرة,gawhara
jewels,جواهر,gawaahir
jewelry,مجوهرات,mugawharaat
gold/silver/jewels,مصوغات,maSuughaat
earring,حلق,Hala'
earrings,حلقان,Hil'aan
necklace,عقد,3u'd
necklaces,عقاد,3i'aad
necklace,كردان,kirdaan
necklaces,كرادين,karadiin
bracelet,اسورة,iswira
bracelets,اساور,asaawir
ring,خاتم,xaatim
rings,خواتم,xawaatim
gold,دهب,dahab
silver,فضّة,faDDa
pearls,لؤلؤ,lu'lu'
glasses,نضّارة,naDDaara
contact lenses,عدسات لاصقة,3adasaat laaSiqa
sunglasses,نضّارة شمس,naDDaarit šams
wristwatch,ساعة يد,saa3it iid
purse,شنطة,šanTa
purses,شنط,šunaT
wallet,محفظة,maHfaZa
wallets,محافظ,maHaafiZ
umbrella,شمسية,šamsiyya
umbrellas,شماسي,šamaasi
fabric,قماشة,'umaaš
silk,حرير,Hariir
silks,حرائر,Haraa'ir
wool,صوف,Suuf
wools,اصواف,aSwaaf
velvet,قطيفة,'aTiifa
cotton,قطن,'uTn
cottons,اقطان,a'Taan
lace,دنتلّة  | دنتل,dantilla | dantel
leather,جلد,gild
dotted,منقّط,mina''aT
striped,مقلّم,mi'allim
plaid,كروهات,karohaat
solid color,سادة,saada
embroidered,مزركش,mizarkaš
patterned,مشجّر,mišaggar
tight,ضيّق,Dayya'
loose,واسع,waasi3
wide,عريض,3ariiD
wides,عراض,3uraaD
modest,حشمة,Hišma
torn,مقطوع,ma'Tuu3
tailor,خيّاط,xayyaaT
tailors,خيّاطون,xayyaTiin
 size,مقاس,ma'aas
 sizes,مقاسات,ma'asaat
to fit,فصّل - يفصّل ,faSSal - yifaSSal 
