english,transliteration,arabic,audioUrl
"to relax, rest","rtēɧ, yirtēɧ",رْتاح ، يِرْتاح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-1.mp3
relaxation,istirxāʔ,اِسْتِرْخاء,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-2.mp3
to go for a walk,"tmášša, yitmášša",تْمشّى، يِتْمشّى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-3.mp3
Let’s go for a walk in the park.,yálla nrūɧ nímši b-ilɧadīʔa.,يَلّا نْروح نِمْشي بِالحديقة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-4.mp3
to fly a kite,"ʈáyyar ʈayyārat wáraʔ, yʈáyyir ʈayyārat wáraʔ",طيّر طيّارة وَرق، يْطيِّر طيّارة وَرق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-5.mp3
day off,yōm 3úʈli,يوْم عُطْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-6.mp3
Today’s my day off.,lyōm 3úʈulti.,اليوْم عُطُلْتي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-7.mp3
"fun, enjoyable",bisálli,بِسلّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-8.mp3
friend,"rfīʔ (rfāʔ, rifʔāt)",رْفيق (رْفاق، رِفْقاة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-9.mp3
friend,ʂāɧib (aʂɧāb),صاحِب (أصْحاب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-10.mp3
friend,ʂadīʔ (aʂdiqāʔ),صديق (أصْدقاء),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-11.mp3
to meet up with friends,"ltáʔa b-rifʔātu, yiltíʔi b-irifʔātu",لْتقى بْرِفْقاتو، يِلْتِقي بِرِفْقاتو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-12.mp3
to hang out (with friends),ʈúli3 [55] ma3 rifʔātu,طُلِع مع رِفْقاتو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-13.mp3
to hang out (with friends),"kázdar, ykázdir",كزْدر، يْكزْدِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-14.mp3
We hung out at the shopping mall yesterday evening.,kazdárna b-ilmōl mbēriɧ.,كزْدرْنا بِالمول مْبارِح.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-15.mp3
to read,"ʔára, yíʔra",قرا، يِقْرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-16.mp3
newspaper,jarīdi (jarāyid),جريدِة (جرايِد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-17.mp3
I like to sit in a coffe shop and read the newspaper before I go to work.,bɧibb ú3ʔud b-ilkāfē íʔra jjarīdi ʔábil mā rūɧ 3a-ššíɣil.,بْحِبّ أُقْعُد بِالكافيْه اِقْرا الجّريدِة قبِل ما روح عالشِّغِل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-18.mp3
magazine,majálli,مجلِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-19.mp3
book,ktēb (kútub),كْتاب (كُتُب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-20.mp3
novel,riwēyi,رِوايِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-21.mp3
"comic book, graphic novel",ʔíʂaʂ fíya ʂuwar,قِصص فِيا صُوَر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-22.mp3
television,telfizyōn,تِلْيفِزْيوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-23.mp3
to watch TV,tfárraj [55] 3ála ttelfizyōn,تْفرّج على التِلْيفِزْيوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-24.mp3
"TV show, TV program",birnēmij (barāmij),بِرْنامج (برامِج),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-25.mp3
What’s your favorite TV program?,šū áktar birnēmij bitɧibbu bi-ttelfizyōn?,شو أكْتر بِرْنامِج بِتْحِبّو بِالتِّلْيفِزْيوْن؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-26.mp3
What do you like to watch on TV?,3a šū bitɧíbb titfárraj b-ittelfizyōn?,ع شو بِتْحِبّ تِتْفرّج بِلتِّلْيفِزْيوْن؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-27.mp3
I like watching Lebanese dramas (soaps).,bɧibb itfárraj 3ála ddrāmā llibnēníyyi.,بْحِبّ إتْفرّج على الدْراما اللِبْنانية.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-28.mp3
drama,drāmā,دْراما,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-29.mp3
comedy program,birnēmij kōmedi,بِرْنامِج كوْميدي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-30.mp3
sports program,birnēmij riyāɖi,بِرْنامِج رِياضي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-31.mp3
sporting event,ɧádas riyāɖi (aɧdās riyāɖíyyi),حدث رِياضي (أحْداث رِياضية),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-32.mp3
soccer match,mātš fūtbōl,ماتْش فوتْبوْل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-33.mp3
movie,film (aflām),فيلْم (أفْلام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-34.mp3
documentary,film waŧāʔīqi,فيلْم وَثائيقي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-35.mp3
children’s program,birnēmij aʈfāl,بِرْنامِج أطْفال,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-36.mp3
cartoon,kartūn,كرْتون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-37.mp3
game show,birnēmij musēbaʔāt,بِرْنامِج مُسابقات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-38.mp3
reality TV show,birnēmij telfizyōn lwēʔi3,بِرْنامِج تِلْيفِزْيوْن واقِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-39.mp3
series,musálsal,مُسلْسل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-40.mp3
sitcom,musálsal kōmīdi,مُسلْسل كوْميدي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-41.mp3
episode,ɧálʔa,حلْقة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-42.mp3
season,máwsam (mawēsim),موْسم (مَواسِم),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-43.mp3
I haven’t seen the second season of this show yet.,ba3d mā šíft ilmáwsam ittēni min háyda lmusálsal.,بعْد ما شِفْت المَوْسم التّاني مِن هَيْدا المُسلْسل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-44.mp3
the news,lʔaxbār,الأخْبار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-45.mp3
weather report,nášra jawwíyyi,نْشْرة جوية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-46.mp3
talk show,birnēmij ɧiwāri,بِرْنامِج حِواري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-47.mp3
Have you ever been on TV?,ʈlá3it b-ittelfizyōn min ʔábil?,طْلِعِت بِالتِّلْيفِزْيون مِن قبِل؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-48.mp3
channel,qanāt (qanawāt),قناة (قنَوات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-49.mp3
What’s on TV (now)?,šū fī 3al-telfizyōn hállaʔ?,شو في عالتِّلْيفِزْيوْن هلّق؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-50.mp3
There’s an interesting program on channel 3.,fī birnāmijɧílu 3ala lʔizā3a ttēlti.,في بِرْنامِج حِلو على الإذاعة التّالْتِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-51.mp3
to turn the TV on,ɖáwwa [7] ttelfizyōn,ضوّى التِّلْيفِزْيوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-52.mp3
to turn the TV off,ʈáffa [7] ttelfizyōn,طفّى التِّلْيفِزْيوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-53.mp3
volume,ʂōt,صوت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-54.mp3
to turn the volume up,3álla [13] ʂʂōt,علّى الصّوْت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-55.mp3
I can’t hear what they’re saying. Could you turn the TV up a bit?,"miš sēmi3 šū 3am yíɧku, má3li t3álli ʂʂōt šwayy?",مِش سامِع شو عم يِحْكو، معْلي تْعلّي الصّوْت شْوَيّ؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-56.mp3
to turn the volume down,"wáʈʈa ʂʂōt, ywáʈʈi ʂʂōt",وَطّى الصّوْت، يْوَطّي الصّوْت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-57.mp3
I’m trying to study. Could you turn the TV down a bit?,"3am ɧāwil ídrus, má3li twáʈʈi ʂʂōt šwayy?",عم حاوِل إدْرُس، معْلي تْوَطّي الصّوْت شْوَيّ؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-58.mp3
antenna,antēn,أنْتيْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-59.mp3
satellite dish,diš,دِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-60.mp3
radio,rādyō,رادْيوْ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav21-61.mp3
