english,transliteration,arabic,audioUrl
"work, job, career",šúɣul (ašɣāl),شُغُل (أشْغال),http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-1.mp3
"to work, be employed","ištáɣal, yištíɣil",اِشْتغل، يِشْتِغِل,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-2.mp3
She works as a teacher.,híyya btištíɣil fi -lmádrasa.,هِيَّ بْتِشْتِغِل في المدْرسة.,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-3.mp3
I work five days a week.,ána baštíɣil xámas tiyyām bi-lʔisbū3.,أنا بشْتِغِل خمس تِيّام بِالإسْبوع.,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-4.mp3
"job, task",waʐīfa,وَظيفة,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-5.mp3
full-time,dawām kāmil,دَوام كامِل,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-6.mp3
I work full-time.,baštíɣil dawām kāmil.,بشْتِغِل دَوام كامِل.,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-7.mp3
part-time,nuʂʂ dawām,نُصّ دَوام,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-8.mp3
part-time,dawām júzʔi,دوام جُزْئي,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-9.mp3
I want a part-time job.,bíddi šúɣul b-nuʂʂ dawām.,بِدّي شُغُل بْنُصّ دَوام.,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-10.mp3
the private sector,ilxāʂʂ,الخاصّ,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-11.mp3
the public sector,ilɧukūma,الحُكومة,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-12.mp3
the public sector,issúlʈa,السُّلْطة,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-13.mp3
civil servant,muwáʐʐaf ɧukūmi,مُوَظّف حُكومي,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-14.mp3
to look for a job,"dáwwar 3ála šúɣul, ydáwwir 3ála šúɣul",دوّر على شُغُل، يْدوِّر على شُغُل,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-15.mp3
to apply for a job,"gáddam 3ála šúɣul, ygáddim 3ála šúɣul",قدّم على شُغُل، يْقدِّم على شُغُل,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-16.mp3
"applicant, candidate",mgáddim 3ála šúɣul,مْقدِّم على شُغُل,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-17.mp3
experience,xíbra,خِبْرة,http://media.lingualism.com/wp-content/uploads/vocab/pcav/pcav09-18.mp3
