english,transliteration,arabic,audioUrl
education,,تعْليم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-01.mp3
"educated, literate",,قاري,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-02.mp3
to learn,,تْعلّم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-03.mp3
illiterate,,أُمّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-04.mp3
illiteracy,,أُمّية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-05.mp3
What is the illiteracy rate in Morocco?,,شْحال مُعدّل الأُمّية فْ المغْرِب؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-06.mp3
school,,مدْرسة (مدارِس),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-07.mp3
student,,طالب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-08.mp3
student,,إيتودْيون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-09.mp3
preschool,,روْض,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-10.mp3
kindergarten,,حضانة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-11.mp3
"elementary school, primary school",,مدْرسة بْتِدائِيَة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-12.mp3
"when I was in elementary school, ...",,مْني كنْت فْ البْتِدائي ...,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-13.mp3
first grade (year),,أُوّل بْتِدائي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-14.mp3
Her son is in first grade.,,وُلْدْها فْ اللُّوّل بْتِدائي.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-15.mp3
middle school,,مدْرسة إعْدادية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-16.mp3
middle school,,كوْليْج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-17.mp3
"high school, secondary school",,ليسّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-18.mp3
academy,,أكادِمية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-19.mp3
language academy,,أكادِمية لُغات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-20.mp3
I’m studying Arabic at a language academy in Morocco.,,كنْقْرى العرْبية فْواحد أكادِمية اللُّغات فْ المغْرِب.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav10-21.mp3
