english,transliteration,arabic,audioUrl
education,ta3līm,تعْليم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-1.mp3
"educated, literate",mit3állim,مِتْعلِّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-2.mp3
to learn,"t3állam, yit3állam",تْعلّم، يِتْعلّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-3.mp3
illiterate,úmmi,أُمّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-4.mp3
illiteracy,ummíyyi,أُمّية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-5.mp3
What is the illiteracy rate in Lebanon?,ʔaddē m3áddal ilʔummíyyi b-libnēn?,قدّيْ مْعدّل الأُمّية بْلِبْنان؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-6.mp3
school,mádrasi (madēris),مدْرسِة (مدارِس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-7.mp3
student,tilmīz (talamīz),تِلْميذ (تلاميذ),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-8.mp3
preschool,ɧaɖāni,حضانِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-9.mp3
kindergarten,kē djī (KG),كيْ جي (KG),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-10.mp3
kindergarten,ráwɖa,رَوْضة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-11.mp3
"elementary school, primary school",márɧali ibtidēʔíyyi,مرْحلِة اِبْتِدائية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-12.mp3
"elementary school, primary school",ibtidēʔi,اِبْتِدائي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-13.mp3
"when I was in elementary school, ...","lámma kínit b-ilʔibtidēʔi, ...",لمّا كِنِت بِالاِبْتِدائي، ...,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-14.mp3
first grade (year),ʂʂaf ilʔáwwal,الصّف الاوّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-15.mp3
Her son is in first grade.,íbna b-iʂʂaf ilʔáwwal.,اِبْنا بِالصّف الاوّل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-16.mp3
middle school,márɧali mutawássiʈa,مرْحلِة مُتوسِّطة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-17.mp3
middle school,mutawássiʈ,مُتوسِّط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-18.mp3
"high school, secondary school",márɧali ŧānawíyyi,مرْحلِة ثانَوية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-19.mp3
"high school, secondary school",ŧānawi,ثانوي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-20.mp3
"university, college",jēm3a,جامْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-21.mp3
academy,akadīmíyyi,أكاديمية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-22.mp3
academy,má3had (ma3āhid),معْهد (معاهِد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-23.mp3
language academy,markaz ta3līm illuɣāt,مرْكز تعْليم اللُّغات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-24.mp3
I teach Arabic at a language academy in Lebanon.,3am dárris 3árabi b-imárkaz ta3līm illuɣāt b-libnēn.,عمْ درِّس عربي بِمرْكز تعْليم اللُّغات بِلِبْنان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-25.mp3
in fifth grade,bi-ʂʂaff ilxāmis,بِالصّفّ الخامِس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-26.mp3
in sixth grade,bi-ʂʂaff issēdis,بِالصّفّ السّادِس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-27.mp3
in one’s second year of middle school,bi-ʂʂaff issēbi3,بِالصّفّ السّابِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-28.mp3
in one’s third year of high school,bi-ʂʂaff ittēmin,بِالصّفّ التّامِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-29.mp3
class(room); class; year,ʂaff (ʂfūf),صفّ (صْفوف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-30.mp3
"period, hour, lesson",ɧíʂʂa (ɧíʂaʂ),حِصّة (حِصص),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-31.mp3
I have six classes a day.,3índi sitt ɧíʂaʂ ilyōm.,عِنْدي سِتّ حِصص اليوْم.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-32.mp3
Class starts at 8 o'clock and finishes at 9 o'clock.,ʂʂaf bibálliš issē3a tmēni u bixálliʂ issē3a tís3a.,الصّفّ بيبلِّش السّاعة تْمانِة وبيخلِّص السّاعة تِسْعة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-33.mp3
lecture,muɧāɖara,مُحاضرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-34.mp3
to attend a lecture,ɧúɖir [55] muɧāɖara,حُضِر مُحاضرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-35.mp3
studies,dirāsi,دِراسِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-36.mp3
lesson,dáris (drūs),درِس (دْروس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-37.mp3
curriculum,mánhaj (manēhij),منْهج (مناهِج),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-38.mp3
question,suʔāl (ásʔila),سُؤال (أسْئِلة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-39.mp3
to ask a question in class,sáʔal suʔāl b-iʂʂaff,سأل سُؤال بِالصّفّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-40.mp3
answer,jawēb,جواب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-41.mp3
to answer,"jēwab, yjēwib",جاوب، يْجاوِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-42.mp3
to raise one’s hand,ráfa3 [23] īdu,رفع اِيدو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-43.mp3
"right, correct",ʂaɧɧ,صحّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-44.mp3
"wrong, incorrect; mistake",ɣálaʈ,غلط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-45.mp3
He got three questions wrong.,jēwab ɣálaʈ 3ála tlēt ásʔila.,جاوَب غلط على تْلات أسْئِلة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-46.mp3
lecture hall,qā3it ilmuɧāɖarāt,قاعِة المُحاضرات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-47.mp3
desk,ʈāwli,طاوْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-48.mp3
text book,ktēb (kútub),كْتاب (كُتُب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-49.mp3
notebook,dáftar (dafētir),دفْتر (دفاتِر),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-50.mp3
to take notes,áxad [55] mulāɧaʐāt,أخد مُلاحظات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-51.mp3
to copy,"náʔal, yínʔul",نقل، يِنْقُل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-52.mp3
backpack,šánʈa (šínaʈ),شنْطة (شِنط),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-53.mp3
blackboard,lōɧ,لوْح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-54.mp3
chalk,ʈabšūr,طبْشور,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-55.mp3
whiteboard,lōɧ ábyaɖ,لوْح أبْيَض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-56.mp3
map,xarīʈa (xarāyiʈ),خريطة (خرايِط),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-57.mp3
library,máktabi,مكْتبِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-58.mp3
gymnasium,djim,جيم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-59.mp3
"playground, school yard",mál3ab (malē3ib),ملْعب (ملاعِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-60.mp3
cafeteria,kāfitīrya,كافيِتِرْيا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-61.mp3
laboratory,múxtabar,مُخْتبر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-62.mp3
"auditorium, theater",másraɧ (masēriɧ),مسْرح (مسارِح),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-63.mp3
school bus,bāʂ mádrasi,باص مدْرسِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-64.mp3
summer vacation,3úʈlit iʂʂēfíyyi,عُطْلِة الصّيْفية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-65.mp3
winter vacation,3úʈlit iššatwíyyi,عُطْلِة الشّتْوية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-66.mp3
"break(time), recess; lunch break",fúrʂa (fúraʂ),فُرْصة (فُرص),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-67.mp3
We have a fifteen-minute break between classes.,3ínna ríbi3 sē3a fúrʂa bēn iʂʂfūf.,عِنّا رِبِع ساعة فُرْصة بيْن الصّْفوف.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-68.mp3
"test, exam",musābaʔa,مُسابقة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-69.mp3
"test, exam",imtiɧān,اِمْتِحان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-70.mp3
to take a test,3ímil [55] imtiɧān,عِمِل اِمْتِحان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-71.mp3
mid-term (exam),imtiɧān nuʂʂ issíni,اِمْتِحان نُصّ السِّنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-72.mp3
entrance exam,imtiɧān dxūl,اِمْتِحان دْخول,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-73.mp3
final exam,imtiɧān ēxir issíni,اِمْتِحان آخِر السِّنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-74.mp3
an oral exam,imtiɧān šáfawi,اِمْتِحان شفَوي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-75.mp3
a written exam,imtiɧān kitābi,اِمْتِحان كِتابي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-76.mp3
to pass a test,"níjiɧ b-ilʔimtiɧān, yínjaɧ b-ilʔimtiɧān",نِجِح بِالاِمتِحان، يِنْجح بِالاِمتِحان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-77.mp3
exam results,natēʔij ilʔimtiɧānēt,نتائِج الاِمْتِحانات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-78.mp3
to fail a test,"sáʔaʈ b-ilʔimtiɧān, yúsʔuʈbi-lʔimtiɧān",سقط بِالاِمْتِحان، يُسْقُط بِالاِمْتِحان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-79.mp3
grade,3alēmi,علامِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-80.mp3
a passing grade,3alēmit innijāɧ,علامِة النّجاح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-81.mp3
to get a good grade,áxad [55] 3alēmi 3ālyi,أخد علامِة عالْية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-82.mp3
a failing grade,3alēmit issuʔūʈ,علامِة السّْقوط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-83.mp3
report card,kārnēh,كارْنيْه,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-84.mp3
to study,"dáras, yídrus",درس، يِدْرُس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-85.mp3
He needs to study for the test.,lēzim yídrus la-lmusābaʔa,لازِم يِدْرُس للْمُسابقة.,
homework,waʐīfi,وظيفِة,
to do homework,3ímil [55] ilwaʐīfi,عِمِل الوظيِفِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-88.mp3
"to check, revise, review","rāja3, yrāji3",راجع، يْراجِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-89.mp3
"essay, paper, composition",mawɖū3,موْضوع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-90.mp3
The students have to write an essay about a historical event.,lēzim yíktub ittalimīz mawɖū3 3an ɧádas tārīxi.,لازِم يِكْتُب التلاِميذ موضوع عن حدث تاريِخي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-91.mp3
teacher,istēz (asádzi),اِسْتاذ (اساتْذة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-92.mp3
"Good morning, teacher!",ʂabāɧilxēr istēz!,صباح الخيْر، اِسْتاذ!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-93.mp3
professor,istēz jēm3a,إسْتاذ جامْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-94.mp3
principal,mudīr,مُدير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-95.mp3
to teach,"3állam, y3állim",علّم، يْعلِّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-96.mp3
Do you teach at the university?,bit3állim b-ilmádrasi?,بِتْعلِّم بِالمدْرسِة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-98.mp3
to teach a course,3állam kōrs,علّم كورْس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-97.mp3
Ahmad is teaching me Arabic.,áɧmad 3am y3állimni 3árabi.,أحْمد عمْ يْعلِّمْني عربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-99.mp3
to correct a test,"ʂáɧɧaɧ musēbaʔa, yʂáɧɧiɧ musēbaʔa",صحّح مُسابقة، يْصحِّح مُسابقة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-101.mp3
to teach a lesson,"šáraɧ dáris, yíšraɧ dáris",شرح درِس، يِشْرح درِس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-100.mp3
"to enroll, register","sájjal, ysájjil",سجّل، يْسجِّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-102.mp3
enrollment,tisjīl,تِسْجيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-103.mp3
I intend to enroll in an Arabic class next month.,nēwi sájjil b-ʂaff 3árabi ššáhir ijjēy.,ناوي سجِّل بْصفّ عربي الشّهِر الجّاي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-104.mp3
school year,síni dirāsíyyi,سِنِة دِراسيِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-105.mp3
semester,sīméstir,سيمسْتِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-106.mp3
semester,fáʂil,فصِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-107.mp3
tuition,mʂārīf iddirāsi,مْصاريف الدِّراسِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-108.mp3
scholarship,mínɧa,مِنْحة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-109.mp3
student loan,qáruɖ ʈullābi,قرُض طُلّابي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-110.mp3
university,jēm3a,جامْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-111.mp3
"to get into college, start university","fēt 3ā-jjēm3a, yfūt 3ā-jjēm3a",فات عالجامْعة، يْفوت عالجامْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-112.mp3
to go to college,dáras b-ijjēm3a,درس بِالجّامْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-113.mp3
"department, faculty",ʔúsum (aʔsām),قُسُم (أقْسام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-114.mp3
"department, faculty",kullíyyi,كُلّية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-115.mp3
"I got into the faculty of medicine, but later I changed to law.","fítit 3ála kullíyyit iʈʈúbb, ba3dēn ɣayyárit ɧʔūʔ.",فِتِت على كِلّية الطُبّ، بعْديْن غيّرِت حْقوق.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-116.mp3
major,taxáʂʂuʂ,تخصُّص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-117.mp3
minor,taxáʂʂuʂ fír3i,تخصُص فِرْعي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav10-118.mp3
