english,transliteration,arabic,audioUrl
good,kuwáyyis,كُوَيِّس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-1.mp3
bad,wíɧiš,وِحِش,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-2.mp3
hard,ȿulb,صُلْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-3.mp3
soft,ʈári,طري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-4.mp3
"difficult, hard",ȿa3b,صعْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-5.mp3
easy,sahl,سهْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-6.mp3
important,muhímm,مُهِمّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-7.mp3
necessary,ɖarūri,ضروري,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-8.mp3
strong,ʔáwi (aʔwíya),قَوي (أقْوِيا),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-9.mp3
weak,ɖa3īf (ɖú3afa),ضعيف (ضُعفا),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-10.mp3
deep,3amīq,عميق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-11.mp3
shallow,ɖaɧl,ضحْل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-12.mp3
long; tall (person),ʈawīl (ʈuwāl),طَويل (طُوال),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-13.mp3
He’s very tall.,húwwa ʈawīl ʔáwi.,هُوَّ طَويل أَوي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-14.mp3
short,ʔuȿáyyar (ʔuȿār),قُصيّر (قُصار),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-15.mp3
She’s quite short.,híyya ʔuȿayyára ʔáwi.,هِيَّ قُصيّرة أَوي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-16.mp3
"old, ancient",ʔadīm (ʔudām),قديم (قُدام),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-17.mp3
new,gidīd (gudād),جِديد (جُداد),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-18.mp3
"clear, obvious",wāɖiɧ,واضِح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-19.mp3
His answer was very clear.,igábtu kānit wáɖɧa gíddan.,إجابْتُه كانِت واضْحة جِدّاً.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-20.mp3
unclear,miš wāɖiɧ,مِش واضِح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-21.mp3
clean,niɖīf (nuɖāf),نِضيف (نُضاف),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-22.mp3
dirty,wísix,وِسِخ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-23.mp3
heavy,tiʔīl,تِقيل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-24.mp3
light,xafīf (xufāf),خفيف (خُفاف),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-25.mp3
ready,gāhiz,جاهِز,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-26.mp3
Are you ready yet?,ʔínta gāhiz?,إنْتَ جاهِز؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-27.mp3
I’m ready!,ʔána gāhiz!,أنا جاهِز!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-28.mp3
right (person),ȿaɧɧ [invar.],صحّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-29.mp3
right (person),3ándu ɧaʔʔ,عنْدُه حقّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-30.mp3
"Yes, you’re right!","ʔáywa, ʔínta ȿaɧɧ!",أَيْوَة،  إنْتَ صحّ!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-31.mp3
wrong (person),ɣalʈān,غلْطان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-32.mp3
I think you’re wrong (about that).,ʔa3táqid ʔínnak ɣalʈān.,أعْتقِد إنّك غلْطان.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-33.mp3
slow,baʈīʔ (buʈāʔ),بطيء (بُطاء),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-34.mp3
"fast, quick",sarī3 (surā3),سريع (سُراع),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-35.mp3
hot,suxn,سُخْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-36.mp3
warm,dāfi,دافي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-37.mp3
"cool, cold",sāʔi3,ساقِع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-38.mp3
famous,mašhūr,مشْهور,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-39.mp3
independent,mustaqíll,مُسْتقِلّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-40.mp3
busy,mašɣūl,مشْغول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-41.mp3
"empty; available, free (person)",fāɖi,فاضي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-42.mp3
Are you free tomorrow?,ʔínta fāɖi búkra?,إنْتَ فاضي بُكْره؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-43.mp3
full,malyān,ملْيان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-44.mp3
useful,mufīd,مُفيد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-45.mp3
useless,ma-lūš lázma,ملوش لازْمة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-46.mp3
useless,min ɣēr fáyda,مِن غيْر فايْدة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-47.mp3
"careful, cautious",ɧarīȿ (ɧuraȿāʔ),حريص (حُرصاء),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-48.mp3
"careful, cautious",bi-htimām,بِاهْتِمام,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-49.mp3
careless,múhmil,مُهْمِل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-50.mp3
absent-minded,sarɧān,سرْحان,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-51.mp3
open,maftūɧ,مفْتوح,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-52.mp3
closed,maʔfūl,مقْفول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-53.mp3
wet,mablūl,مبْلول,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-54.mp3
dry,nāšif,ناشِف,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-55.mp3
quiet,hādi,هادي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-56.mp3
noisy,múz3ig,مُزْعِج,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-57.mp3
rough,xíšin,خِشِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-58.mp3
smooth,nā3im,ناعِم,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav57-59.mp3
