english,transliteration,arabic
English,Transliteration,Standard Arabic
color,loon,لون
colors,alwaan,ألوان
colored,mulawwan,ملوّن
light,faatiH,فاتح
dark,ġaamiq,غامق
bright,barraaq,براق
shiny,laami3,لامع
black,"aswad , sudaa' , suud",اسود – سوداء
blacks,suud,سود
navy blue,kuHli,كحلي
royal blue,zahri,زهري
sky blue,samaa'i,سمائي
baby blue,labani,لبني
indigo,niili,نيلي
turquoise,feiruuzi,فيروزي
bluish green,ginzaari,جنزاري
dark green,zeiti,زيتي
mustard  green,kammuuni,كموني
olive green,zeituuni,زيتوني
pastel green,kurumbi,كرمبي
purple,urjuwaani,ارجواني
scarlet,qrimzi,قرمزي
pink,zahri,زهري
shocking pink,bambi msaxsax,بمبي مسخسخ
rose-colored,wardi,وردي
orange,burtuqaali,برتقالي
canary yellow,kanaari,كناري
lemon yellow,lamuuni,لموني
brown,bunni,بني
light brown,baSali,بصلي
light brown ,3asali,عسلي
wheat-colored ,'amHi,قمحي
fair-skinned,abyaDaani - beiDa,أبيضاني - بيضا
fair-skinneds,biiD,بيض
pale,baahit,باهت
chestnut,kastanaa'i,كستنائي
cream,aSfar šaaHib,أصفر شاحب
grey,ramaadi,رمادي
gold,dahabi,ذهبي
silver,fiDDi,فضي
beige,beiž,بيج
off-white,samni,سمني
burgundy,nibiti,نبتي
maroon,zibiibi,زبيبي
