English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
environment,بيئة,bii'a,بيئة,bii'a
environments,بيئات,bii'aat,بيئات,bii'aat
planet,كوكب,kawkab,كوكب,kawkab
planets,كواكب,kawaakib,كواكب,kawaakib
world,عالم,3aalam,عالم,3aalam
worlds,عوالم,3awaalim,عوالم,3awaalim
continent,قارّة,qaarra,قارّة,qaarra
continents,قارّات,qaarraat,قارّات,qaarraat
ocean,محيط,muHiiT,محيط,muHiiT
oceans,محيطات,muHiiTaat,محيطات,muHiiTaat
sea,بحر,baHr,بحر,baHr
seas,بحار,biHaar,بحار,biHaar
river,نهر,nahr,نهر,nahr
rivers,أنهار,anhaar,أنهار,anhaar
lake,بحيرة,buHeira,بحيرة,buHeira
lakes,بحيرات,buHeiraat,بحيرات,buHeiraat
pond,بركة,birka,بركة,birka
ponds,برك,birak,برك,birak
canal,قناة,qanaah,قناة,qanaah
canals,قنوات,qanawaat,قنوات,qanawaat
port,ميناء,miinaa',ميناء,miinaa'
ports,موانئ,mawaani',موانئ,mawaani'
gulf,خليج,xaliij,خليج,xaliij
gulfs,خلجان,xuljaan,خلجان,xuljaan
island,جزيرة,jaziira,جزيرة,jaziira
islands,جزائر,jazaa'ir,جزائر,jazaa'ir
coast,ساحل,saaHil,ساحل,saaHil
coasts,سواحل,sawaaHil,سواحل,sawaaHil
beach,شاطئ,šaaTi',شاطئ,šaaTi'
beachs,شواطئ,šawaaTi',شواطئ,šawaaTi'
wave,موج,mooj,موج,mooj
waves,امواج,amwaaj,امواج,amwaaj
tide,تيّار,tayyaar,تيّار,tayyaar
tides,تيّارات,tayyaaraat,تيّارات,tayyaaraat
coral,مرجان,murjaan,مرجان,murgaan
reef,شعبة,ši3ba,شعبة,ši3ba
reefs,شعب,ši3ab,شعب,ši3ab
inlet, bay,شرم,šarm,شرم,šarm
inlet, bays,شروم,šuruum,شروم,šuruum
peninsula,شبة جزيرة,šibhu jaziira,شبة جزيرة,šibh gaziira
waterfall,شلال,šallaal,شلال,šallaal
waterfalls,شلالات,šallaalaat,شلالات,šallaalaat
mountain,جبل,jabal,جبل,jabal
mountains,جبال,jibaal,جبال,jibaal
