English,Egyptian Arabic,Transliteration
color,لون,loon
colors,ألوان,alwaan
colored,ملوّن,milawwin
light,فاتح,faatiH
dark,غامق,ġaami'
bright,فاقع,faa'i3
shiny,لمعي,lam3i
black,اسود – سوداء,iswid - sooda
blacks,سود,suud
white,أبيض – بيضاء,abyaD - beiDa
whites,بيض,biiD
blue,أزرق  -  زرقاء,azra' - zar'a
blues,زرق,zur'
navy blue,كحلي,kuHli
royal blue,زهري,zahri
sky blue,سماوي,samaawi
baby blue,لبني,labani
indigo,نيلي,niili
turquoise,فيروزي,faruuzi
green,أخضر – خضراء,axDar - xaDra
greens,خضر,xuDr
bluish green,جنزاري,ginzaari
dark green,زيتي,zeiti
mustard  green,كموني,kammuuni
olive green,زتوني,zatuuni
pastel green,كرمبي,kurumbi
purple,بنفسجي,banafsigi
red,أحمر - حمراء,aHmar - Hamra
reds,حمر,Humr
scarlet,قرمزي,qurmuzi
pink,بمبي,bambi
shocking pink,بمبي مسخسخ,bambi msaxsax
rose-colored,وردي,wardi
orange,برتقاني,burtu'aani
yellow,أصفر – صفراء,aSfar - Safra
yellows,صفر,Sufr
canary yellow,كناري,kanaari
lemon yellow,لموني,lamuuni
brown,بني,bunni
light brown,بصلي,baSali
light brown ,عسلي,3asali
brown-skinned ,أسمر - سمراء,asmar - samra
brown-skinned s,سمر,sumr
wheat-colored ,قمحي,'amHi
fair-skinned,أبيضاني - بيضا,abyaDaani - beiDa
fair-skinneds,بيض,biiD
pale,باهت,baahit
blond ,أشقر - شقراء,aš'ar - ša'ra
blond s,شقر,šu'r
chestnut,كستنائي,kastanaa'i
cream,أصفر شاحب,aSfar šaaHib
grey,رمادي,ramaadi
gold,ذهبي,dahabi
silver,فضي,faDDi
beige,بيج,beiž
off-white,سمني,samni
burgundy,نبتي,nibiti
maroon,زبيبي,zibiibi
