english,transliteration,arabic,audioUrl
language,lúɣa,لُغة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-1.mp3
foreign language,lúɣa ajnabíyyi,لُغة أجْنبية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-2.mp3
(foreign) accent,lákni,لكْنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-3.mp3
native language,lúɣit umm,لُغِة أُمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-4.mp3
Chinese,ʂīni,صيني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-5.mp3
Dutch,holándi,هوْلنْدي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-6.mp3
English,inglīzi,إنْكْليزي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-7.mp3
Farsi,fērsi,فارْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-8.mp3
French,frinsēwi,فْرِنْساوي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-9.mp3
German,almāni,ألْماني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-10.mp3
Greek,yūnēni,يوناني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-11.mp3
Hebrew,3íbri,عِبْري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-12.mp3
Hindi,híndi,هِنْدي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-13.mp3
Italian,īʈāli,إيطالي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-14.mp3
Japanese,yābāni,ياباني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-15.mp3
Korean,kūri,كوري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-16.mp3
Portuguese,burtuɣāli,بُرْتُغالي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-17.mp3
Russian,rūsi,روسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-18.mp3
Spanish,isbāni,إسْباني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-19.mp3
Turkish,tírki,تِرْكي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-20.mp3
Arabic,3árabi,عربي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-21.mp3
Classical Arabic,3árabi lqurʔān,عربي القُرْآن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-22.mp3
Modern Standard Arabic,lfúʂɧa,الفُصْحى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-23.mp3
dialect,láhji,لهْجِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-24.mp3
colloquial language,3ammíyyi,عامّية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-25.mp3
Egyptian Arabic,l3árabi lmáʂri,العربي المصْري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-26.mp3
Moroccan Arabic,l3árabi lmáɣribi,العربي المغْرِبي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-27.mp3
Levantine Arabic,l3arabi ššēmi,العربي الشّامي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-28.mp3
Gulf Arabic,l3arabi lxalīji,العربي الخليجي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-29.mp3
to learn,"t3állam, yit3állam",تْعلم، يِتْعلّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-30.mp3
"practice, exercise",tadrīb,تدْريب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-31.mp3
"practice, exercise",tamrīn (tamarīn),تمْرين (تمارين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-32.mp3
to practice,"ddárab 3ála, yiddárrab 3ála",تْدرّب على، يِتْدرّب على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-33.mp3
to practice,"tmárran 3ála, yitmárran 3ála",تْمرّن على، يِتْمرّن على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-34.mp3
level,mústawa (mustawayēt),مُسْتَوى (مُسْتوَيات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-35.mp3
beginner’s,mbállaš,مْبلش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-36.mp3
intermediate,wásaʈ,وَسط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-37.mp3
advanced,3āli,عالي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-38.mp3
writing,kitēbi,كِتابِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-39.mp3
to write,"kátab, yíktub",كتب، يِكْتُب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-40.mp3
reading,ʔrāyi,قْراية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-41.mp3
to read,"ʔára, yíʔra",قرا، يِقْرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-42.mp3
alphabet,liɧrūf ilʔabjadíyyi,الِحْروف الابْجدية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-43.mp3
letter,ɧárif (ɧrūf),حرِف (حْروف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-44.mp3
Chinese characters,liɧrūf iʂʂīníyyi,الِحْروف الصّينية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-45.mp3
to spell,"hájja, yhájji",هجى، يِهجي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-46.mp3
spelling,ɧijēʔ,هِجاء,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-47.mp3
"handwriting, penmanship",xaʈʈ,خطّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-48.mp3
I have such bad penmanship.,ána xáʈʈi bíši3.,أنا خطّي بِشِع.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-49.mp3
is legible,byinʔára,بْيِنْقرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-50.mp3
is illegible,mā byinʔára,ما بْيِنْقرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-51.mp3
His handwriting is completely illegible.,xáʈʈu mā byinʔára ábadan.,خطُّه ما بْيِنْقرا أبداً.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-52.mp3
calligraphy,fann irrásim b-ilxaʈʈ,فنّ الرّسِم بِالخطّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-53.mp3
"speaking, speech",ɧáki,حكي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-54.mp3
I need to practice speaking more.,ána lēzim itmárran 3a-lɧáki áktar.,أنا لازِم إتْمرّن عالحكي أكْتر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-55.mp3
You can’t understand anything he says.,mā btíʔdir tífham ɧákyu.,ما بْتِقْدِر تِفْهم حكْيو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-56.mp3
to speak,ɧíki [55],حِكي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-57.mp3
Can you speak Arabic?,btá3rif tíɧki 3árabi?,بْتعْرِف تِحْكي عربي؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-58.mp3
I know a few words.,bá3rif kam kílmi.,بعْرِف كم كِلْمِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-59.mp3
I know some basic Arabic.,bá3rif ášya basīʈa b-il3árabi.,بعْرِف أشْيا بسيطة بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-60.mp3
I can speak a little Arabic.,bá3rif íɧki 3árabi šwayy.,بعْرِف اِحْكي عربي شْوَيّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-61.mp3
I can get by in Arabic.,bmárriʔ ɧāli b-il3árabi.,بْمرِّق حالي بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-62.mp3
I speak Arabic pretty well.,bíɧki 3árabi mnīɧ.,بِحْكي عربي مْنيِح.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-63.mp3
broken Arabic,3árabi mkássar,عربي مْكسّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-64.mp3
fluently,b-ʈalāʔa,بْطلاقة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-65.mp3
I am fluent in Arabic.,ána ʈíliʔ b i-l3árabi.,أنا طِلِق بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-66.mp3
pronunciation,nuʈuʔ,نُطُق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-67.mp3
pronunciation,láfiʐ,لفِظ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-68.mp3
to pronounce,"láfaʐ, yílfuʐ",لفظ ، يِلْفُظ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-69.mp3
How do you pronounce this word?,kīf btínʈuʔ ha-lkílmi?,كيف بْتِنْطُق هالكِلْمِة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-70.mp3
Your Arabic pronunciation is quite good.,btílfuʐ 3árabi ktīr mnīɧ.,بْتِلْفُظ عربي كْتير مْنيح.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-71.mp3
I need to work on my listening skills in Arabic.,lēzim ištíɣil 3ála tamārīn issamā3 b-il3árabi.,لازِم اِشْتِغِل على تمارين السّماع بِالعربي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-73.mp3
listening,smā3,سْماع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-72.mp3
to listen to,"sími3, yísma3",سِمِع، يِسْمع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-74.mp3
vocabulary,mufradēt,مُفْردات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-75.mp3
word,kílmi (kalimēt),كِلْمِة (كلِمات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-76.mp3
dictionary,ʔāmūs (ʔawamīs),قاموس (قواميس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-77.mp3
to look up a word in the dictionary,dáwwar [9] 3ála kílmi min ilʔāmūs,دوِّر على كِلْمِة مِن القاموس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-78.mp3
flashcard,biʈāʔit istiskār,بِطاقِة اِسْتِذْكار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-79.mp3
to repeat,"3ād, y3īd",عاد، يْعيد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav38-80.mp3
