english,transliteration,arabic,audioUrl
weather,jaww,جَوّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-1.mp3
weather,ʈáʔis,طقِس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-2.mp3
What’s the weather like today?,kīf ijjaww ilyōm?,كيف الجوّ اليوْم؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-3.mp3
The weather is __.,ʈʈáʔis __.,الطّقِس __.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-4.mp3
"good, nice, fair",ɧílu,حِلو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-5.mp3
"bad, miserable",bíši3,بِشِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-6.mp3
What a nice day!,šū ha-nnhār ilɧílu!,شو هالنّْهار الحِلو!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-7.mp3
temperature,dárajit ɧarāra,درجِة حرارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-8.mp3
What’s the temperature?,ʔidē dárajit ilɧarāra?,قدّيْ درجِة الحرارة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-9.mp3
(It’s) 25 degrees.,xámsi u 3išrīn dáraji.,خمْسِة وعِشْرين درجِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-10.mp3
It’s in the low twenties.,dárajit ilɧarāra b-áwwal il3išrīn.,درجِة الحرارة بْأوّل العِشْرين.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-11.mp3
in the mid-twenties,b-nuʂʂ il3išrīn,بْنُصّ العِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-12.mp3
in the high twenties,b-ēxir il3išrīn,بْآخِر العِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-13.mp3
It’s around 30 degrees.,taʔrīban tlētīn dáraji.,تقْريباً تْلاتين درجِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-14.mp3
It’s over 30 degrees.,áktar min tlētīn dáraji.,أكْتر مِن تْلاتين درجِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-15.mp3
It’s below zero. It’s below freezing.,dárajit ilɧarāra taɧt iʂʂífir.,درجِة الحرارة تحْت الصِّفِر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-16.mp3
"the maximum temperature, the high",áqʂa dárajit ilɧarāra,أقْصى درجِة الحرارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-17.mp3
"the minimum temperature, the low",aʔáll dárajit ilɧarāra,أقلّ درجِة الحرارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-18.mp3
It’s __. / The weather is __.,jjaww __.,الجَّوّ __.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-19.mp3
It’s __. / The weather is __.,ddínyi __.,الدِّنْيِا __.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-20.mp3
heat,šōb,شوْب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-21.mp3
It’s very hot.,ktīr šōb.,كْتير شوْب.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-22.mp3
warmth,dáfa,دفا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-23.mp3
"coolness, coldness",bárid,برِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-24.mp3
It’s really cold.,ktīr bárid.,كْتير برِد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-25.mp3
It’s freezing outside.,jjaww tálij bárra.,الجَّوّ تلِج برّا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-26.mp3
heat wave,máwjit šōb,موجِة شوْب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-27.mp3
How hot does it get where you’re from?,ʔaddē fī šōb b-báladkun?,قدّيْ في شوْب بْبلدْكُن؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav42-28.mp3
