English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
time,وقت,waqt,وقت,waqt
times,أوقات,awqaat,أوقات,awqaat
time (countable unit; as in "three times, four times," etc.),مرة,marra,مرة,marra
time (countable unit; as in "three times, four times," etc.)s,مرات,marraat,مرات,marraat
century,قرن,qarn,قرن,qarn
centurys,قرون,quruun,قرون,quruun
decade,حقبة,Hiqba,حقبة,Hiqba
decades,حقبات,Hiqabaat,حقبات,Hiqabaat
year,سنة,sana,سنة,sana
years,سنوات,sanawaat,سنوات,sanawaat
week,أسبوع,usbuu3,أسبوع,usbuu3
weeks,أسابيع,asaabii3,أسابيع,asaabii3
day,يوم,yawm,يوم,yawm
days,أيّام,ayyaam,أيّام,ayyaam
hour,ساعة,saa3a,ساعة,saa3a
hours,ساعات,saa3aat,ساعات,saa3aat
minute,دقيقة,daqiiqa,دقيقة,daqiiqa
minutes,دقائق,daqaa'iq,دقائق,daqaa'iq
second,ثانية,taanya,ثانية,taanya
seconds,ثواني,tawaani,ثواني,tawaani
moment,لحظة,laHZa,لحظة,laHZa
moments,لحظات,laHaZaat,لحظات,laHaZaat
dawn,فجر,fajr,فجر,fagr
morning,صباح,SabaaH,صباح | صبح,SabaaH/SobH
noon,ظهر,Zuhr,ضهر,Duhr
evening,مساء,masaa',مساء,masaa'/masa
night,ليلة,leila,ليلة,leila
nights,ليالي,layaali,ليالي,layaali
before,قبل,qabl,قبل,'abl
after,بعد,ba3d,بعد,ba3d
then,ثم,tumma,بعدين,ba3dein
until,حتى,Hatta,لغاية,li-ġaayit
now,الآن,al'aan,دلوقت,dilwa'ti/dilwa't
the day before yesterday,أول أمس,awwal ams,اول امبارح,awwil imbaariH
yesterday,أمس,ams,امبارح,imbaariH
last night,ليلة أمس,leilat ams,امبارح بالليل,imbaariH bil-leil
tomorrow,غدا,ġadan,بكرة,bukra
every day,كل يوم,kull yawm,كل يوم,kulle yoom
every other day,كل يومين,kull yawmein,يوم آه ويوم لا,yoom 'aah wa-yoom la
day after day,يوما بعد يوم,yawman ba3d yawm,يوم ورا يوم,yoom wara yoom
early,مبكر,mubakkir,بدري,badri
late,متأخر,muta'axxir,متأخر,mit'axxar
after a while,بعد قليل,ba3d qaliil,بعد شوية,ba3de šwayya
later on,لاحقا,laaHiqan,بعدين,ba3dein
always,دائما,daa'iman,دايما,dayman
usually,عادةً,3aadatan,عادةً,3aadatan
sometimes,أحيانا,aHyaanan,أحيانا,aHyaanan
rarely,نادرا,naadiran,نادرا,naadiran
holiday, feast,عيد,3iid,عيد,3iid
holiday, feasts,أعياد,a3yaad,أعياد,a3yaad
birthday,عيد ميلاد,3iid miilaad,عيد ميلاد,3iid miilaad
occasion,مناسبة,munaasaba,مناسبة,munaasaba
occasions,مناسبات,munaasabaat,مناسبات,munaasabaat
anniversary (or memory),ذكرى,dikra,ذكرى,dikra
anniversary (or memory)s,ذكريات,dikrayaat,ذكريات,dikrayaat
party,حفلة,Hafla,حفلة,Hafla
partys,حفلات,Hafalaat,حفلات,Hafalaat
gift,هدية,hadiyya,هدية,hadiyya
gifts,هدايا,hidaaya,هدايا,hidaaya
calendar,تقويم,taqwiim,تقويم,taqwiim
calendars,تقاويم,taqaawiim,تقاويم,taqaawiim
* The following names are used in most of the Mashriq, including Egypt. *,,,,
January,يناير,yanaayir,يناير,yanaayir
February,فبراير,fibraayir,فبراير,fibraayir
March,مارس,maaris,مارس,maaris
April,أبريل,abriil,أبريل,abriil
May,مايو,maayo,مايو,maayo
June,يونيو,yuuniyo,يونيو,yuuniyo
July,يوليو,yuuliyo,يوليو,yuuliyo
August,أغسطس,aġusTus,أغسطس,aġusTus
September,سمتمبر,sibtimbir,سمتمبر,sibtimbir
October,أكتوبر,uktoobar,أكتوبر,uktoobar
November,نوفمبر,nuvimbir,نوفمبر,nuvimbir
December,ديسيمبر,disimbir,ديسيمبر,disimbir
* The following names are used in the Levant. *,,,,
February,شباط,šubaaT,شباط,šubaaT
March,آذار,aadaar,آذار,aadaar
April,نيسان,niisaan,نيسان,niisaan
May,أيار,ayyaar,أيار,ayyaar
June,حزيران,Huzeiraan,حزيران,Huzeiraan
July,تموز,tammuuz,تموز,tammuuz
August,آب,aab,آب,aab
September,أيلول,ayluul,أيلول,ayluul
Muharram,محرم,muHarram,محرم,muHarram
Safar,صفر,Safar,صفر,Safar
Rajab,رجب,rajab,رجب,ragab
Shaban,شعبان,ša3abaan,شعبان,ša3baan
Ramadan,رمضان,ramaDaan,رمضان,ramaDaan
Shawwal,شوال,šawwaal,شوال,šawwaal
Thout (starts Sept. 10th or 11th),توت,tuut,توت,tuut
Paopi (starts Oct. 10th/11th),بابة,baaba,بابة,baaba
Hathor (starts Nov. 9th/10th),هاتور,haatuur,هاتور,hatuur
Koiak (starts Dec. 9th/10th),كياهك,kiyaahk,كياهك,kiyaak
Tobi (starts Jan. 8th/9th),طوبة,Tuuba,طوبة,Tuuba
Meshir (starts Feb. 7th/8th),أمشير,amšiir,أمشير,amšiir
Paremhat (starts March 9th),برمهات,baramhaat,برمهات,baramhaat
Paremoude (starts April 8th),برمودة,baramuuda,برمودة,baramuuda
Pashons (starts May 8th),بشنس,bašans,بشنس,bašans
Paoni (starts June 7th),بؤونة,ba'uuna,بؤونة,ba'uuna
Epip (starts July 7th),أبيب,abiib,أبيب,abiib
Mesori (starts 6th Aug.),مسرى,misra,مسرى,misra
Pi Kogi Enavot (period of five or six days at the end of the Coptic year),نسئ,nasii',نسئ,nasy
