english,transliteration,arabic,audioUrl
"to relax, rest",,رْتاح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-01.mp3
relaxation,,راحة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-02.mp3
to go for a walk,,تْمشّى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-03.mp3
Let’s go for a walk in the park.,,يالّاه نتْمشّاو فْ الپّارْك.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-04.mp3
to fly a kite,,طيِّر سيْرْڤوْلون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-05.mp3
felucca,,فْلوكة (فْلايْك),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-06.mp3
day off,,نْهار راحة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-07.mp3
Today’s my day off.,,اليوم نْهار راحة عنْدي.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-08.mp3
"fun, enjoyable",,مُمْتِع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-09.mp3
friend,,صاحب (صْحاب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-10.mp3
to meet up with friends,,تْلاقى مْع صْحابو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-11.mp3
to go out with friends,,خْرج مْع صْحابو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-12.mp3
We hung out at the shopping mall yesterday evening.,,البارح فْ العْشية ضرْنا فْ الموْل.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-13.mp3
to read,,قْرا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-14.mp3
newspaper,,جريدة (جرائِد),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-15.mp3
I like to sit in a coffee shop and read the newspaper before I go to work.,,كيْعْجبْني نْڭْلس فْ القهْوة و نقْرا جريدة قْبل ما نْمْشي الخدْمة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-16.mp3
magazine,,مجلّة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-17.mp3
book,,كْتاب (كْتوبة),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-18.mp3
novel,,رِوايَة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-19.mp3
"comic book, graphic novel",,بونْد ديْسينيْ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-20.mp3
television,,تلْفازة (تْلافز),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-21.mp3
to watch TV,,تْفرّج فْ التّلْفازة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-22.mp3
"TV show, TV program",,برْنامج (برامِج),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-23.mp3
What’s your favorite TV program?,,شْنو أحْسن برْنامج عنْدك؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-24.mp3
What do you like to watch on TV?,,شْنو كتْبْغي تْفرّج فْ التّلْفازة؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-25.mp3
I like watching Moroccan dramas (soaps).,,كنْبْغي نْتْفرّج فْ المُسلْسلات المغْرِبية.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-26.mp3
comedy program,,برْنامج دْيال الضّحْك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-27.mp3
sports program,,برْنامج دْيال الرِّياضة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-28.mp3
sporting event,,حدث رِياضي (أحْداث رِياضية),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-29.mp3
soccer match,,ماتْش دْ الكورة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-30.mp3
movie,,فيلْم (أفْلام),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-31.mp3
documentary,,فيلْم وثائِقي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-32.mp3
children’s program,,برْنامج دْيال الصّْغار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-33.mp3
cartoon,,رُسوم مُتحرِّكة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-34.mp3
game show,,برْنامج مُسابقات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-35.mp3
reality TV show,,تيْليْ رِياليتيْ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-36.mp3
series,,مُسلْسل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-37.mp3
series,,سيْري,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-38.mp3
sitcom,,سيتْكوْم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-39.mp3
episode,,حلْقة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-40.mp3
season,,سيْزوْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-41.mp3
I haven’t seen the second season of this show yet.,,ماشفْتش السّيْزوْن الثّاني فْ هاذ السّيْري.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-42.mp3
the news,,الأخْبار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-43.mp3
weather report,,النّشْرة الجَوّية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-44.mp3
talk show,,برْنامج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-45.mp3
Have you ever been on TV?,,عمْرك بنْتي فْ التّلْفازة؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-46.mp3
channel,,قناة (قنوات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav21-47.mp3
