english,transliteration,arabic
English,Transliteration,Egyptian Arabic
city,madiina,مدينة
cities,mudun,مدن
street,šaari3,شارع
streets,šawaari3,شوارع
road,Tarii',طريق
roads,Turu',طرق
highway,Tarii' otostraad,طريق اتوستراد
alley; lane,Haara,حارة
alley; lanes,Haaraat,حارات
corner ,naSya,ناصية
corner s,nawaaSi,نواصي
corner ,rukn,ركن
corner s,arkaan,أركان
tunnel,nafa',نفق
tunnels,anfaa',انفاق
building,3omaara,عمارة
buildings,3omaaraat,عمارات
real estate,3aqaar,عقار
real estates,3aqaaraat,عقارات
house,beit,بيت
houses,buyuut,بيوت
apartment,ša''a,شقة
apartments,šu'a',شقق
bridge,kobri,كوبري
bridges,kabaari,كباري
fence,suur,سور
fences,aswaar,أسوار
square,miidaan,ميدان
squares,mayadiin,ميادين
company,širka,شركة
companies,širakaat,شركات
center,markaz,مركز
centers,maraakiz,مراكز
shop,maHall,محلّ
shops,maHallaat,محلات
small grocery shop,bi''aala,بقالة
small grocery shops,bi''aalaat,بقالات
cafe,'ahwa,قهوة
cafes,'ahaawi,قهاوي
club,naadii,نادي
clubs,nawaadii,نوادي
bar,baar,بار
bars,baraat,بارات
movie theater,sinima,سينما
movie theaters,sinimaat,سينمات
theater,masraH,مسرح
theaters,masaariH,مسارح
gallery,ma3riD,معرض
galleries,ma3aariD,معارض
fair,mahragaan,مهرجان
fairs,mahraganaat,مهرجانات
park,gineina,جنينة
parks,ganaayin,جناين
bench,dikka,دكّة
benches,dikak,دكك
restaurant,maT3am,مطعم
restaurants,maTaa3im,مطاعم
school,madrasa,مدرسة
schools,madaaris,مدارس
university,gam3a,جامعة
universities,gam3aat,جامعات
mosque,gaami3,جامع
mosques,gawaami3,جوامع
church,kiniisa,كنيسة
churches,kanaayis,كنايس
synagogue,kaniis,كنيس
temple,ma3bad,معبد
temples,ma3aabid,معابد
tower,burg,برج
towers,abraag,أبراج
graveyard,gabbaana,جبّانة
graveyards,gabbanaat,جبّانات
brick,Tuub,طوب
tin,SafiiH,صفيح
tourism,siyaaHa,سياحة
insurance,ta'miin,تأمين
 exchange,Siraafa,صرافة
bank,bank,بنك
banks,bunuuk,بنوك
ATM,ATM,آي تي ام
library; bookstore,maktaba,مكتبة
library; bookstores,maktabaat,مكتبات
station,maHaTTa,محطة
stations,maHaTTaat,محطات
airport,maTaar,مطار
airports,maTaaraat,مطارات
hotel,fundu',فندق
hotels,fanaadi',فنادق
museum,matHaf,متحف
museums,mataaHif,متاحف
palace,'aSr,قصر
palaces,'uSuur,قصور
citadel,'al3a,قلعة
citadels,'uluu3,قلوع
hospital,mustašfa,مستشفى
hospitals,mustašfayaat,مستشفيات
clinic,3iyaada,عيادة
clinics,3iyaadaat,عيادات
bakery,maxbaz,مخبز
bakeries,maxaabiz,مخابز
pharmacy,Saydaliyya,صيدلية
pharmacies,Saydaliyyaat,صيدليات
fountain,nafuura,نافورة
fountains,nawafiir,نوافير
auditorium,mudarrag,مدرّج
auditoriums,mudarragaat,مدرّجات
sidewalk,raSiif,رصيف
covered in asphalt,mitsaflit,متسفلت
pothole; speed bump,maTabb,مطبّ
pothole; speed bumps,maTabbaat,مطبّات
sewer,ballaa3a,بلاعة
sewers,ballaa3aat,بلاعات
sewage,magaari,مجاري
hole,Hofra,حفرة
holes,Hofar,حفر
sign,yafTa,يافطة
signs,yufaT,يفط
public transportation,muwaaSlaat,مواصلات
traffic,muruur,مرور
crowdedness,zaHma,زحمة
noise,dawša,دوشة
pollution,tilawwas,تلوث
mess,hargala,هرجلة
trash,zebaala,زبالة
queue,Tabuur,طابور
queues,Tawabiir,طوابير
car,3arabiyya,عربية
cars,3arabiyyaat,عربيات
bus,otobiis,اتوبيس
buses,otobiisaat,اتوبيسات
bicycle,3agala,عجلة
bicycles,3agal,عجل
motorcycle,motosikl,موتوسيكل
truck,luuri,لوري
trucks,luriyyaat,لوريات
taxi,taksi,تاكسي
taxis,taksiyaat,تاكسيات
meter,3addaad,عدّاد
meters,3addaadaat,عدّادات
tire,kawitš,كوتش
tires,kawitšaat,كوتشات
wheel,3agala,عجلة
wheels,3agalaat,عجلات
brakes,faraamil,فرامل
car hood,kabbuut,كبوت
car hoods,kababiit,كبابيت
clutch,dibriyaaž,دبرياج
clutches,dibriyažaat,دبرياجات
car trunk,šanTit il-3arabiyya,شنطة العربية
workshop,warša,ورشة
workshops,wiraš,ورش
gas,binziin,بنزين
driver's license,ruxSit siwaa'a,رخصة سواقة
driver's licenses,ruxaS qiyaada,رخص قيادة
car horn,zummaara,زمّارة
car horns,zamamiir,زمامير
accident,Hadsa,حادثة
accidents,Hawaadis,حوادث
driver,sawwaa',سوّاق
drivers,sawwaa'iin,سوّاقين
train,'aTr,قطر
trains,'uTura,قطرة
a train/metro pass for a month or several months,'aboneih,أبونيه
boat,markab,مركب
boats,maraakib,مراكب
boat ,'aarib,قارب
boat s,'awaarib,قوارب
ship,safiina,سفينة
ships,sufun,سفن
liner,3abbaara,عبّارة
liners,3abbaaraat,عبّارات
plane,Tayyaara,طيّارة
planes,Tayyaaraat,طيّارات
visa,viiza,فيزا
visas,viizaat,فيزات
helicopter,marwaHiyya,مروحية
trip,riHla,رحلة
trips,riHalaat,رحلات
to be cancelled ,itlaġa - yitliġi ,اتلغى - يتلغي 
tour,gawla,جولة
tours,gawlaat,جولات
