english,transliteration,arabic,audioUrl
to eat,,كْلا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-01.mp3
What do you feel like eating?,,شْنو باغي تّاكُل؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-02.mp3
food,,ماكْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-03.mp3
to drink,,شْرب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-04.mp3
"drink, beverage",,شي حاجة كتْشْرب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-05.mp3
a bite,,عضّة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-06.mp3
to take a bite of,,خْدا عضّة من,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-07.mp3
He took a bite of the hamburger and put it down.,,خْدا عضّة من الهامْبورْڭر و حطّو.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-08.mp3
mouthful,,فُمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-09.mp3
a sip,,جُغْمة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-10.mp3
to take a drink/sip (of),,خْدا جُغْمة من,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-11.mp3
She took a sip of water and put the glass down.,,خْدات جُغْمة دْيال الما و حطّات الكاس.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-12.mp3
to chew,,نْضغ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-13.mp3
to chew,,مْضغ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-14.mp3
to swallow,,سْرط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-15.mp3
hungry,,جيعان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-16.mp3
to get hungry,,جاع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-17.mp3
hunger,,جوع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-18.mp3
thirsty,,عطْشان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-19.mp3
I'm so thirsty. Could I have some water?,,عطْشان بزّاف، تقْدر تعْطيني شْوية دْيال الما؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-20.mp3
to become thirsty,,عْطش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-21.mp3
thirst,,عْطش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-22.mp3
"full, satiated",,شبْعان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-23.mp3
to become full,,شبْع,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-24.mp3
"Thanks, I’m full.",,شُكْرًا، شْبعْت.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-25.mp3
to taste,,ذاق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-26.mp3
Taste the soup. Does it need salt?,,ذوق الصّوبّة، واش خاصْها الملْحة؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-27.mp3
"delicious, tasty",,بْنين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-28.mp3
"taste, flavor",,مذاق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-29.mp3
I don’t like how it tastes.,,معْجبْنيش المذاق دْيالو.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-30.mp3
The milk tastes funny.,,مذاق الحْليب فشْكل.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-31.mp3
to go bad,,خْسر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-32.mp3
The milk has gone bad.,,الحْليب خْسر.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-33.mp3
expiration date,,تاريخ انْتِهاء الصّلاحية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-34.mp3
The milk is past its expiration date.,,الحْليب فات تاريخ انْتِهاء الصّلاحية دْيالو.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-35.mp3
to rot,,خْمج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-36.mp3
fresh,,فْريْش,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-37.mp3
stale,,پيْريمي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-38.mp3
bland,,خْفيف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-39.mp3
salty,,مالح,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-40.mp3
– How does the soup taste? – It’s a little salty.,,كي جاتك الصّوبّة؟ – مالْحة شْوية.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-41.mp3
sweet,,حْلو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-42.mp3
sour,,حامض,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-43.mp3
bitter,,مُرّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-44.mp3
spicy,,حارّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-45.mp3
I don’t like spicy food.,,ما كتْعْجبْنيش الماكْلة الحارّة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-46.mp3
pungent,,كيْحْرق,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-47.mp3
"healthy, healthful",,صِحّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-48.mp3
good for you,,مزْيان لْصحْتك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-49.mp3
unhealthy,,ماشي صِحّي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-50.mp3
bad for you,,ما مزْيانْش لْصحْتك,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-51.mp3
Potato chips are really bad for you.,,شيپْس ما مزْيانْش لْصحْتك.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-52.mp3
meal,,ماكْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-53.mp3
breakfast,,فْطور,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-54.mp3
to have breakfast,,فْطر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-55.mp3
lunch,,الغْدا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-56.mp3
to have lunch,,تْغدّى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-57.mp3
dinner,,العْشا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-58.mp3
to have dinner,,تْعشّى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-59.mp3
a snack,,كسْكْروط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-60.mp3
to have a snack,,دار كسْكْروط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-61.mp3
"If I feel hungry, I just have a small snack.",,إلى جاني الجوع، كنْدير كسْكْروط صْغيْر.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-62.mp3
water,,الما,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-63.mp3
ice,,ثلْج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-64.mp3
"Can I have a glass of water, please?",,عفاك، تقْدر تعْطيني شي كاس دْ الما؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-65.mp3
mineral water,,ما معْدني,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-66.mp3
juice,,عصيْر,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-67.mp3
orange juice,,عصير دْ اللّيمون,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-68.mp3
"soda, carbonated drink",,موناضا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-69.mp3
cola,,كوكا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-70.mp3
Would you like some cola?,,بغيتي كوكا؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-71.mp3
Pepsi,,پيپْسي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-72.mp3
Diet Pepsi,,پيپْسي لايْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-73.mp3
"Coke, Coca Cola",,كوكا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-74.mp3
Diet Coke,,كوكا لايْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-75.mp3
Fanta,,فانْتا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-76.mp3
Lemon Fanta,,فانْتا سيتْروْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-77.mp3
can,,كانيط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav08-78.mp3
