English,Egyptian Arabic,Transliteration
hobby,هواية,hawaaya
hobbies,هوايات,hawaayaat
sport,رياضة,riyaaDa
sports,رياضات,riyaaDaat
game,لعبة,li3ba
games,ألعاب,al3aab
crafts,حرف    حرفة,Hirf  Hirfa
ball,كورة,koora
balls,كور,kowar
team,فريق,farii'
national team,منتخب,muntaxab
match,ماتش,matš
matches,ماتشات,matšaat
stadium,استاد,istaad
field,ملعب,mal3ab
off-side,تسلل,tasallul
goal post,قائم,'ayma
goal posts,,'awaayim
crossbar,عارضة,3arDa
goal,جول,gool
goals,جولات,goolaat
 consecutive goals,هدفان متتاليان,hadafaan mutataaliyaan
player,لاعب,laa3ib
players,لاعبين,laa3ibiin
midfielder,لاعب الوسط,laa3ib il-wisiT
attacker,مهاجم,muhaagim
defender,مدافع,mudaafi3
forward,مهاجم,muhaagim
striker,مهاجم,muhaagim
winger,لاعب جناح,laa3ib ginaaH
referee,حكم,Hakam
trainer or coach,مدرّب,mudarrib
 kick,شوطة,šooTa
free kick,ضربة حرة,Darba Hurra
direct free kick,ضربة حرة  مباشرة,Darba Hurra  mubaašira
penalty kick,ضربة جزاء,Darbit gazaa'
corner kick,ضربة ركنية,Daraba rukniyya
goal kick,ضربة مرمى,Darbit marma
header,ضربة رأس,Darbit raas
victory,فوز,fooz
 pass,تمريرة,tamriira
foul,فاول,faawil
fouls,فاولات,fawlaat
a tie,تعادل,ta3aadul
a scoreless tie,تعادل سلبي,ta3aadul silbi
yellow card,كرت أصفر,kart aSfar
red card,كرت أحمر,kart aHmar
amateur,هاوي,haawi
professional,محترف,muHtarif
baseball,بيسبول,beisbool
hockey,هوكي,hoki
skiing,تزلج,tazallug
golf,جولف,golf
gymnastics,جيمناستيك,žimnastik
archery,رماية,rimaaya
skating,باتيناج,batinaaž
running,الجري,ig-gari
cricket,كريكت,kirikit
polo,بولو,bolo
boxing,ملاكمة,mulakma
wrestling,مصارعة,muSar3a
swimming,سباحة,sibaaHa
diving,غطس,ġaTs
rowing,تجديف,tagdiif
backgammon,طاولة,Tawla
chess,شطرنج,šaTarang
king ,ملك,malik
queen ,وزير,waziir
pawn ,عسكري,3askari
pawn s,عساكر,3asaakir
knight ,حصان,HuSaan
rook,طابية,Tabya
bishop ,فيل,fiil
Check,كش,kišš
Checkmate,كش مات,kišš maat
gardening,بستنة,bastana
gambling,قمار,'umaar
fishing rod,صنارة,Sinnaara
fishing rods,صنانير,Sananiir
hunting,صيد,Seid
sewing,خياطة,xiyaaTa
spades,سبادس,sibaads
diamonds,سمبكسة,sambuksa
clubs,وردة,warda
hearts,قلب,'alb
ace,أيس,ays
king,شايب,šaayib
queen,بنت,bint
jack,ولد,walad
joker,جوكر,žookir
 cheat,غشاش,ġaššaaš
to stay up late,سهر - يسهر ,sihir - yishar 
to frequent ,اتردد - يتردد ,itraddad - yitraddid 
to pass the time,اتسلى - يتسلى ,itsalla - yitsalla 
to go for a stroll or outing,اتفسح - يتفسح,itfassaH - yitfassaH
 joke,نكتة,nukta
 jokes,نكت,nukat
to keep  company,ونس - يونس ,winnis - yiwannis 
to become cheerful/happy,فرفش - يفرش ,farfiš - yifarfiš 
to relax,ارتاح - يرتاح,irtaaH - yirtaaH
together,سواء,sawa
together,مع بعض,ma3a ba3D
appointment,موعد,maw3id
appointments,مواعيد,mawa3iid
party,حفلة,Hafla
parties,حفلات,Hafalaat
costume party,حفلة تنكرية,Hafla tanakkuriyya
mask,قناع,'inaa3
masks,أقنعة,aqni3a
friend,صاحب,SaaHib
friends,أصحاب,aSHaab
gift,هدية,hidiyya
gifts,هدايا,hadaaya
a  occassion,مناسبة,munasba
a  occassions,مناسبات خاصة,munasbaat 
drunk,سكران,sakraan
a drunk,سكري,sukari
a drunks,سكرية,sukariyya
drunk,مسطول,masTuul
drunks,مساطيل,masaTiil
a gambler,قمرتي,'omarti
a gamblers,قمرتية,'omartiyya
 exercise,تمرين,tamriin
 exercises,تمارين,tamaariin
exercise,تمارين رياضية,tamaariin riyaaDiyya
warm-up,تسخين,tasxiin
competition,منافسة,munafsa
race,مسابقة,musab'a
lap ,لفة,laffa
lap s,لفات,laffaat
championship,بطولة,buTuula
champion,بطل,baTal
champions,أبطال,abTaal
point,نقطة,no'Ta
points,نقاط,no'aT
