English,Egyptian Arabic,Transliteration
house,بيت,beit
houses,بيوت,buyuut
apartment,شقة,ša''a
apartments,شقق,šu'a'
building,مبنى,mabna
buildings,مباني,mabaani
apartment building,عمارة,3omaara
apartment buildings,عمارات,3omaaraat
floor ,دور,door
floor s,ادوار,adwaar
courtyard,حوش,Hooš
courtyards,أحواش,aHwaaš
gate,بوّابة,bawwaaba
gates,بوّابات,bawwaabaat
door,باب,baab
doors,أبواب,abwaab
key,مفتاح,muftaaH
keys,مفاتيح,mafatiiH
wall ,جدار,gidaar
wall s,جدران,gudraan
ceiling,سقف,sa'f
ceilings,سقوف,su'uuf
floor,أرضية,arDiyya
floors,أرضيات,arDiyyaat
roof,سطح,saTH
roofs,سطوح,suTuuH
electricity,كهرباء,kahraba
pipe,ماسورة,masuura
pipes,مواسير,mawasiir
valve,محبس,maHbas
electrical outlet,فيشة,fiiša
electrical outlets,فيشات,fiišaat
electrical plug,كبس,kobs
electrical plugs,اكباس,ikbaas
cord,سلك,silk
cords,أسلاك,aslaak
elevator,اصنصير,aSanSeir
elevators,اصنصيرات,aSanSeiraat
stairs,سلالم,salaalim
balcony,بلكونة,balkoona
balconies,بلكونات,balkoonaat
neighbor,جار,gaar
neighbors,جيران,giiraan
rent or lease,ايجار,igaar
vacant,فاضي,faaDi
furnished,مفروش,mafruuš
room,أوضة,ooDa
rooms,أوض,owaD
hall,طرقة,Tor'a
halls,طرق,Tora'
living room,صلون,Saloon
living rooms,صلونات,Saloonaat
furniture,أساس,asaas
upholstery,تنجيد,tangiid
chair,كرسي,kursi
chairs,كراسي,karaasi
armchair,فتيّ,foteyy
armchairs,فتيّات,foteyyaat
sofa,كنبة,kanaba
sofas,كنبات,kanabaat
table,طربيزة,Tarabeiza
tables,طربيزات,Tarabeizaat
window,شبّاك,šibbaak
windows,شبابيك,šababiik
curtain/blinds,ستارة,sitaara
curtain/blinds,ستاير,sataayir
television,تلفزيون,televizyoon
televisions,تلفزيونات,televizyoonaat
remote control,ريموت ,riimoot 
telephone,تلفون,tilifoon
telephones,تلفونات,tilifoonaat
lamp,ابجورة,abažoora
lamps,ابجورات,abažooraat
light,نور,nuur
lights,انوار,anwaar
candle,شمعة,šam3a
candles,شمعات,šam3aat
chandelier,نجفة,nagafa
chandeliers,نجفات,nagafaat
carpet,سجّادة,siggaada
carpets,سججيد,sagagiid
carpet ,موكيت,moket
tile ,بلاط,balaaT
tile ,قيشاني,'išaani
fan,مروحة,marwaHa
fans,مراوح,maraawiH
heater,دفّاية,daffaaya
heaters,دفّايات,daffaayaat
cigarette lighter,ولاعة,wallaa3a
broom,مقشّة,mi'ašša
brooms,مقشّات,mi'aššaat
mop,مكنسة,maknasa
mops,مكانس,makaanis
sponge,سفنجة,sifinga
sponges,سفنجات,sifingaat
clothes pin,مشبك,mašbak
clothes pins,بشابيك,mašaabik
clothes drying rack,منشفة,manšafa
clothes drying racks,مناشف,manaašif
scissors,مقصّ,ma'aSS
scissors,مقصّات,ma'aSSaat
bedroom,أوضة نوم,ooDit noom
bed,سرير,siriir
beds,سراير,saraayir
mattress,مرتبة,martaba
mattresses,مراتب,maraatib
bedsheet,ملاية,milaaya
bedsheets,ملايات,milaayaat
blanket,بطّانية,baTTaniyya
blankets,بطاطين,baTaaTiin
quilt,لحاف,liHaaf
quilts,لحفة,liHifa
pillow,مخدّة,mixadda
pillows,مخدّات,mixaddaat
 clock,ساعة ,saa3a 
closet,دولاب,dulaab
closets,دواليب هدوم,dawaliib huduum
closet,دولاب,duulaab
closets,دواليب,dawaaliib
clothes hanger,شمّاعة,šammaa3a
clothes hangers,شمّاعات,šammaa3aat
mirror,مرايا,miraaya
mirrors,مرايات,miraayaat
desk,مكتب,maktab
desks,مكاتب,makaatib
drawer,درج,durg
drawers,أدراج,adraag
shelf,رفّ,raff
shelves,رفوف,rufuuf
nightstand,كمدينو,kumudiinu
nightstands,كمدينوهات,kumudiinuhaat
dresser,تسريحة,tasriiHa
dressers,تسريحات,tasriiHaat
nightlight,لمبة سهّاري,lamba sahhaari
comb,مشط,mišT
combs,امشاط,amšaaT
brush,فرشة,furša
brushes,فرش,furaš
bathroom,حمّام,Hammaam
bathrooms,حمّامات,Hammaamaat
bathtub,بانيو,banyu
bathtubs,بانيوهات,banyuhaat
shower,دش,duš
showers,دشاش,dišaash
toilet paper,مرق تواليت,wara' tuwalitt
sink,حوض,HooD
sinks,احواض,aHwaaD
faucet,حنفية,Hanafiyya
faucets,حنفيات,Hanafiyyaat
mat,حصيرة,HaSiira
mats,حصر,HuSr
towel,فوطة,fuuTa
towels,فوط,fuwaT
 towel,بشكير,baškiir
 towels,بشاكير,bašaakiir
soap,صابون,Sabuun
soaps,صابونات,Sabuunaat
shampoo,شامبو,šaambuu
sponge,لوفة,luufa
toothbrush,فرشة السنان,furšit is-sinaan
toothpaste,معجون السنان,ma3guun is-sinaan
razor,موس,muus
razors,أمواس الحلاقة,amwaas il-Hilaa'a
shaving cream,صابون حلاقة,Sabuun Hilaa'a
washing machine,غسّالة,ġassaala
washing machines,غسّالات,ġassaalaat
iron,مكوى,makwa
irons,مكاوي,makaawi
makeup,ماكياج,makyaaž
powder,بودرة,buudra
eyeshadow,كحل,kuHl
dining room,أوضة سفرة,ooDit sufra
dining table,سفرة,sufra
dish,طبق,Taba'
dishes,أطباق,aTbaa'
bowl,سلطنية,sulTaniyya
bowls,سلطنيات | سلاطين,sulTaniyyaat | salaTiin
fork,شوكة,šooka
forks,شوك,šuwak
spoon,معلقة,ma3la'a
spoons,معالق,ma3aali'
knife,سكّينة,sikkiina
knives,سكاكين,sakakiin
cup,كبّاية,kubbaaya
cups,كبّايات,kubbayaat
coffee cup,فنجال,fingaal
coffee cups,فناجيل,fanagiil
straw,شاليموه,šalimooh
straws,شفّاطاتّ,šaffaaTaat
jug,أبريق الميّة,abrii' il-mayya
jugs,اباريق,abaariiq
bottle,قزازة,'izaaza
bottles,قزايز,'azaayiz
can,علبة,3elba
cans,علب,3elab
 napkin,كلينكس,kliinex
 napkins,مناديل ورق,manaadiil waraq
toothpick,سلكّة سنان,salekkit sinaan
kitchen,مطبخ,maTbax
kitchens,مطابخ,maTaabix
dishwasher,غسّالة صحون,ġassaalat SuHuun
fridge,تلاجة,tallaaga
fridges,تلاجات,tallaagaat
oven,فرن,furn
ovens,افران,afraan
stove,بتجاز,butagaaz
stoves,بتجازات,butagaazaat
flame ,شعلة,šu3la
flame s,شعلات,šu3alaat
matches,كبريت,kabriit
pot,حلّة,Halla
pots,حلل,Hilal
frying pan,قلاية,'allaaya
mixer/blender,خلاط,xallaaT
mixer/blenders,خلاطات,xallaaTaat
strainer,مصفى,maSfa
strainers,مصافي,maSaafi
tool,أداة,adaah
tools,أدوات,adawaat
hammer,شاكوش,šakuuš
hammers,شواكيش,šawakiiš
nail,مسمار,musmaar
nails,مسامير,masamiir
screw,مسمار قلاووظ,musmaar 'alawooZ
screws,براغي,baraaġi
pliers,كمّاشة,kammaaša
pliers,كمّاشات,kammaašaat
screwdriver,مفك,mifakk
screwdrivers,مفكات,mifakkaat
spanner,مفتاح,muftaaH
spanners,مفاتيح,mafatiiH
saw,منشار,munšaar
saws,مناشير,manašiir
pump,طرمبة,Toromba
pumps,طرمبات,Torombaat
paint,دهان,dihaan
paints,دهانات,dihaanaat
glue ,غراء,ġira
glue,سمغ,samġ
tape,شريط لصق,širiiT laS'
ladder,سلّم,sillim
ladders,سلالم,salaalim
metal,معدن,ma3dan
metals,معادن,ma3aadin
material,مادة,madda
materials,مواد,mawaadd
copper,نحاس,niHaas
iron,حديد,Hadiid
steel,صلب,Solb
marble,رخام,ruxaam
to turn on (a light,ولّع - يولّع ,walla3 - yiwalla3 
to turn off,طفى - يطفي ,Tafa - yiTfi 
