english,transliteration,arabic,audioUrl
good,mnīɧ,مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-1.mp3
bad,miš mnīɧ,مِش مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-2.mp3
hard,ʂúlib,صُلِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-3.mp3
soft,ʈári,طري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-4.mp3
"difficult, hard",ʂá3ib,صعِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-5.mp3
easy,sáhil,سهِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-6.mp3
important,mhimm,مْهِمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-7.mp3
necessary,ɖarūri,ضروري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-8.mp3
strong,ʔáwi (ʔwēya),قَوي(قْوايا),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-9.mp3
weak,ɖ3īf (ɖ3āf),ضْعيف (ضْعاف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-10.mp3
deep,ɣamīʔ,غميق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-11.mp3
shallow,sáʈɧi,سطْحي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-12.mp3
long; (person) tall,ʈawīl (ʈwāl),طَويل (طْوال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-13.mp3
He’s very tall.,húwwi ktīr ʈawīl.,هُوِّ كْتير طَويل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-14.mp3
short,ʔaʂīr (ʔʂār),قصير (قْصار),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-15.mp3
She’s quite short.,híyyi ʔaʂīri ktīr.,هِيِّ قصيرِة كْتير.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-16.mp3
"old, ancient",ʔadīm (ʔdēm),قديم (قْدام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-17.mp3
new,jdīd (jdēd),جْديد (جْداد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-17b.mp3
