english,transliteration,arabic
English,Transliteration,Egyptian Arabic
north,šamaal,شمال
south,ganuub,جنوب
east,šar',شرق
west,ġarb,غرب
direction,ittigaah,اتجاة
left,šimaal,شمال
right,yimiin,يمين
behind,wara,ورا
in front of,'uddaam,قدّام
next to,gamb,جنب
above,foo',فوق
below,taHt,تحت
far ,ba3iid 3an,بعيد عن
near ,'ariib/'urayyib min,قريب من
opposite,'uSaad,قصاد
between,bein,بين
inside,guwwa,جوة
outside,barra,برّة
here,hina,هنا
there,hinaak,هناك
map,xariiTa,خريطة
maps,xaraayiT,خرائط
compass,boSla,بوصلة
distance,masaafa,مسافة
area,misaaHa,مساحة
width,3arD,عرض
height,irtifaa3,ارتفاع
length,Tuul,طول
place; location,makaan,مكان
place; locations,amaakin,أماكن
location,mawqi3,موقع
locations,mawaaqi3,مواقع
capital,3aaSima,عاصمة
capitals,3awaaSim,عواصم
suburb,DaHya,ضاحية
suburbs,DawaaHi,ضواحي
village,qarya,قرية
villages,qura,قرى
district,Hayy,حيّ
districts,aHyaa',أحياء
governorate,muHaafaZa,محافظة
region,minTa'a,منطقة
regions,manaaTi',مناطق
region,iqliim,اقليم
regions,aqaaliim,أقاليم
country,balad ,بلد
countries,bilaad,بلاد
homeland,waTan,وطن
homelands,awTaan,أوطان
Europe,uruppa,أوروبا
Africa,afriqya,أفريقيا
Asia,asya,أسيا
Australia,usturalya,أستراليا
the United States,amriika,أمريكا
England,inglitira,انجلترا
Austria,nimsa,نمسا
Germany,almanya,ألمانيا
Greece,yunaan,يونان
Japan,yabaan,يابان
North Africa,šamaal afriqya,شمال أفريقيا
Egypt,maSr,مصر
Aswan,aswaan,أسوان
Sinai,siina,سيناء
Fez,faas,فاس
Marrakesh,marraakeš,مراكش
Oran,wahraan,وهران
Tunisia,tuunis,تونس
Tunis,tuunis,تونس
Libya,liibiyaa,ليبيا
Tripoli,Taraabulus,طرابلس
Benghazi,benġaazi,بنغازي
Amman,3ammaan,عمّان
Palestine,filisTiin,فلسطين
Gaza Strip,qiTaa3 ġazza,قطاع غزة
Bethlehem,beitalaHm,بيت لحم
Jericho,ariiHa,أريحا
Jaffa,yaafa,يافة
Israel,isra'iil,إسرائيل
Lebanon,libnaan,لبنان
Beirut,beiruut,بيروت
Syria,surya,سوريا
Damascus,dimaš' | dimiš',دمشق
Baghdad,baġdaad,بغداد
Qatar,qaTar,قطر
Abu Dhabi,abu Zabi ,أبو ظبي
Dubai,dubayy,دبيّ
Oman,3umaan,عمان
Muscat,masqaT,مسقط
Sana'a,San3a,صنعاء
