english,transliteration,arabic,audioUrl,source
good,mnīɧ,مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-1.mp3,adjectives_2
bad,miš mnīɧ,مِش مْنيح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-2.mp3,adjectives_2
hard,ʂúlib,صُلِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-3.mp3,adjectives_2
soft,ʈári,طري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-4.mp3,adjectives_2
"difficult, hard",ʂá3ib,صعِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-5.mp3,adjectives_2
easy,sáhil,سهِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-6.mp3,adjectives_2
important,mhimm,مْهِمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-7.mp3,adjectives_2
necessary,ɖarūri,ضروري,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-8.mp3,adjectives_2
strong,ʔáwi (ʔwēya),قَوي(قْوايا),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-9.mp3,adjectives_2
weak,ɖ3īf (ɖ3āf),ضْعيف (ضْعاف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-10.mp3,adjectives_2
deep,ɣamīʔ,غميق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-11.mp3,adjectives_2
shallow,sáʈɧi,سطْحي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-12.mp3,adjectives_2
long; (person) tall,ʈawīl (ʈwāl),طَويل (طْوال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-13.mp3,adjectives_2
He’s very tall.,húwwi ktīr ʈawīl.,هُوِّ كْتير طَويل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-14.mp3,adjectives_2
short,ʔaʂīr (ʔʂār),قصير (قْصار),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-15.mp3,adjectives_2
She’s quite short.,híyyi ʔaʂīri ktīr.,هِيِّ قصيرِة كْتير.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-16.mp3,adjectives_2
"old, ancient",ʔadīm (ʔdēm),قديم (قْدام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-17.mp3,adjectives_2
new,jdīd (jdēd),جْديد (جْداد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-17b.mp3,adjectives_2
"clear, obvious",wāɖiɧ,واضِح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-18.mp3,adjectives_2
His answer was very clear.,jawēbu kēn ktīr wāɖiɧ.,جَوابو كان كْتير واضِح.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-19.mp3,adjectives_2
clean,nɖīf,نْضيف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-20.mp3,adjectives_2
unclear,miš wāɖiɧ,مِش واضِح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-21.mp3,adjectives_2
dirty,wísix,وِسِخ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-22.mp3,adjectives_2
heavy,tʔīl,تْقيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-23.mp3,adjectives_2
light,xafīf (xfēf),خفيف (خْفاف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-24.mp3,adjectives_2
ready,jēhiz,جاهِز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-25.mp3,adjectives_2
Are you ready yet?,ínta jēhiz aw ba3d?,إنْتَ جاهِز أوْ بعْد؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-26.mp3,adjectives_2
I’m ready!,ána jēhiz!,أنا جاهِز!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-27.mp3,adjectives_2
(person) right,má3uɧaʔʔ,معو حقّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-28.mp3,adjectives_2
"Yes, you’re right!","ʂaɧɧ, má3ak ɧaʔʔ.",صحّ معك حقّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-29.mp3,adjectives_2
(person) wrong,ɣilʈān,غِلْطان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-30.mp3,adjectives_2
I think you’re wrong (about that).,bi3tíʔid ínnak ɣilʈān.,بِعْتِقِد إنّك غِلْطان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-31.mp3,adjectives_2
slow,baʈīʔ,بطيء,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-32.mp3,adjectives_2
"fast, quick",sarī3,سريع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-33.mp3,adjectives_2
hot,sēxin,ساخِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-34.mp3,adjectives_2
warm,dēfi,دافي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-35.mp3,adjectives_2
"cool, cold",bárid,برِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-36.mp3,adjectives_2
famous,mašhūr,مشْهور,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-36b.mp3,adjectives_2
independent,mustaʔíll,مُسْتقِلّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-37.mp3,adjectives_2
busy,mašɣūl,مشْغول,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-38.mp3,adjectives_2
"empty; (person) available, free",fāɖi,فاضي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-39.mp3,adjectives_2
Are you free tomorrow?,búkra fāɖi?,بُكْرة فاضي؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-40.mp3,adjectives_2
full,milyān,مِلْيان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-41.mp3,adjectives_2
useful,mufīd,مُفيد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-42.mp3,adjectives_2
useless,mā ílu lzūm,ما إلو لْزوم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-43.mp3,adjectives_2
"careful, cautious",ɧarīʂ,حريص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-44.mp3,adjectives_2
careless,múhmil,مُهْمِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-45.mp3,adjectives_2
absent-minded,šērid,شارِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-46.mp3,adjectives_2
open,maftūɧ,مفْتوح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-47.mp3,adjectives_2
closed,maʔfūl,مقْفول,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-48.mp3,adjectives_2
wet,mbállal,مْبلّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-49.mp3,adjectives_2
dry,nēšif,ناشِف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-50.mp3,adjectives_2
quiet,rēyiʔ,رايِق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-51.mp3,adjectives_2
noisy,ɖájji [invar.],ضجِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-52.mp3,adjectives_2
rough,xíšin,خِشِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-53.mp3,adjectives_2
smooth,nē3im,ناعِم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-54.mp3,adjectives_2
narrow; tight,ɖáyyiʔ,ضيِّق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-55.mp3,adjectives_2
wide; loose,wēsi3,واسِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-56.mp3,adjectives_2
dark,mí3tim,مِعْتِم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-57.mp3,adjectives_2
"bright, light",mnáwwar,مْنوّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-58.mp3,adjectives_2
sharp,ɧādd,حادّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-59.mp3,adjectives_2
blunt,miš ɧādd,مِش حادّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-60.mp3,adjectives_2
additional,iɖāfi,إضافي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-61.mp3,adjectives_2
the same __,nafs il-__,نفْس الـ__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-62.mp3,adjectives_2
similar,mítil bá3iɖ,مِتِل بعِض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-63.mp3,adjectives_2
different,ɣēr,غيْر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-64.mp3,adjectives_2
"possible; probable, likely",ma3ʔūl,معْقول,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-65.mp3,adjectives_2
impossible,mustaɧīl,مُسْتحيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav56-66.mp3,adjectives_2
slowly,3a máhil,ع مهِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-1.mp3,adverbs_2
"fast, quickly",b-sír3a,بْسِرْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-2.mp3,adverbs_2
