english,transliteration,arabic,audioUrl
clothing,,حْويج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-01.mp3
clothing,,حْوايْج,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-02.mp3
men’s clothing,,حْويج دْيال الرّْجال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-03.mp3
women’s clothing,,حْويج دْيال العْيالات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-04.mp3
underwear,,كالْسوْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-05.mp3
long johns,,سرْوال تحْتاني,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-06.mp3
long johns,,سرْوال الوالِدين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-07.mp3
undershirt,,تيشُرْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-08.mp3
panties,,سْليپ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-09.mp3
panties,,كيلوت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-10.mp3
"panty hose, tights",,كوْلوْن,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-11.mp3
bra,,سوتْيامات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-12.mp3
"shirt; sweater, sweatshirt",,تْريكو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-13.mp3
collar,,كولْيِي,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-14.mp3
sleeve,,كُمّ (كْمام),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-15.mp3
a long-sleeved shirt,,تْريكو بْكُمّ طْويل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-16.mp3
short-sleeved,,تْريكو نُصّ كُمّ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-17.mp3
t-shirt,,تيشُرْت,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-18.mp3
polo shirt,,تيشُرْت پوْلو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-19.mp3
blouse,,بْلوزة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-20.mp3
(pair of) pants,,سرْوال (سْراول),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-21.mp3
pant leg,,رْجل السّرْوال,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-22.mp3
jeans,,سرْوال دْجين,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-23.mp3
shorts,,شورْط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-24.mp3
belt,,صمْطة (صْماطي),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-25.mp3
(belt) buckle,,بْزيم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-26.mp3
suit,,كُسْتوم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-27.mp3
suit jacket,,جاكيْط (دْيال كوسْتيم),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-28.mp3
uniform,,أونيفوْرْم,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-29.mp3
necktie,,كْرافاطة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-30.mp3
to tie one’s necktie,,رْبط كْرافاطة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-31.mp3
watch,,ماڭانة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-32.mp3
wallet,,بزْطام,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-33.mp3
"bag; handbag, purse; briefcase",,صاك (صيكان),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-34.mp3
courier bag,,شُكّارة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-35.mp3
dress,,روْب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-36.mp3
skirt,,جوپ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-37.mp3
hijab,,حِجاب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-38.mp3
headscarf,,فولار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-39.mp3
niqab,,نِقاب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-40.mp3
(women’s) scarf,,إشارْپ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-41.mp3
(women’s) scarf,,كاشْكول,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-42.mp3
hair ribbon,,بانْدا (دْيال الشّْعر),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-43.mp3
"barrette, hair clip",,فيليل,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-44.mp3
hat,,طرْبوش (طْرابش),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-45.mp3
(baseball) cap,,كاسْكيطَ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-46.mp3
"skull cap, (knit) beanie",,طاڭية,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-47.mp3
turban,,عْمامة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-48.mp3
jacket,,جاكيطة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-49.mp3
coat,,كبّوْط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-50.mp3
sweater,,تْريكو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-51.mp3
zip-up sweater,,تْريكو بالسّنْسْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-52.mp3
sweatshirt,,تْريكو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-53.mp3
scarf,,كاشْكول,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-54.mp3
glove,,ليڭة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-55.mp3
bathrobe,,بينْوار,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-56.mp3
pajamas; nightgown,,پيجاما,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-57.mp3
"swimsuit, bathing suit",,مايّو (مايّووات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-58.mp3
bikini,,بيكيني (بيكينِيّات),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-59.mp3
pocket,,جيب (جْيوب),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-60.mp3
to put __ in one’s pocket,,دار __ فْجيبو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-61.mp3
to take __ out of one’s pocket,,جْبد __ من جيبو,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-62.mp3
button,,صدْفة (صْداف),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-63.mp3
to button up,,سدّ الصّْداف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-64.mp3
to unbutton,,حلّ الصّْداف,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-65.mp3
zipper,,سنْسْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-66.mp3
to zip up,,سدّ السّنْسْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-67.mp3
to unzip,,حلّ السّنْسْلة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-68.mp3
(pair of) shoes,,صبّاط (صْبابط),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-69.mp3
shoe,,فرْدة صبّاط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-70.mp3
(pair of) boots,,بوْط,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-71.mp3
(pair of) sandals,,صنْدالة (صْنادل),http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav06-72.mp3
