english,transliteration,arabic,audioUrl
"work, job, career",šíɣil (ašɣāl),شِغِل (أشْغال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-1.mp3
"to work, be employed","štáɣal, yištíɣil",شْتغل، يِشْتِغِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-2.mp3
She works as a teacher.,híyyi btištíɣil b-ilmádrasi.,هِيِّ بْتِشْتِغِل بِالمدْرسِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-3.mp3
I work five days a week.,ána bištíɣil xáms iyyām b-ilʔusbū3.,أنا بِشْتِغِل خمْس إيّام بِالأُسْبوع.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-4.mp3
"job, task",waʐīfi,وظيفِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-5.mp3
full-time,dawēm kēmil,دَوام كامِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-6.mp3
I work full-time.,bištíɣil fūl tāym,بِشْتِغِل فول تايْم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-7.mp3
part-time,nuʂʂ dawēm,نُصّ دَوام,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-8.mp3
I want a part-time job.,báddi šíɣil nuʂʂ dawēm.,بدّي شِغِل نُصّ دَوام.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-9.mp3
the private sector,lqiʈā3 ilxāʂʂ,القِطاع الخاصّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-10.mp3
the public sector,lqiʈā3 il3āmm,القِطاع العامّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-11.mp3
civil servant,mwáʐʐaf ɧukūmi,مْوَظّف حُكومي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-12.mp3
to look for a job,"dáwwar 3ála šíɣil, ydáwwir 3ála šíɣil",دوّر على شِغِل، يْدوِّر على شِغِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-13.mp3
to apply for a job,"ʔáddam 3ála šíɣil, yʔáddim 3ála šíɣil",قدّم على شِغِل، يْقدِّم على شِغِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-14.mp3
"applicant, candidate",mʔáddim 3ála šíɣil,مْقدِّم على شِغِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-15.mp3
experience,xíbra,خِبْرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-16.mp3
to have a job interview,3índu muʔābalit šíɣil,عِنْدو مُقابلِة شِغِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-17.mp3
to interview,"ʔābal, yʔābil",قابل، يْقابِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-18.mp3
to find a job,lāʔa šíɣil,لاقى شِغِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav09-19.mp3
