english,transliteration,arabic
English,Transliteration,Egyptian Arabic
color,loon,لون
colors,alwaan,ألوان
colored,milawwin,ملوّن
light,faatiH,فاتح
dark,ġaami',غامق
bright,faa'i3,فاقع
shiny,lam3i,لمعي
black,iswid - sooda,اسود – سوداء
blacks,suud,سود
navy blue,kuHli,كحلي
royal blue,zahri,زهري
sky blue,samaawi,سماوي
baby blue,labani,لبني
indigo,niili,نيلي
turquoise,faruuzi,فيروزي
bluish green,ginzaari,جنزاري
dark green,zeiti,زيتي
mustard  green,kammuuni,كموني
olive green,zatuuni,زتوني
pastel green,kurumbi,كرمبي
purple,banafsigi,بنفسجي
scarlet,qurmuzi,قرمزي
pink,bambi,بمبي
shocking pink,bambi msaxsax,بمبي مسخسخ
rose-colored,wardi,وردي
orange,burtu'aani,برتقاني
canary yellow,kanaari,كناري
lemon yellow,lamuuni,لموني
brown,bunni,بني
light brown,baSali,بصلي
light brown ,3asali,عسلي
wheat-colored ,'amHi,قمحي
fair-skinned,abyaDaani - beiDa,أبيضاني - بيضا
fair-skinneds,biiD,بيض
pale,baahit,باهت
chestnut,kastanaa'i,كستنائي
cream,aSfar šaaHib,أصفر شاحب
grey,ramaadi,رمادي
gold,dahabi,ذهبي
silver,faDDi,فضي
beige,beiž,بيج
off-white,samni,سمني
burgundy,nibiti,نبتي
maroon,zibiibi,زبيبي
