english,transliteration,arabic,audioUrl
weather,,جَوْ,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-01.mp3
weather,,طقْس,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-02.mp3
What’s the weather like today?,,كي دايْر الجَوْ لْيوما؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-03.mp3
The weather is __.,,الجَوْ __.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-04.mp3
"good, nice, fair",,مزْيان,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-05.mp3
"bad, miserable",,خيْب,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-06.mp3
What a nice day!,,نْهار زْوين!,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-07.mp3
temperature,,حرارة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-08.mp3
What’s the temperature?,,شْحال الحرارة؟,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-09.mp3
(It’s) 25 degrees.,,خمْسة و عِشْرين درجة.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-10.mp3
(It’s) in the low twenties.,,فْ البدْية دْالعِشْرينات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-11.mp3
in the mid-twenties,,فْ النّصّ دْالعِشْرينات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-12.mp3
in the high twenties,,فْ أواخر العِشْرينات,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-13.mp3
(It’s) around 30 degrees.,,تقْريباً ثْلاثين درجة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-14.mp3
It’s over 30 degrees.,,فايْتا ثْلاثين درجة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-15.mp3
It’s below zero. It’s below freezing.,,الحرارة تحْت الصِّفْر.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-16.mp3
"the maximum temperature, the high",,درجة الحرارة القُصْوى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-17.mp3
"the minimum temperature, the low",,درجة الحرارة الصُّغْرى,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-18.mp3
It’s __.,,الجَوْ __.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-19.mp3
heat,,حرارة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-20.mp3
It’s very hot.,,الجَوْ سْخون بزّاف.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-21.mp3
warmth,,دْفا,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-22.mp3
"coolness, coldness",,برْد,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-23.mp3
It’s really cold.,,الجَوْ بارد بزّاف.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-24.mp3
It’s freezing outside.,,موت دْيال البرْد برّا.,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-25.mp3
heatwave,,موْجة حرارة,http://media.lingualism.com/wp-content/uploads/vocab/mcav/mcav42-26.mp3
