English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
house,بيت,bayt,بيت,bayt
houses,بيوت,buyuut,بيوت,buyuut
apartment,شقة,šaqqa,شقة,šaqqa
apartments,شقق,šiqaq,شقق,šiqaq
building,مبنى,mabna,مبنى,mabna
buildings,مبانئ,mabaani',مبانئ,mabaani'
apartment building,عمارة,3imaara,عمارة,3imaara
apartment buildings,عمارات,3imaaraat,عمارات,3imaaraat
floor (building level),طابق,Taabiq,طابق,Taabiq
floor (building level)s,طوابق,Tawaabiq,طوابق,Tawaabiq
courtyard, large open area,باحة,baaHa,باحة,baaHa
courtyard, large open areas,أحواش,aHwaaš,أحواش,aHwaaš
gate,بوّابة,bawwaaba,بوّابة,bawwaaba
gates,بوّابات,bawwaabaat,بوّابات,bawwaabaat
door,باب,baab,باب,baab
doors,أبواب,abwaab,أبواب,abwaab
key,مفتاح,miftaaH,مفتاح,miftaaH
keys,مفاتيح,mafaatiiH,مفاتيح,mafaatiiH
wall (of a room),جدار,jidaar,جدار,jidaar
wall (of a room)s,جدر,judur,جدر,judur
ceiling,سقف,saqf,سقف,saqf
ceilings,سقوف,suquuf,سقوف,suquuf
floor,أرضية,arDiyya,أرضية,arDiyya
floors,أرضيات,arDiyyaat,أرضيات,arDiyyaat
roof,سطح,saTH,سطح,saTH
roofs,سطوح,suTuuH,سطوح,suTuuH
electricity,كهرباء,kahrabaa',كهرباء,kahraba
pipe,ماسورة,maasuura,ماسورة,maasuura
pipes,مواسير,mawaasiir,مواسير,mawaasiir
valve,محبس,miHbas,محبس,maHbas
electrical outlet,مخرج كهرباء,maxraj kahrabaa',مخرج كهرباء,maxraj kahrabaa'
electrical outlets,فيشات,fiišaat,فيشات,fiišaat
electrical plug,قابس,qaabis,قابس,qaabis
electrical plugs,اكباس,ikbaas,اكباس,ikbaas
cord, wire,سلك,silk,سلك,silk
cord, wires,أسلاك,aslaak,أسلاك,aslaak
elevator,مصعد,miS3ad,مصعد,miS3ad
elevators,اصنصيرات,aSanSeiraat,اصنصيرات,aSanSeiraat
stairs,سلالم,salaalim,سلالم,salaalim
balcony,شرفة,šurfa,شرفة,šurfa
balconys,شرف,šuraf,شرف,šuraf
neighbor,جار,jaar,جار,jaar
neighbors,جيران,jiiraan,جيران,jiiraan
rent or lease,ايجار,iijaar,ايجار,igaar
vacant,فارغ,faariġ,فاضي,faaDi
furnished,مفروش,mafruuš,مفروش,mafruuš
room,غرفة,ġurfa,غرفة,ġurfa
rooms,غرف,ġuraf,غرف,ġuraf
hall(way), corridor,ممرّ,mamarr,ممرّ,mamarr
hall(way), corridors,ممرّات,mamarraat,ممرّات,mamarraat
living room,غرفة جلوس,ġurfat juluus,غرفة جلوس,ġurfat juluus
living rooms,صلونات,Saloonaat,صلونات,Saloonaat
furniture,أثاث,ataat,أساس,asaas
upholstery,تنجيد,tanjiid,تنجيد,tangiid
chair,كرسي,kursi,كرسي,kursi
chairs,كراسي,karaasi,كراسي,karaasi
armchair,,foteyy,فتيّ,foteyy
armchairs,فتيّات,foteyyaat,فتيّات,foteyyaat
sofa,اريكة,ariika,اريكة,ariika
sofas,ارائك,araa'ik,ارائك,araa'ik
table,طاولة,Taawula,طاولة,Taawula
tables,طاولات,Taawulaat,طاولات,Taawulaat
window,شبّاك,šubbaak,شبّاك,šubbaak
windows,شبابيك,šabaabiik,شبابيك,šabaabiik
curtain/blinds,ستارة,sitaara,ستارة,sitaara
curtain/blindss,ستائر,sataa'ir,ستائر,sataa'ir
television,تلفزيون,televizyoon,تلفزيون,televizyoon
televisions,تلفزيونات,televizyoonaat,تلفزيونات,televizyoonaat
remote control,حاكم عن بعد,Haakim 3an bo3d,ريموت ,riimoot 
telephone,تلفون,tilifoon,تلفون,tilifoon
telephones,تلفونات,tilifoonaat,تلفونات,tilifoonaat
lamp,مصباح,miSbaaH,مصباح,miSbaaH
lamps,مصابيح,maSaabiiH,مصابيح,maSaabiiH
light,نور,nuur,نور,nuur
lights,انوار,anwaar,انوار,anwaar
candle,شمعة,šam3a,شمعة,šam3a
candles,شمعات,šam3aat,شمعات,šam3aat
chandelier,ثرية,turayya,ثرية,turayya
chandeliers,ثريات,turayyaat,ثريات,turayyaat
carpet, rug,سجّادة,sajjaada,سجّادة,sajjaada
carpet, rugs,سجّاد,sajjaad,سجّاد,sajjaad
carpet (wall-to-wall),موكيت,moket,موكيت,moket
tile (on the floor),بلاط,balaaT,بلاط,balaaT
tile (on the wall or ceiling),قيشاني,'išaani,قيشاني,'išaani
fan,مروحة,mirwaHa,مروحة,mirwaHa
fans,مراوح,maraawiH,مراوح,maraawiH
heater,,daffaaya,دفّاية,daffaaya
heaters,دفّايات,daffaayaat,دفّايات,daffaayaat
cigarette lighter,قداحة,qaddaaHa,ولاعة,wallaa3a
broom,مقشّة,miqašša,مقشّة,miqašša
brooms,مقشّات,miqaššaat,مقشّات,miqaššaat
mop,ممسحة,mimsaHa,ممسحة,mimsaHa
mops,مماسح,mamaasiH,مماسح,mamaasiH
sponge,سفنج,safanj,سفنج,safanj
sponges,سفنجات,sifingaat,سفنجات,sifingaat
clothes pin,مشبك,mišbak,مشبك,mišbak
clothes pins,بشابيك,mašaabiik,بشابيك,mašaabiik
clothes drying rack,,manšafa,منشفة,manšafa
clothes drying racks,مناشف,manaašif,مناشف,manaašif
scissors,مقصّ,miqaSS,مقصّ,miqaSS
scissorss,مقاصّ,maqaaSS,مقاصّ,maqaaSS
bedroom,غرفة نوم,ġurfat noom,أوضة نوم,ooDit noom
bed,سرير,sariir,سرير,sariir
beds,سرائر,saraa'ir,سرائر,saraa'ir
mattress,مرتبة,martaba,مرتبة,martaba
mattresss,مراتب,maraatib,مراتب,maraatib
bedsheet,ملائة,milaa'a,ملائة,milaa'a
bedsheets,ملائات,milaa'iaat,ملائات,milaa'iaat
blanket,بطّانية,baTTaniyya,بطّانية,baTTaniyya
blankets,بطاطين,baTaaTiin,بطاطين,baTaaTiin
quilt,لحاف,liHaaf,لحاف,liHaaf
quilts,لحف,luHuf,لحف,luHuf
pillow,مخدّة,mixadda,مخدّة,mixadda
pillows,مخادّ,maxaadd,مخادّ,maxaadd
(alarm) clock,ساعة ,saa3a ,ساعة ,saa3a 
closet, wardrobe,خزانة,xizaana,خزانة,xizaana
closet, wardrobes,خزائن ملابس,xazaa’in milaabis,خزائن ملابس,xazaa’in milaabis
closet,دولاب,duulaab,دولاب,duulaab
closets,دواليب,dawaaliib,دواليب,dawaaliib
clothes hanger,علاقة,3allaaqa,علاقة,3allaaqa
clothes hangers,علاقات ثياب,3allaaqaat tiyaab,علاقات ثياب,3allaaqaat tiyaab
mirror,مرآة,miraah,مرآة,miraah
mirrors,مرايا,miraaya,مرايا,miraaya
desk,مكتب,maktab,مكتب,maktab
desks,مكاتب,makaatib,مكاتب,makaatib
drawer,درج,durj,درج,durj
drawers,أدراج,adraaj,أدراج,adraaj
shelf,رفّ,raff,رفّ,raff
shelfs,رفوف,rufuuf,رفوف,rufuuf
nightstand,,kumudiinu,كمدينو,kumudiinu
nightstands,كمدينوهات,kumudiinuhaat,كمدينوهات,kumudiinuhaat
dresser,تسريحة,tasriiHa,تسريحة,tasriiHa
dressers,تسريحات,tasriiHaat,تسريحات,tasriiHaat
nightlight,لمبة سهّاري,lamba sahhaari,لمبة سهّاري,lamba sahhaari
comb,مشط,mušT,مشط,mušT
combs,امشاط,amšaaT,امشاط,amšaaT
brush,فرشاة,furšaah,فرشاة,furšaah
brushs,فرش,furaš,فرش,furaš
