english,transliteration,arabic
English,Transliteration,Standard Arabic
food,Ta3aam,طعام
foods,ma'kuulaat,مأكولات
meal,wajba,وجبة
meals,wajabaat,وجبات
delivery,tawSiil,توصيل
restaurant,maT3am,مطعم
restaurants,maTaa3im,مطاعم
waiter,naadil,نادل
waiters,nudul,ندل
breakfast,faTuur,فطور
lunch,ġadaa',غداء
dinner,3ašaa',عشاء
recipe,waSfa,وصفة
recipes,waSafaat,وصفات
ingredient,miqdaar,مقدار
ingredients,maqaadiir,مقادير
can,3ulba,علبة
cans,3ulab,علب
jar,wi3aa',وعاء
jars,aw3iya,اوعية
box,Sunduuq,صندوق
boxes,Sanaadiiq,صناديق
hungry ,jaa'i3,جائع
hungry s,jiyaa3 ,جياع 
thirsty ,3aTšaan,عطشان
thirsty s,3iTaaš ,عطاش 
full ,šab3aan,شبعان
full s,šabaa3a,شباعى
slice,šariiHa,شريحة
slices,šaraa'iH,شرائح
piece,qitT3a,قطعة
pieces,qiTa3,قطع
drink,mašruub,مشروب
drinks,mašruubaat,مشروبات
juice,3aSiir,عصير
juices,3aSaa'ir,عصائر
water,maa',ماء
tea,šaay,شاي
coffee,qahwa,قهوة
milk,Haliib,حليب
alcohol,xamr,خمر
wine,nabiid,نبيذ
champagne,šampanya,شامبنية
beer,biira,بيرة
fruit,faakiha,فاكهة
fruits,fawaakih,فواكه
apple,tuffaaH,تفّاح
orange,burtuqaal,برتقال
banana,mooz,موز
lemon,laymuun,ليمون
lime,laymuun HaamiD,ليمون حامض
watermelon,baTTiix,بطّيخ
cantaloupe,baTTiix aSfar,بطّيخ أصفر
strawberry,farawla,فراولة
cherry,karaz,كرز
grape,3inab,عنب
raisin,zabiib,زبيب
pear,kummatra,كمثرى
peach,xoox,خوخ
plum,barquuq,برقوق
prune,barquuq naašif,برقوق ناشف
pomegranate,rummaan,رمّان
apricot,mišmiš,مشمش
guava,guwaafa,جوافة
dates ,balaH,بلح
dates ,tamr,تمر
pineapple,ananaas,اناناس
berry,tuut,توت
blueberry,tuut azraq,توت أزرق
mango,mango,مانجو
fig,tiin,تين
olive,zeituun,زيتون
popcorn,bušaar,بوشار
nuts,mikassaraat,مكسّرات
almonds,looz,لوز
hazelnuts,bunduq,بندق
peanuts,suudaani,سوداني
vegetables,xaDrawaat,خضراوات
carrot,jazar,جزر
cauliflower,qarnabiiT,قرنبيط
lettuce,xass,خسّ
cucumber,xiyaar,خيار
zucchini,kuusa,كوسا
cabbage,krumb,كرمب
peas,baazilaa',بازلاء
radish,fujl,فجل
radishes,fujuul,فجول
celery,karafs,كرفس
okra,baamiya,بامية
eggplant,badinjaan,باذنجان
artichoke,xuršuuf,خرشوف
artichokes,xaraašiif,خراشيف
spinach,sabaanix,سبانخ
potato,baTaaTa,بطاطا
potatoes,baTaaTis,بطاطس
tomato,TamaaTim,طماطم
onion,baSal,بصل
garlic,tuum,ثوم
clove,faSS,فص
cloves,fuSuuS,فصوص
corn,dura,ذرة
mushroom,fuTr,فطر
pumpkin,qar3a,قرعة
beans,fuul,فول
chickpeas,HummuS,حمص
lentils,3adas,عدس
soup,Hisaa',حساء
salad,salaTa,سلطة
meat,laHm,لحم
meats,luHuum,لحوم
poultry,Tuyuur,طيور
chicken,dajaaj,دجاج
turkey,diik ruumi,ديك رومي
fish,samak,سمك
shrimp,gambari,جمبري
crab,abu galambo,أبو جلمبو
lobster,karkand,كركند
clam,Halazuun Sadafi,حلزون صدفي
oyster,maHaar,محار
octopus,ixTabuuT,اخطبوط
bread,xubz,خبز
loaf of bread*,raġiif,رغيف
loaf of bread*s,arġifa,أرغفة
* Note that a رغيف refers to something different than what Americans would typically think of as a loaf of bread. A رغيف is a whole pita bread or عيش بلدي. Here's a photo of a boy carrying a bunch of أرغفة.,,
a long,3eiš fiinu,عيش فينو
a round bread roll ,3eiš kayzar,عيش كيزر
yeast,xamiira,خميرة
dough,3ajiin,عجين
cheese,jubn,جبن
butter,zubda,زبدة
jam,murabba,مربّى
yogurt,laban zabaadi,لبن زبادي
honey,3asal ,عسل 
molasses,3asal aswad,عسل اسود
rice,aruzz,أرزّ
pasta,makaruuna,مكرونة
egg,beiD,بيض
desserts,Helawiyaat,حلويات
ice cream,aayis kriim,آيس كريم
scoop,boola,بولة
cake,ka3k,كعك
gum,3ilk,علك
sugar,sukkar,سكّر
salt,milH,ملح
pepper,fulful,فلفل
oil,zeit,زيت
olive oil,zeit zeituun,زيت زيتون
vinegar,xall,خلّ
spices,bahaaraat,بهارات
flour,daqiiq,دقيق
wheat,qamH,قمح
oats,šuufaan,شوفان
barley,ša3iir,شعير
mint,na3naa3,نعناع
parsley,baqduunis,بقدونس
cinnamon,qirfa,قرفة
ginger,zanjabiil,زنجبيل
cumin,kammuun,كمون
turmeric,kurkum,كركم
coriander,kuzbara,كزبرة
cloves,qurunfil,قرنفل
saffron,za3faraan,زعفران
thyme,za3tar,زعتر
vegetarian,nabaati,نباتي
nutrition,ġidaa',غذاء
appetite,šahiyya,شهية
boiled,masluuq,مسلوق
fried,maqli,مقلي
grilled,šawiiy,شوي
roasted,muHammar,محمّر
stuffed,maHši,محشي
minced,mafruum,مفروم
crunchy,muqarmiš,مقرمش
raw,nii',نئ
delicious,ladiid,لذيذ
delicious,šahi,شهي
fresh,Taazaj,طازج
natural,Tabii3i,طبيعي
tender,layyin,ليّن
dry,naašif,ناشف
sweet,Helw,حلو
hot ,Haarr,حارّ
hot ,saaxin,ساخن
cold,baarid,بارد
taste,Ta3m,طعم
tastes,Tu3uum,طعوم
flavor,nakha,نكهة
bitter,murr,مرّ
sour,HaamiD,حامض
spoiled,faasid,فاسد
to go sour ,HimiD - yiHmaD ,حمض - يحمض 
rotten,muta3affin,متعفّن
burned,maHruuq,محروق
undercooked,mi3aggin,معجّن
