english,transliteration,arabic,audioUrl
house,bēt (byūt),بيْت (بْيوت),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-1.mp3
apartment,šíʔʔa (šíʔaʔ),شِقّة (شِقق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-2.mp3
two-story apartment,vílla (vílal),فيلّا (فِلل),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-3.mp3
penthouse apartment,šíʔʔa fōʔ issáʈiɧ,شِقّة فوْق السّطِح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-4.mp3
"story, floor",ʈābiʔ (ʈawābiʔ),طابِق (طَوابِق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-5.mp3
The apartment is on the fourth floor.,ššíʔʔa b-iʈʈābiʔ irrābi3.,الشِّقة بِالطّابِق الرّابِع.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-6.mp3
to rent an apartment,"stáʔjar šíʔʔa, yistáʔjir šíʔʔa",سْتأْجر شِقّة، يِسْتأْجِر شِقّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-7.mp3
rent,ajār,أجار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-8.mp3
How much is your rent?,ʔaddē lʔajār 3índak?,قدّيْ الأجار عِنْدك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-9.mp3
How much do you pay in rent?,ʔaddē btídfa3 la-lʔajār?,قدّيْ بْتِدْفع للْأجار؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-10.mp3
"tenant, renter",mʔájjar,مْأجّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-11.mp3
landlord,ʂāɧib ilʔáruɖ,صاحِب الأرُض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-12.mp3
landlady,ʂāɧbit ilʔáruɖ,صاحْبِة الأرُض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-13.mp3
to rent an apartment to,"ájjar šíʔʔa, yʔájjir šíʔʔa",أجّر شِقّة، يْأجِّر شِقّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-14.mp3
roof,sáʈiɧ (sʈūɧ),سطِح (سْطُوح),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-15.mp3
roof,rūf,روف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-16.mp3
fence,sūr (aswār),سور (أسْوار),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-17.mp3
fence,syēj,سْياج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-18.mp3
gate,buwwēbi,بُوّابِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-19.mp3
gardener,bistēni,بِسْتاني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-20.mp3
The gardener comes once a week.,lbistēni byīji márra b-ilʔusbū3.,البِسْتاني بْيِجي مرّة بِالأُسْبوع.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-21.mp3
"housekeeper, maid",šiɣāli,شِغالِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-22.mp3
doorman,buwwēb,بُوّاب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-23.mp3
doorman,naʈūr (nawaʈīr),ناطور، نواطير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-24.mp3
Ask the doorman to wash our car this afternoon.,xálli lbuwwēb yɣássil issayyāra ba3d iɖɖúhur.,خلّي البُوّاب يْغسِّل السِّيّارة بعْد الضُّهُر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-25.mp3
room,ɣúrfi (ɣúraf),غُرْفِة (غُرف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-26.mp3
furniture,3áfiš,عفِشْ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-27.mp3
furniture,asēs,أساس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-28.mp3
furnished,mafrūš,مفْروش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-29.mp3
chair,kírsi (karāsi),كِرْسي (كراسي),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-30.mp3
table,ʈáwli,طاوْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-31.mp3
door,bēb (bwēb),باب (بْواب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-32.mp3
front door,bēb ammēāmi,باب أمّامي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-33.mp3
key,miftēɧ (mafatīɧ),مِفْتاح (مفاتيح),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-34.mp3
floor,áruɖ,أرُض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-35.mp3
ceiling,sáʔif (sʔūf),سقِف (سْقوف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-36.mp3
carpet,sijjēdi (sijjēd),سِجّادِة (سِجّاد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-37.mp3
tiles,blāʈ,بلْأط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-38.mp3
hardwood floor,áruɖ min xášab,أرُض مِن خشب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-39.mp3
window,šibbēk (šababīk),شِبّاك (شبابيك),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-40.mp3
"curtain, blinds",birdēyi (barādi),بِرْدايِة (برادي),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-41.mp3
shutters,abājūr,أباجور,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-42.mp3
shelf,raff (rfūf),رفّ (رْفوف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-43.mp3
wall,ɧēʈ (ɧēʈān),حيْط (حيْطان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-44.mp3
wall clock,sē3it ɧēʈ,ساعِة حيْط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-45.mp3
"painting, picture",ʂūra (ʂúwar),صورة (صُوَر),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-46.mp3
"painting, picture",láwɧa,لَوْحة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-47.mp3
to hang a picture on the wall,"3állaʔ ʂūra 3ála lɧēʈ, y3álliʔ ʂūra 3ála lɧēʈ",علّق صورة على الحيْط، يْعلِّق صورة على الحيْط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-48.mp3
I love that painting hanging over the sofa.,ktīr ɧabbēt iʂʂūra lm3állʔa fōʔ iʂʂōfa.,كْتير حبّيْت الصّورة المْعلّْقة فوْق الصّوفة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-49.mp3
poster,pōstir,بوْسْتِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-50.mp3
to do housework,"štáɣal ilbēt, yištíɣil ilbēt",شْتغل البيْت، يِشْتِغِل البيْت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-51.mp3
"to clean, tidy up","náɖɖaf, ynáɖɖif",نضّف، ينضِّف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-52.mp3
to wash the windows,ɣással [55] iššababīk,غسّل الشّبابيك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-53.mp3
broom,míkinsi,مِكِنْسِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-54.mp3
to sweep,"kánnas, ykánnis",كنّس، يْكنِّس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-55.mp3
mop,mámsɧa,ممْسْحة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-56.mp3
to mop,"mássaɧ, ymássiɧ",مسّح، يْمسِّح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-57.mp3
vacuum cleaner,míkinsi kahrubāʔíyyi,مكِنْسِة كهْرُبائية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-58.mp3
to vacuum the carpet,"hūvir issijjēdi, yháwvir issijēdi",هوفِر السِّجّادِة، يْهوْفِر السِّجادِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-59.mp3
dust,ɣábra,غبْرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav07-60.mp3
