English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
clothes,ملابس,malaabis,هدوم,malaabis
stylish,أنيق  ,aniiq ,أنيق  ,aniiq 
chic,شيك ,šiik ,شيك ,šiik 
overdressed,محفلط,moHaflaT,محفلط,moHaflaT
shirt,قميص,qamiiS,قميص,'amiiS
shirts,قمصان,qumSaan,قمصان,'umSaan
sleeve,كم,kumm,كم,kumm
sleeves,أكمام,akmaam,أكمام,akmaam
blouse,بلوزة,baluuza,بلوزة,biluuza
blouses,بلوزات,baluuzaat,بلوزات,biluzaat
coat,معطف,mi3Taf,بالطو,balTo
coats,معاطف,ma3aaTif,بلاطي,balaaTi
jacket,سترة,sutra,جكتّة,žakitta
jackets,ستر,sutar,جكتّات,žakittaat
pants,بنطلون,banTaloon,بنطلون,banTaloon
pants,بنطلونات,banTaloonaat,بنطلونات,banTaloonaat
shorts,بنطلون قصير,banTaloon qaSiir,شرط,šorT
shorts,شرطات,šorTaat,شرطات,šorTaat
skirt,تنّورة,tannuura,جوب,žuup
skirts,تنّورات,tannuuraat,جوبات,župaat
dress,فستان,fustaan,فستان,fustaan
dresses,فساتين,fasaatiin,فساتين,fasaatiin
suit,بدلة,badla,بدلة,badla
suits,بدل,bidal,بدل,bidal
pajamas,بيجامة,bižaama,بيجامة,bižaama
pajamas,بيجامات,bižamaat,بيجامات,bižamaat
underwear,ملابس داخلية,malaabis daaxiliyya,ملابس داخلية,malaabis daaxiliyya
underpants,ملابس داخلية,malaabis daaxiliyya,كلوتّ,kilott
underpants,كلوتّات,kilottaat,كلوتّات,kilottaat
men's underwear,ملابس داخلية رجالية,malaabis daaxiliyya rajaaliyya,لباس,libaas
men's underwears,لباسات | لبسة,libasaat/libisa,لباسات | لبسة,libasaat/libisa
bra,ملابس داخلية حريمي,malaabis daaxiliyya Hariimi,ستيان,sutyaan
bras,ستيانات,sutyanaat,ستيانات,sutyanaat
diaper,حفاظ,HifaaZ,كفولة,kafuula
diapers,حفاظات أطفال,HifaaZaat aTfaal,كوافيل,kawafiil
hat,قبعة,qubba3a,برنيطة,borneiTa
hats,قبعات,qubba3aat,برانيط,baraniiT
gloves,قفّاز,quffaaz,جونتي,guwanti
gloves,قفّازات,quffaazaat,جونتيات,guwantiyaat
scarf,وشاح,wišaaH,ايشارب,iišaarb
scarves,أوشحة,awšiHa,ايشاربات,išarbaat
belt,حزام,Hizaam,حزام,Hizaam
belts,أحزمة,aHzima,حزمة,Hizima
buckle,ابزيم,ibziim,ابزيم,abziim
buckles,أبازيم,abaaziim,أبازيم,abaziim
tie,ربطة,rabTa,كرفتّة,karavatta
ties,رباط عنق,ribaaT 3unuq,كرفتّات,karavattaat
sock,جورب,jawrab,شراب,šaraab
socks,جوارب,jawaarib,شرابات,šarabaat
shoe,أحذية,aHdiya,جزمة,gazma
shoes,حذاء,Hidaa',جزم,gizam
slipper,خفّ,xuff,شبشب,šibšib
slippers,خفاف | اخفاف,xifaaf | axfaaf,شباشب,šabaašib
collar,قبّة,qabba,ياقة,yaa'a
collars,قبّات,qabbaat,ياقات,ya'aat
button,زرّ,zirr,زرار,zuraar
buttons,ازرار,azraar,زراير,zaraayir
pocket,جيب,jeib,جيب,geib
pockets,جيوب,juyuub,جيوب,guyuub
zipper,سحاب,saHHaab,سوستة,saHHaab
thread,خيط,xeiT,خيط,xeiT
