english,transliteration,arabic
English,Transliteration,Standard Arabic
war,Harb,حرب
wars,Huruub ,حروب
civil war,Harb ahliyya,حرب أهلية
revolution,tawra,ثورة
revolutions,tawraat,ثورات
coup,inqilaab,انقلاب
bloodless coup,inqilaab abyaD,انقلاب أبيض
conflict,Siraa3,صراع
strife,nizaa3,نزاع
fight,niDaal,نضال
resistance,muqaawama,مقاومة
insurrection,3iSyaan,عصيان
rebellion,tamarrud,تمرّد
military ,3askari,عسكري
alliance,Hilf,حلف
alliances,aHlaaf,أحلاف
ally,Haliif,حليف
allies,Hulafaa',حلفاء
defense ,difaa3 3an,دفاع عن
pre-emptive strike,Darba wiqaa'iyya,ضربة وقائية
occupation,iHtilaal,احتلال
weapon,silaaH,سلاح
weapons,asliHa,أسلحة
machine gun,raššaaš,رشاش
machine guns,raššaašaat,رشاشات
heavy,taqiil,ثقيل
light,xafiif,خفيف
rifle,bunduqiyya,بندقية
rifles,banaadiq,بنادق
sniper rifle,bunduqiyya qannaaSa,بندقية قناصة
pistol,musaddas,مسدس
pistols,musaddasaat,مسدسات
sword,seif,سيف
swords,suyuuf,سيوف
spear,rumH,رمح
spears,rimaaH,رماح
bullet,raSaaSa,رصاصة
bullets,ruSuuS,رصوص
rubber bullets,raSaaS maTTaaTi,رصاص مطاطي
live ammunition,raSaaS Hayy,رصاص حي
weapons that are not firearms (e.g. knives,asliHa beiDaa' ,أسلحة بيضاء
baton,hiraawa,هراوة
batons,hiraawaat,هراوات
firearm,silaaH naari,سلاح ناري
medium-range weapons,asliHa mutawassiTa,أسلحة متوسطة
nuclear weapons,asliHa nawawiyya,أسلحة نووية
chemical weapons,asliHa kiimaawiyya,أسلحة كيماوية
atomic bomb,qunbula darriyya,قنبلة ذرية
smart bomb,qunbula dakiyya,قنبلة ذكية
cluster bomb,qunbula 3unquudiyya,قنبلة عنقودية
land mine,laġam arDi,لغم أرضي
land mines,alġaam arDiyya,ألغام أرضية
mortar,haawun,هاون
mortars,hawaawiin,هواوين
bomb,qunbula,قنبلة
bombs,qanaabil,قنابل
Molotov cocktail,3ubuuwa naasifa,عبوة ناسفة
car bomb,sayyaara mufaxxaxa,سيارة مفخخة
missile,qadiifa,قذيفة
missiles,qadaa'if,قذائف
missile,Saaruux,صاروخ
missiles,Sawaariix,صواريخ
bombing,qaSf,قصف
explosion,infijaar,انفجار
explosions,infijaaraat,انفجارات
explosive ,mutafajjir,متفجر
explosive,mufarqi3a,مفرقعة
