English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
animal,حيوان,Hayawaan,حيوان,Hayawaan
animals,حيوانات,Hayawaanaat,حيوانات,Hayawaanaat
cat,قطّة,qiTTa,قطّة,qiTTa
cats,قطط,qiTaT,قطط,qiTaT
dog,كلب,kalb,كلب,kalb
dogs,كلاب,kilaab,كلاب,kilaab
cow,بقرة,baqara,بقرة,baqara
cows,بقرات,baqaraat,بقرات,baqaraat
bull, ox,ثور,toor,ثور,toor
bull, oxs,ثيران,tiiraan,ثيران,tiiraan
calf,عجل,3ijl,عجل,3ijl
calfs,عجول,3ujuul,عجول,3ujuul
buffalo,جاموس,jaamuus,جاموس,jaamuus
buffalos,جواميس,jawaamiis,جواميس,jawaamiis
cattle, livestock,بهيمة,bahiima,بهيمة,bahiima
cattle, livestocks,بهائم,bahaa’im,بهائم,bahaa’im
sheep,غنم,ġanam,غنم,ġanam
sheeps,أغنام,aġnaam,أغنام,aġnaam
lamb,خروف,xaruuf,خروف,xaruuf
lambs,خراف,xiraaf,خراف,xiraaf
donkey,حمار,Himaar,حمار,Himaar
donkeys,حمير,Hamiir,حمير,Hamiir
horse,حصان,HiSaan,حصان,HiSaan
horses,حصن,HuSun,حصن,HuSun
camel,جمل,jamal,جمل,jamal
camels,جمال,jimaal,جمال,jimaal
goat,ماعز,maa3iz,ماعز,maa3iz
goats,مواعز,mawaa3iz,مواعز,mawaa3iz
pig,خنزير,xinziir,خنزير,xinziir
pigs,خنازير,xanaaziir,خنازير,xanaaziir
rabbit,أرنب,arnab,أرنب,arnab
rabbits,ارانب,araanib,ارانب,araanib
mice,فأر,fa'r,فأر,fa'r
mices,فئران,fi'raan,فئران,fi'raan
rat,جرذ,jurad,جرذ,jurad
rats,جرذان,jirdaan,جرذان,jirdaan
bird,طائر,Taa'ir,طائر,Taa'ir
birds,طائرات,Taa'iraat,طائرات,Taa'iraat
small bird, sparrow,عصفور,3uSfuur,عصفور,3uSfuur
small bird, sparrows,عصافير,3aSaafiir,عصافير,3aSaafiir
parrot,ببغاء,babġaa',ببغاء,babġaa'
parrots,ببغاوات,babġaawaat,ببغاوات,babġaawaat
rooster,ديك,diik,ديك,diik
roosters,ديوك,duyuuk,ديوك,duyuuk
turkey,ديك رومي,diik ruumi,ديك رومي,diik ruumi
peacock,طاووس,Taawuus,طاووس,Taawuus
peacocks,طواويس,Tawaawiis,طواويس,Tawaawiis
stork,لقلق,laqlaq,لقلق,laqlaq
storks,لقالق,laqaaliq,لقالق,laqaaliq
sparrow,عصفور دوري,3uSfuur duury,عصفور دوري,3uSfuur duury
sparrows,عصافير,3aSafiir,عصافير,3aSafiir
crow,غراب,ġuraab,غراب,ġuraab
crows,غربان,ġirbaan,غربان,ġirbaan
nightingale,بلبل,bulbul,بلبل,bulbul
nightingales,بلابل,balaabil,بلابل,balaabil
falcon, hawk,صقر,Saqr,صقر,Saqr
falcon, hawks,صقور,Suquur,صقور,Suquur
eagle,نسر,nasr,نسر,nasr
eagles,نسور,nusuur,نسور,nusuur
reptile,زاحف,zaaHif,زاحف,zaaHif
reptiles,زواحف,zawaaHif,زواحف,zawaaHif
amphibian,برمائية,barmaa'iyya,برمائية,barmaa'iyya
amphibians,برمائيات,barmaa'iyyaat,برمائيات,barmaa'iyyaat
snake,ثعبان,tu3baan,ثعبان,tu3baan
snakes,ثعابين,ta3aabiin,ثعابين,ta3aabiin
Sarahan horned viper,حية قرناء,Hayya qarnaa',طريشة,Tureiša
turtle,سلحفاة,sulHufaah,سلحفاة,sulHufaah
turtles,سلاحف,salaaHif,سلاحف,salaaHif
lizard,سحلية,siHliyya,سحلية,siHliyya
