english,transliteration,arabic,audioUrl
weather,gaww,جوّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-1.mp3
weather,ʈaʔs,طقْس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-2.mp3
What’s the weather like today?,ilgáwwə 3āmil ʔē innahárda?,الجوّ عامِل أيْه النّهارْده؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-3.mp3
The weather is __.,ilgáww(ə) __.,الجوّ __.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-4.mp3
"good, nice, fair",ɧilw,حِلْو,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-5.mp3
"good, nice, fair",gamīl,جميل,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-6.mp3
bad,wíɧiš,وِحِش,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-7.mp3
"miserable, bad",bíši3,بِشِع,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-8.mp3
What a nice day!,innahárda yōm ɧilw!,النّهارْده يوْم حِلْو!,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-9.mp3
temperature,dáragit ɧarāra,درجِةْ حرارة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-10.mp3
What’s the temperature?,dáragit ilɧarāra kām?,درجِةْ الحرارة كام؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-11.mp3
(It’s) 25 degrees.,xámsa wi 3išrīn dáraga.,خمْسة و عِشْرين درجة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-12.mp3
It’s in the low twenties.,dáragit ilɧarāra f- bidayāt il3išrīn.,درجِةْ الحرارة في بِدايات العِشْرين.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-13.mp3
in the mid-twenties,fi wisʈ il3išrīn,في وِسْط العِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-14.mp3
in the high twenties,fi ʔawāxir il3išrīn,في أَواخِر العِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-15.mp3
It’s around 30 degrees.,ɧawāli talatīn dáraga.,حَوالي تلاتين درجة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-16.mp3
It’s over 30 degrees.,ʔáktar min talatīn dáraga.,أكْتر مِن تلاتين درجة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-17.mp3
It’s below zero.; It’s below freezing.,dáragit ilɧarāra taɧt iȿȿífr.,درجِةْ الحرارة تحْت الصِّفْر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-18.mp3
"the maximum temperature, the high",dáragit ilɧarāra -lkúbra,درجِةْ الحرارة الكُبْرى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-19.mp3
"the minimum temperature, the low",dáragit ilɧarāra -ȿȿúɣra,درجِةْ الحرارة الصُّغْرى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-20.mp3
"It’s __. (weather: hot/cold, etc.)",ilgáww(e)__.,الجوّ __.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-21.mp3
"It’s __. (weather: hot/cold, etc.)",iddúnya __.,الدُّنْيا __.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-22.mp3
heat,ɧarr,حرّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-23.mp3
It’s very hot.,ilgáwwə ɧarrə ʔáwi.,الجوّ حرّ أَوي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-24.mp3
It’s very hot.,iddúnya ɧarrə ʔáwi.,الدُّنْيا حرّ أَوي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-25.mp3
warmth,dáfa,دفا,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-26.mp3
"coolness, coldness",bard,برْد,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-27.mp3
It’s really cold.,iddúnya bardə ʔáwi.,الدُّنْيا برْد أَوي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-28.mp3
It’s freezing outside.,ilgáwwə talgə bárra.,الجوّ تلْج برّه.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-29.mp3
heatwave,mōga ɧárra,موْجة حارّة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-30.mp3
heatwave,mōgit ɧarr,موْجِةْ حرّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-31.mp3
How hot does it get where you’re from?,ilgáwwə ɧarrə ʔaddə ʔē fi baládkum?,الجوّ حرّ أدّ أيْه في بلدْكُم؟,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-32.mp3
"Where I’m from, it doesn’t usually get over 30 degrees in the summer.",ɣālíban dáragit ilɧarāra ma-bit3addīš talatīn fi -ȿȿēf fi báladi.,غالِباً درجِةْ الحرارة مبِتْعدّيش تلاتين في الصّيْف في بلدي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-33.mp3
It’s hotter than it was yesterday.,ilgáwwə ɧarr ʔáktar min ʔimbāriɧ.,الجوّ حرّ أكْتر مِن إمْبارِح.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-34.mp3
I don’t like hot weather.,ma-baɧíbbiš ilɧárr.,مبحِبِّش الحرّ.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-35.mp3
sky,sáma (samawāt),سما (سمَوات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-36.mp3
The sky is clear.,issáma ȿáfya.,السّما صافْيَة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav43-37.mp3
