English,Egyptian Arabic,Transliteration
school,مدرسة,madrasa
schools,مدارس,madaaris
nursery school,حضانة,HaDaana
nursery schools,حضانات,HaDanaat
university,جامعة,gam3a
universities,جامعات,gam3aat
department,قسم,'ism
departments,اقسام,a'saam
program,برنامج,barnaamag
programs,برامج,baraamig
studies,دراسات,dirasaat
curriculum,منهج,manhag
curricula,مناهج,manaahig
school subject (or material,مادّة,madda
school subject (or materials,موادّ,mawaadd
college,كلية,kulliyya
colleges,كليات,kulliyyaat
institute,معهد,ma3had
institutes,معاهد,ma3aahid
diploma,شهادة,šahaada
with distinction,بامتياز,bimtiyaaz
baccalaureate,بكالوريا,bakalooriyaa
BA ,ليسانس,lesaans
BS ,بكالوريوس,bakaloriyoos
masters',ماجستير,majisteir
doctorate,دكتوراه,doctooraah
professor,أستاذ,ustaaz
professors,اساتذة,asatza
teacher,مدرّس,mudarris
pupil,تلميذ,tilmiiz
pupils,تلاميذ,talamiiz
student,طالب,Taalib
students,طلاب,Tullaab
major,تخصّص,taxaSSuS
majors,تخصّصات بـ,taxaSSuSaat bi
lesson,درس,dars
lessons,دروس,duruus
homework ,واجب,waagib
homework s,واجبات,wagibaat
exam,امتحان,imtiHaan
exams,امتحانات,imtiHanaat
test,اختبار,ixtibaar
tests,اختبارات,ixtibaraat
lecture,محاضرة,muHaDra
discussion,مناقشة,muna'ša
research,أبحاث,abHaas
analysis,تحليل,taHliil
analyses,تحاليل,taHaliil
 exercise,تمرين,tamriin
 exercises,تمارين | تمرينات,tamariin/tamrinaat
 activity,نشاط,našaaT
 activities,نشاطات | أنشطة,našaTaat/anšiTa
presentation,تقديم,ta'diim
presentations,تقديمات,ta'dimaat
textbook,كتاب مدرسي,kitaab madrasi
textbooks,كتب مدرسية,kutub madrasiyya
grade,صف,Saff
grades,صفوف,Sufuuf
class,فصل,faSl
classes,فصول,fuSuul
class period,حصّة,HiSSa
class periods,حصص,HiSaS
recess,اجازة,agaaza
recesses,اجازات,agazaat
scholarship,منحة,minHa
scholarships,منح,minaH
financial aid,مساعدات مالية,musaa3adaat maaliyya
student loan,قرض دراسي,qarD diraasii
student loans,قروض دراسية,quruuD diraasiyya
cost,كلفة,kulfa
costs,كلف,kulaf
funding,تمويل,tamwiil
notebook,كرّاسة,kurraasa
notebooks,كرّاسات,kurrasaat
 notebook,كشكول,kaškuul
 notebooks,كشاكيل,kašakiil
pen,قلم,'alam
pens,أقلام,a'laam
pencil,قلم رصاص,'alam raSaaS
paper,ورقة,wara'a
papers,أوراق,awraa'
eraser,أستيكة,astiika
erasers,أساتيك,asatiik
blackboard,تختة,tuxta
blackboards,تخت,tuxat
chalk,طباشير,Tabašiir
calculator,آلة حاسبة,aala Hasba
calculators,آلات حاسبة,alaat Hasba
 ruler,مسطرة,masTara
 rulers,مساطر,masaaTir
encyclopedia,موسوعة,mawsuu3a
encyclopedias,موسوعات,mawsuu3aat
dictionary,قاموس,qamuus
dictionaries,قواميس,qawamiis
grade,درجة,daraga
grades,درجات,daragaat
good grades,درجات عالية,daragaat 3alya
right,صح,SaHH
wrong,غلط,ġalaT
__ plus __ is __,__ زائد __ يساوي __,__ zaa'id __ yisaawi __
__ minus __ is __,__ ناقص __ يساوي __,__ naa'iS __ yisaawi __
__ times __ is __,__ في __ يساوي __,__ fi __ yisaawi __
__  by __ is __,__ على __ يساوي __,__ 3ala __ yisaawi __
equation,معادلة,mu3adla
equations,معادلات,mu3adlaat
fraction,كسر,kasr
fractions,كسور,kusuur
 problem,مسألة,mas'ala
 problems,مسائل,masaa'il
shape,شكل,šakl
shapes,أشكال,aškaal
circle,ديرة,deira
circles,دواير,dawaayir
square,مربع,mirabba3
squares,مربعات,mirabba3aat
rectangle,مستطيل,mustaTiil
rectangles,مستطيلات,mustaTiilaat
triangle,مثلث,musallas
triangles,مثلثات,musallasaat
side,ضلع,Dil3
sides,ضلوع,Duluu3
angle,زاوية,zawya
angles,زوايا,zawaaya
art,فن,fann
arts,فنون,funuun
science,علم,3ilm
sciences,علوم,3uluum
language,لغة,luġa
languages,لغات,luġaat
grammar,قواعد,qawaa3id
vocabulary,مفردات,mufradaat
synonym,مرادف,muraadif
synonyms,مرادفات,muradifaat
spelling,تهجية,tahgiyya
pronunciation,لفظ,lafZ
pronunciations,ألفاظ,alfaaZ
style ,أسلوب,usluub
fluency,طلاقة,Talaaqa
proficiency,كفاءة,kafaa'a
skill,مهارة,mahaara
skills,مهارات,maharaat
ability,قدرة,'udra
abilities,قدرات,'udaraat
