english,transliteration,arabic
English,Transliteration,Standard Arabic
environment,bii'a,بيئة
environments,bii'aat,بيئات
planet,kawkab,كوكب
planets,kawaakib,كواكب
world,3aalam,عالم
worlds,3awaalim,عوالم
continent,qaarra,قارّة
continents,qaarraat,قارّات
ocean,muHiiT,محيط
oceans,muHiiTaat,محيطات
sea,baHr,بحر
seas,biHaar,بحار
river,nahr,نهر
rivers,anhaar,أنهار
lake,buHeira,بحيرة
lakes,buHeiraat,بحيرات
pond,birka,بركة
ponds,birak,برك
canal,qanaah,قناة
canals,qanawaat,قنوات
port,miinaa',ميناء
ports,mawaani',موانئ
gulf,xaliij,خليج
gulves,xuljaan,خلجان
island,jaziira,جزيرة
islands,jazaa'ir,جزائر
coast,saaHil,ساحل
coasts,sawaaHil,سواحل
beach,šaaTi',شاطئ
beaches,šawaaTi',شواطئ
wave,mooj,موج
waves,amwaaj,امواج
tide,tayyaar,تيّار
tides,tayyaaraat,تيّارات
coral,murjaan,مرجان
reef,ši3ba,شعبة
reefs,ši3ab,شعب
inlet,šarm,شرم
inlets,šuruum,شروم
peninsula,šibhu jaziira,شبة جزيرة
waterfall,šallaal,شلال
waterfalls,šallaalaat,شلالات
mountain,jabal,جبل
mountains,jibaal,جبال
peak,qimma,قمة
peaks,qimam,قمم
Mt. Sinai,jabal muusa,جبل موسى
mountain range,silsila jabaliyya,سلسلة جبلية
hill,tall,تلّ
hills,tilaal,تلال
valley,waadi,وادي
valleys,widyaan,وديان
desert,SaHraa',صحراء
deserts,SaHaaraa,صحارى
jungle,ġaaba,غابة
jungles,ġaabaat,غابات
field,Haql,حقل
fields,Huquul,حقول
plain,sahl,سهل
plains,suhuul,سهول
depression,munxafaD,منخفض
depressions,munxafaDaat,منخفضات
cave,maġaara,مغارة
caves,maġaaraat,مغارات
oasis,waaHa,واحة
oases,waaHaat,واحات
well,bi'r,بئر
wells,aabaar | bi'aar,آبار | بئار
bush,daġal,دغل
bushes,adġaal,أدغال
tree,šajara,شجرة
trees,ašjaar,أشجار
leaf; petal,waraq,ورق
leaf; petals,awraaq,أوراق
branch,far3,فرع
branches,furuu3,فروع
root,jadr,جذر
roots,juduur,جذور
wood,xašab,خشب
flower,zahra,زهرة
flowers,zuhuur,زهور
rose,warda,وردة
roses,wuruud,ورود
thorn,šook,شوك
thorns,ašwaak,أشواك
grass,3ušb,عشب
rock,Saxra,صخرة
rocks,Suxuur,صخور
sand,raml,رمل
sands,rimaal,رمال
dust,turaab,تراب
ash,ramaad,رماد
soil,turba,تربة
clay,SalSaal,صلصال
mud,Tiin,طين
mud,aTyaan,أطيان
plant,nabaat,نبات
plants,nabaataat,نباتات
garden,Hadiiqa,حديقة
gardens,Hadaa'iq,حدائق
swamp,mustanqa3,مستنقع
swamps,mustanqa3aat,مستنقعات
volcano,burkaan,بركان
volcanoes,baraakiin,براكين
fire,naar,نار
fires,niiraan ,نيران
sky,samaa',سماء
skies,samaawaat ,سماوات
earth,arD,أرض
earths,araaDin ,أراض
horizon,ufuq,افق
horizons,aafaaq,آفاق
weather forecast,našra jawwiyya,نشرة جوية
degree,daraja,درجة
degrees,darajaat,درجات
climate,manaax,مناخ
hot ,Haar ,حار    حرارة
cold - adj. ,baarid ,بارد 
warm ,daafi' ,دافئ 
clear,SaHw,صحو
moderate,mu3tadil,معتدل
rainy,mumTir,ممطر
cloudy,ġaa'im,غائم
sunny,mušmis,مشمس
snowy,mutallaj,مثلّج
humid,raTb,رطب
stormy,3aaSif,عاصف
dusty,turaabi,ترابي
cloud,ġeima,غيمة
clouds,ġuyuum,غيوم
sun,šams,شمس
suns,šumuus ,شموس
moon,qamar,قمر
moons,aqmaar,أقمار
star,najm,نجم
stars,nujuum,نجوم
rain,maTar,مطر
rain,amTaar,أمطار
snow,talj,ثلج
frost,Saqii3,صقيع
wind,riiH,ريح
winds,riyaaH ,رياح
humidity,ruTuuba,رطوبة
fog,Dabaab,ضباب
hail ,barad ,برد 
storm,3aaSifa,عاصفة
storms,3awaaSif,عواصف
thunder,ra3d,رعد
thunders,ru3uud,رعود
lightning,barq,برق
lightnings,buruuq,بروق
hurricane,i3Saar,اعصار
hurricanes,a3aaSiir,أعاصير
tornado,zawba3a,زوبعة
tornadoes,zawaabi3,زوابع
earthquake,zilzaal,زلزال
earthquakes,zalaazil,زلازل
flood,fayaDaan,فيضان
floods,fayaDaanaat,فيضانات
volcano,burkaan,بركان
volcanoes,baraakiin,براكين
dust storm,3aaSifa turaabiyya,عاصفة ترابية
dust storms,za3abiib,زعابيب
rainbow,qoos quzaH,قوس قزج
season,faSl,فصل
seasons,fuSuul,فصول
spring,rabii3,ربيع
summer,Seif,صيف
fall,xariif,خريف
winter,šitaa',شتاء
